participant,age,trial_index,stimulus,response
5,60,29,thief,robber
5,60,30,experiment,scitest
5,60,31,cloth,material
5,60,32,violence,unpeaceful
5,60,33,assumption,guess
5,60,34,association,unltd
5,60,35,correspondence,letter
5,60,36,heaven,afterworld
5,60,37,pride,honor
5,60,38,regime,schedule
5,60,39,glow,luminous
5,60,40,platinum,whitegold
5,60,41,mineral,ore
5,60,42,competition,rivalry
5,60,43,survival,liveon
5,60,44,warning,siren
5,60,45,draft,notfinished
5,60,46,accountant,numbersman
5,60,47,fear,terror
5,60,48,understanding,knowing
6,26,1,item,product
6,26,2,photograph,picture
6,26,3,loss,lose
6,26,4,plantation,digstation
6,26,5,click,tap
6,26,6,win,gain
6,26,7,advertising,marketing
6,26,8,curiosity,nosey
6,26,9,supply,provide
6,26,10,repair,fix
6,26,11,toilet,loo
6,26,12,conspiracy,theory
6,26,13,atmosphere,airloop
6,26,14,fix,repair
6,26,15,sentiment,personal
6,26,16,shot,hit
6,26,17,cruelty,abuse
6,26,18,ruler,straightmeasure
6,26,19,dance,boogie
6,26,20,revenge,revolt
6,26,21,war,fight
6,26,22,billion,b-million
6,26,23,message,note
6,26,24,beast,monster
6,26,25,tissue,softpaper
6,26,26,friendship,relationship
6,26,27,impulse,random
6,26,28,republican,citizen
6,26,29,tobacco,cigarette
6,26,30,color,colour
6,26,31,attorney,lawyer
6,26,32,weekend,endofweek
6,26,33,department,area
6,26,34,compliment,praise
6,26,35,celebration,party
6,26,36,value,money
6,26,37,determination,motivation
6,26,38,air,atmosphere
6,26,39,norm,same
6,26,40,score,points
6,26,41,diabetes,illness
6,26,42,discretion,secret
6,26,43,penny,coins
6,26,44,riot,war
6,26,45,steam,hotair
6,26,46,homeland,land
6,26,47,spell,magicpoem
6,26,48,series,seasonprogramme
7,39,1,sword,largeknife
7,39,2,opponent,competitor
7,39,3,pregnancy,nearlybaby
7,39,4,inventor,creator
7,39,5,storm,raincloud
7,39,6,sympathy,compassion
7,39,7,destiny,future
7,39,8,operation,medicalprocedure
7,39,9,victim,punishedperson
7,39,10,transcript,writtendetail
7,39,11,guilt,ashamed
7,39,12,cancer,tumour
7,39,13,desire,lust
7,39,14,breast,boob
7,39,15,limb,armoorleg
7,39,16,passion,desire
7,39,17,stretch,extend
7,39,18,assassination,killmission
7,39,19,storm,wetandwindy
7,39,20,promotion,jobupwards
7,39,21,assignment,collegeproject
7,39,22,label,writtendescription
7,39,23,economics,moneylearning
7,39,24,conservative,borislover
7,39,25,pain,typeofhurt
7,39,26,abuse,saybadthings
7,39,27,counsel,lookafter
7,39,28,shame,feelguilt
7,39,29,charm,usesuarve
7,39,30,genius,veryclever
7,39,31,acid,greenliquidburns
7,39,32,accent,regionaldialect
7,39,33,hunting,killinganimals
7,39,34,colony,collectionants
7,39,35,hurricane,liketornado
7,39,36,democracy,peoplevoting
7,39,37,mix,blendtogether
7,39,38,basis,onthatstanding
7,39,39,decision,choosesomething
7,39,40,politics,borisvskier
7,39,41,maintenance,needswork
7,39,42,miracle,magicalevent
7,39,43,method,someonesstyle
7,39,44,pie,foodinpastry
7,39,45,size,howbig
7,39,46,policeman,constable
7,39,47,hunger,wantfood
7,39,48,electronics,needselectricity
8,46,1,curse,badspell
8,46,2,regime,dictatorship
8,46,3,warning,caution
8,46,4,serial,series
8,46,5,criminal,convict
8,46,6,assumption,preconception
8,46,7,ability,skill
8,46,8,heaven,valhalla
8,46,9,mystery,enigma
8,46,10,thief,stealer
8,46,11,platinum,metalblonde
8,46,12,sunshine,solarlight
8,46,13,obstacle,wayblocker
8,46,14,script,actorwords
8,46,15,survival,lifepreservation
8,46,16,reunion,clanmeeting
8,46,17,rumor,gossipstory
8,46,18,experiment,sciencetest
8,46,19,reach,extend
8,46,20,criticism,disparagement
8,46,21,precedent,firstone
8,46,22,community,humangroup
8,46,23,correspondence,letterexchange
8,46,24,draft,firstversion
8,46,25,deposition,demand
8,46,26,glow,radiate
8,46,27,cloth,fabric
8,46,28,liability,responsibility
8,46,29,decline,degrade
8,46,30,pride,lionpack
8,46,31,violence,aggression
8,46,32,village,hamlet
8,46,33,flight,airjourney
8,46,34,middle,centre
8,46,35,fear,fright
8,46,36,loan,lend
8,46,37,illusion,mirage
8,46,38,association,smallsociety
8,46,39,mineral,stonematter
8,46,40,union,workerclub
8,46,41,evolution,darwintheory
8,46,42,fuel,energystuff
8,46,43,dark,unlight
8,46,44,reference,index
8,46,45,globe,earthmodel
8,46,46,understanding,comprehension
8,46,47,accountant,auditor
8,46,48,competition,contest
9,56,1,travel,journeying
9,56,2,practice,repetition
9,56,3,process,doing
9,56,4,analyst,appraiser
9,56,5,cruise,leisurejourney
9,56,6,trip,stumble
9,56,7,enthusiasm,zeal
9,56,8,nature,bioworld
9,56,9,symbol,representation
9,56,10,purpose,intent
9,56,11,performance,effort
9,56,12,trade,swap
9,56,13,graduation,enddegree
9,56,14,burst,explode
9,56,15,album,collection
9,56,16,detail,minutia
9,56,17,loyalty,commitment
9,56,18,south,anti-north
9,56,19,warrior,fighter
9,56,20,branch,treearm
9,56,21,territory,area
9,56,22,communication,talking
9,56,23,danger,hazard
9,56,24,jungle,mega-forest
9,56,25,injury,damage
9,56,26,forum,arena
9,56,27,mistake,error
9,56,28,conversation,chat
9,56,29,clause,section
9,56,30,opposition,antagonists
9,56,31,gravity,weight-force
9,56,32,military,soldierly
9,56,33,arrangement,order
9,56,34,dragon,firebeast
9,56,35,scenario,situation
9,56,36,winter,anti-summer
9,56,37,coal,coke
9,56,38,log,wood
9,56,39,skull,head-bone
9,56,40,syndrome,symptoms
9,56,41,refuge,safety
9,56,42,seminar,lecture
9,56,43,code,encryption
9,56,44,parliament,forum
9,56,45,gaming,playing
9,56,46,purity,cleanliness
9,56,47,price,value
9,56,48,length,measurement
10,24,1,plastic,hardoil
10,24,2,countryside,noncity
10,24,3,answer,ansponse
10,24,4,venture,journey
10,24,5,gambling,moneyrisking
10,24,6,access,entrypermission
10,24,7,music,muse-sounds
10,24,8,rain,skywater
10,24,9,cut,thinslice
10,24,10,fantasy,fictionmagic
10,24,11,cry,wetface
10,24,12,conception,babymaking
10,24,13,secret,hidden
10,24,14,battle,bigfight
10,24,15,disaster,tragedytimes
10,24,16,actress,mimess
10,24,17,prosecutor,aggressor
10,24,18,terrorist,fearspreader
10,24,19,evaluation,summarisation
10,24,20,inconvenience,minagedy
10,24,21,regard,opinionobservation
10,24,22,reputation,regardation
10,24,23,example,showninstance
10,24,24,explosion,outforce
10,24,25,prisoner,capturee
10,24,26,joke,funnytake
10,24,27,laboratory,sciencebase
10,24,28,angle,turnspace
10,24,29,warrant,entrynote
10,24,30,era,timespace
10,24,31,interview,workinterrogation
10,24,32,compassion,othersympathy
10,24,33,voyage,seajourney
10,24,34,midnight,deepevening
10,24,35,festival,themeparty
10,24,36,fraud,fakeactor
10,24,37,talent,speciability
10,24,38,oxygen,lifebreath
10,24,39,sadness,happyless
10,24,40,commitment,promisetasks
10,24,41,depot,stockbase
10,24,42,corps,groupanisation
10,24,43,dream,mindjourney
10,24,44,earth,groundblood
10,24,45,layout,displaypositioning
10,24,46,poem,wordstory
10,24,47,horror,fearfilm
10,24,48,stroke,brainattack
11,29,1,diabetes,sugar
11,29,2,shot,ouch
11,29,3,impulse,uncontrolled
11,29,4,curiosity,wondering
11,29,5,republican,politics
11,29,6,atmosphere,around
11,29,7,attorney,law
11,29,8,click,button
11,29,9,norm,ordinary
11,29,10,war,conflict
11,29,11,department,section
11,29,12,tobacco,smoke
11,29,13,revenge,payback
11,29,14,color,rainbow
11,29,15,air,breathe
11,29,16,loss,gone
11,29,17,tissue,wipe
11,29,18,spell,potion
11,29,19,compliment,positive
11,29,20,weekend,relax
11,29,21,homeland,live
11,29,22,photograph,picture
11,29,23,repair,unbroken
11,29,24,discretion,private
11,29,25,supply,give
11,29,26,celebration,party
11,29,27,advertising,show
11,29,28,friendship,kindness
11,29,29,steam,hot
11,29,30,value,money
11,29,31,dance,music
11,29,32,sentiment,special
11,29,33,toilet,urine
11,29,34,determination,strong
11,29,35,conspiracy,myth
11,29,36,beast,big
11,29,37,riot,fight
11,29,38,item,thing
11,29,39,billion,worth
11,29,40,series,netflix
11,29,41,ruler,measure
11,29,42,plantation,tree
11,29,43,score,marks
11,29,44,cruelty,mean
11,29,45,penny,money
11,29,46,win,succeed
11,29,47,message,send
11,29,48,fix,unbroken
12,32,1,desire,want
12,32,2,storm,hurricane
12,32,3,label,tag
12,32,4,hunting,tracking
12,32,5,promotion,improvement
12,32,6,shame,guilty
12,32,7,charm,spell
12,32,8,mix,combine
12,32,9,pregnancy,motherhood
12,32,10,storm,hurricane
12,32,11,democracy,equal
12,32,12,miracle,blessing
12,32,13,victim,target
12,32,14,hunger,famine
12,32,15,conservative,quiet
12,32,16,stretch,elongate
12,32,17,hurricane,storm
12,32,18,sympathy,sadness
12,32,19,opponent,enemy
12,32,20,method,process
12,32,21,abuse,bullying
12,32,22,destiny,fate
12,32,23,limb,arm
12,32,24,transcript,speech
12,32,25,basis,no
12,32,26,assignment,task
12,32,27,genius,clever
12,32,28,pain,hurt
12,32,29,maintenance,upkeep
12,32,30,counsel,support
12,32,31,cancer,disease
12,32,32,politics,government
12,32,33,accent,dialect
12,32,34,policeman,bobby
12,32,35,decision,choice
12,32,36,passion,interest
12,32,37,electronics,tech
12,32,38,size,shape
12,32,39,pie,pastry
12,32,40,sword,dagger
12,32,41,breast,boob
12,32,42,colony,group
12,32,43,assassination,kill
12,32,44,acid,burn
12,32,45,economics,money
12,32,46,inventor,designer
12,32,47,operation,procedure
12,32,48,guilt,shame
13,45,1,boyfriend,malecompanion
13,45,2,wit,humour
13,45,3,leadership,personincharge
13,45,4,nose,smellingdevice
13,45,5,expression,wayofsaying
13,45,6,grief,greatsadness
13,45,7,frustration,fedupness
13,45,8,quarter,halfahalf
13,45,9,perfection,doneright
13,45,10,excitement,squeals
13,45,11,total,complete
13,45,12,freezing,nithered
13,45,13,noon,midday
13,45,14,slave,choice-lessservant
13,45,15,stone,rock
13,45,16,journey,travelling
13,45,17,submarine,underwatership
13,45,18,gateway,opening
13,45,19,temptation,adamandapple
13,45,20,meantime,erstwhile
13,45,21,role,position
13,45,22,employment,job
13,45,23,feeling,emotion
13,45,24,aggression,angerwithbody
13,45,25,slavery,peoplemisused
13,45,26,murder,deathonpurposebyanother
13,45,27,mention,say
13,45,28,dialogue,conversation
13,45,29,investigation,lookinginto
13,45,30,argument,disagreement
13,45,31,printing,outputwithwords
13,45,32,entertainment,providingjoy
13,45,33,hatred,extremedislike
13,45,34,holiday,breakawayfromhome
13,45,35,receipt,noteofpurchase
13,45,36,attraction,likingalot
13,45,37,puppet,inanimateobjectanimatedbyperson
13,45,38,insurance,justincasepayment
13,45,39,instruction,whattodo
13,45,40,violation,crossedaline
13,45,41,author,writerofbooks
13,45,42,state,partofcountry
13,45,43,truth,honestwords
13,45,44,cheer,madepositivenoise
13,45,45,shortage,notenough
13,45,46,collapse,fallingdown
13,45,47,cargo,freight
13,45,48,lottery,chancetowin
14,23,1,role,part
14,23,2,shortage,limited
14,23,3,total,amount
14,23,4,quarter,fourth
14,23,5,feeling,emotion
14,23,6,printing,transferring
14,23,7,author,writer
14,23,8,puppet,moving-toy
14,23,9,excitement,inspired
14,23,10,entertainment,leisure
14,23,11,frustration,anger
14,23,12,hatred,disgust
14,23,13,argument,fight
14,23,14,gateway,doorway
14,23,15,holiday,vacation
14,23,16,cheer,whoop
14,23,17,noon,midday
14,23,18,dialogue,conversation
14,23,19,instruction,command
14,23,20,state,country
14,23,21,employment,work
14,23,22,submarine,underwater-boat
14,23,23,cargo,load
14,23,24,murder,killing
14,23,25,mention,broughtup
14,23,26,collapse,fell
14,23,27,leadership,presidency
14,23,28,meantime,timebeing
14,23,29,aggression,violence
14,23,30,boyfriend,partner
14,23,31,slave,possession
14,23,32,journey,travels
14,23,33,wit,dry-humor
14,23,34,expression,phrase
14,23,35,violation,advantage-taken
14,23,36,lottery,moneygame
14,23,37,investigation,enquiry
14,23,38,grief,sorrow
14,23,39,slavery,person-ownership
14,23,40,temptation,sin
14,23,41,stone,rock
14,23,42,receipt,list
14,23,43,insurance,reassurance
14,23,44,nose,smeller
14,23,45,truth,fact
14,23,46,freezing,cold
14,23,47,perfection,flawless
14,23,48,attraction,lust
15,26,1,method,procedure
15,26,2,mix,stir
15,26,3,destiny,fate
15,26,4,assignment,homework
15,26,5,storm,angrywaves
15,26,6,conservative,relaxed-person
15,26,7,cancer,dead-cells
15,26,8,abuse,insult
15,26,9,acid,reactive-oxide
15,26,10,hurricane,angry-winds
15,26,11,pain,sad-feeling
15,26,12,charm,attract
15,26,13,politics,leaders-game
15,26,14,genius,innovative
15,26,15,economics,markets-study
15,26,16,decision,choice
15,26,17,colony,ant-group
15,26,18,pie,round-graph
15,26,19,transcript,results-script
15,26,20,stretch,elongate
15,26,21,hunger,tommy-rumble
15,26,22,victim,affected-individual
15,26,23,policeman,cop-man
15,26,24,storm,angry-wave
15,26,25,operation,surgical-procedure
15,26,26,guilt,conscience-pricking
15,26,27,sword,fancy-machete
15,26,28,electronics,semiconductor-devices
15,26,29,assassination,killing-another
15,26,30,shame,disgrace
15,26,31,democracy,government-for-the-people
15,26,32,hunting,animal-chasing
15,26,33,miracle,god-favour
15,26,34,sympathy,condolences
15,26,35,desire,want
15,26,36,inventor,creator
15,26,37,passion,desire
15,26,38,size,volume
15,26,39,label,assign
15,26,40,maintenance,safety-operations
15,26,41,limb,fore-and-hind
15,26,42,pregnancy,mother-carrying-child
15,26,43,opponent,adversary
15,26,44,promotion,rank-increase
15,26,45,basis,foundation
15,26,46,counsel,guidiance
15,26,47,breast,boob
15,26,48,accent,climb
16,65,1,victim,poorrecipent
16,65,2,promotion,elevation
16,65,3,desire,want
16,65,4,hurricane,tornadostorm
16,65,5,storm,severeweather
16,65,6,pregnancy,expecting
16,65,7,passion,frantic
16,65,8,pain,hurting
16,65,9,politics,government
16,65,10,destiny,fate
16,65,11,decision,opt
16,65,12,electronics,gadgets
16,65,13,shame,dismal
16,65,14,operation,surgery
16,65,15,cancer,canker
16,65,16,counsel,lawyer
16,65,17,assignment,homwork
16,65,18,label,tag
16,65,19,transcript,script
16,65,20,inventor,creator
16,65,21,genius,brainbox
16,65,22,acid,alkaloid
16,65,23,miracle,wonderous
16,65,24,guilt,fearsome
16,65,25,charm,smarmy
16,65,26,size,fitting
16,65,27,economics,business
16,65,28,accent,dialect
16,65,29,hunting,persuing
16,65,30,mix,muddleup
16,65,31,sympathy,empathy
16,65,32,democracy,controllers
16,65,33,storm,weather
16,65,34,opponent,competitor
16,65,35,conservative,traditional
16,65,36,assassination,murdered
16,65,37,basis,rule
16,65,38,stretch,elastic
16,65,39,method,order
16,65,40,breast,titty
16,65,41,policeman,copper
16,65,42,sword,lance
16,65,43,limb,appendage
16,65,44,abuse,fisticuffs
16,65,45,colony,settlers
16,65,46,maintenance,carefor
16,65,47,hunger,satiated
16,65,48,pie,pasty
17,54,1,assassination,killer
17,54,2,conservative,stuffyperson
17,54,3,hunting,trackeddown
17,54,4,breast,babyfeeder
17,54,5,passion,loveobsessed
17,54,6,guilt,feelbad
17,54,7,label,instructiontab
17,54,8,storm,badweather
17,54,9,method,dothis
17,54,10,transcript,copyform
17,54,11,politics,viewpoints
17,54,12,hunger,unfed
17,54,13,acid,nonalkaline
17,54,14,limb,bodybit
17,54,15,stretch,makelonger
17,54,16,decision,conclusion
17,54,17,destiny,naturalend
17,54,18,abuse,forced
17,54,19,basis,blinked
17,54,20,accent,naturaldialect
17,54,21,storm,turbulent
17,54,22,victim,injuredparty
17,54,23,promotion,upladder
17,54,24,pie,inpastry
17,54,25,shame,disgraced
17,54,26,opponent,opposition
17,54,27,sympathy,showsorry
17,54,28,democracy,equalunion
17,54,29,policeman,lawofficer
17,54,30,hurricane,windhowl
17,54,31,inventor,makerofnew
17,54,32,maintenance,upkeeper
17,54,33,desire,deepwant
17,54,34,electronics,voltagestuff
17,54,35,charm,feelgooder
17,54,36,mix,incorporate
17,54,37,cancer,badgrowth
17,54,38,miracle,wonderevent
17,54,39,colony,groupof
17,54,40,economics,wealth
17,54,41,size,howbig
17,54,42,operation,workslike
17,54,43,counsel,instruementhere
17,54,44,pain,hurting
17,54,45,assignment,jobsheet
17,54,46,pregnancy,withbaby
17,54,47,sword,strikinginstrument
17,54,48,genius,cleverer
18,28,1,author,writer
18,28,2,submarine,underseaboat
18,28,3,argument,heateddisccussion
18,28,4,cargo,stockonabigship
18,28,5,lottery,rafflegambling
18,28,6,insurance,justincase
18,28,7,shortage,few
18,28,8,investigation,research
18,28,9,holiday,break
18,28,10,slavery,slaves
18,28,11,murder,kill
18,28,12,gateway,opening
18,28,13,instruction,rules
18,28,14,employment,paidwork
18,28,15,hatred,cross
18,28,16,nose,middleofface
18,28,17,meantime,meanwhile
18,28,18,violation,breach
18,28,19,receipt,confirmation
18,28,20,wit,funny
18,28,21,frustration,angry
18,28,22,quarter,oneoffour
18,28,23,excitement,thrill
18,28,24,entertainment,enjoywatching
18,28,25,state,condition
18,28,26,slave,unpaidworker
18,28,27,attraction,appeasing
18,28,28,dialogue,speech
18,28,29,expression,request
18,28,30,feeling,emotion
18,28,31,cheer,happy
18,28,32,aggression,violent
18,28,33,total,full
18,28,34,noon,midday
18,28,35,role,part
18,28,36,mention,discuss
18,28,37,boyfriend,malepartner
18,28,38,temptation,desire
18,28,39,truth,honesty
18,28,40,perfection,complete
18,28,41,grief,sadnessfromdeath
18,28,42,freezing,verycold
18,28,43,collapse,faint
18,28,44,stone,rock
18,28,45,puppet,fingercharacter
18,28,46,leadership,chief
18,28,47,printing,embossonpaper
18,28,48,journey,route
19,69,1,hunting,seeking
19,69,2,promotion,advancement
19,69,3,operation,surgery
19,69,4,assassination,killing
19,69,5,miracle,marvel
19,69,6,shame,sorrow
19,69,7,electronics,technology
19,69,8,breast,chest
19,69,9,cancer,illness
19,69,10,storm,windy
19,69,11,size,measurements
19,69,12,destiny,fate
19,69,13,inventor,creator
19,69,14,passion,love
19,69,15,accent,dialect
19,69,16,abuse,assault
19,69,17,pregnancy,expectant
19,69,18,label,tag
19,69,19,stretch,elongate
19,69,20,economics,financial
19,69,21,desire,urge
19,69,22,sympathy,sorrow
19,69,23,counsel,advise
19,69,24,decision,result
19,69,25,victim,offendee
19,69,26,hunger,starving
19,69,27,limb,arm
19,69,28,conservative,right
19,69,29,transcript,sketch
19,69,30,acid,nonalcaline
19,69,31,politics,government
19,69,32,colony,tribe
19,69,33,genius,brainy
19,69,34,opponent,challenger
19,69,35,policeman,copper
19,69,36,democracy,votes
19,69,37,basis,elementary
19,69,38,pie,sweet
19,69,39,assignment,task
19,69,40,guilt,wrongdoing
19,69,41,maintenance,repair
19,69,42,storm,tornado
19,69,43,mix,combine
19,69,44,pain,ache
19,69,45,charm,charisma
19,69,46,method,system
19,69,47,hurricane,torpando
19,69,48,sword,excaliber
20,56,1,insert,enter
20,56,2,seizure,fit
20,56,3,intent,belief
20,56,4,skill,gift
20,56,5,river,fastwater
20,56,6,scout,soldier
20,56,7,program,schedule
20,56,8,creation,birth
20,56,9,application,cover
20,56,10,strength,strong
20,56,11,obsession,stalk
20,56,12,encounter,see
20,56,13,closure,fasten
20,56,14,extreme,obsessed
20,56,15,snack,morsel
20,56,16,quote,saying
20,56,17,tomb,grave
20,56,18,plot,scheme
20,56,19,commission,make
20,56,20,article,story
20,56,21,id,in
20,56,22,email,message
20,56,23,outlook,view
20,56,24,photographer,picturetaker
20,56,25,concentration,studious
20,56,26,management,boss
20,56,27,smoke,billow
20,56,28,philosophy,belief
20,56,29,principle,beliefs
20,56,30,vacation,holiday
20,56,31,discipline,punish
20,56,32,debt,poverty
20,56,33,land,earth
20,56,34,minimum,smallish
20,56,35,audience,viewers
20,56,36,reaction,present
20,56,37,rally,protest
20,56,38,smell,senses
20,56,39,category,group
20,56,40,gold,precious
20,56,41,leap,jump
20,56,42,pattern,picture
20,56,43,language,speech
20,56,44,programming,construct
20,56,45,gram,weight
20,56,46,appreciation,clap
20,56,47,epic,great
20,56,48,type,write
21,35,1,opponent,opposition
21,35,2,decision,conclusion
21,35,3,counsel,advisor
21,35,4,cancer,tumour
21,35,5,pain,discomfort
21,35,6,breast,chest
21,35,7,transcript,text
21,35,8,operation,surgery
21,35,9,label,clothingticket
21,35,10,conservative,reserved
21,35,11,politics,government
21,35,12,basis,starting-point
21,35,13,hurricane,cyclone
21,35,14,democracy,votefair
21,35,15,pregnancy,gestation
21,35,16,acid,vinegary
21,35,17,desire,lust
21,35,18,sympathy,condolence
21,35,19,genius,high-iq
21,35,20,inventor,creator
21,35,21,pie,tart
21,35,22,size,measurements
21,35,23,storm,high-winds
21,35,24,shame,embarassment
21,35,25,hunting,searching
21,35,26,destiny,fate
21,35,27,victim,sufferer
21,35,28,guilt,wrong-doing
21,35,29,assignment,essay
21,35,30,storm,low-pressure
21,35,31,charm,allure
21,35,32,mix,combine
21,35,33,electronics,consoles
21,35,34,promotion,advance
21,35,35,accent,emphasis
21,35,36,economics,finances
21,35,37,colony,cult
21,35,38,sword,sharpweapon
21,35,39,abuse,attack
21,35,40,miracle,mystery
21,35,41,limb,bodypart
21,35,42,stretch,extend
21,35,43,maintenance,upkeep
21,35,44,passion,lust
21,35,45,method,order
21,35,46,policeman,bobby
21,35,47,hunger,starving
21,35,48,assassination,killing
22,43,1,purity,innocence
22,43,2,injury,wound
22,43,3,symbol,sign
22,43,4,danger,hazard
22,43,5,analyst,trendstudier
22,43,6,south,mexico
22,43,7,opposition,against
22,43,8,detail,indepth
22,43,9,album,lp
22,43,10,travel,explore
22,43,11,log,treeproduce
22,43,12,skull,headbone
22,43,13,seminar,meeting
22,43,14,loyalty,allegiance
22,43,15,code,morse
22,43,16,process,procedure
22,43,17,price,cost
22,43,18,clause,smallprint
22,43,19,purpose,aim
22,43,20,coal,blackstuff
