condition;ID;gender;age;text;text2;type;resp
1;1;Femmina;24;farfalla;fantasia;trackpad;fantasia
1;1;Femmina;24;immorale;attrezzo;trackpad;immorale
1;1;Femmina;24;avventura;vacanza;trackpad;avventura
1;1;Femmina;24;lussuria;prateria;trackpad;lussuria
1;1;Femmina;24;pugnale;fortuito;trackpad;fortuito
1;1;Femmina;24;magnifico;zanzara;trackpad;magnifico
1;1;Femmina;24;lenire;ferite;trackpad;lenire
1;1;Femmina;24;assediato;ferito;trackpad;assediato
1;1;Femmina;24;statua;audace;trackpad;audace
1;1;Femmina;24;eccellenza;diamante;trackpad;eccellenza
1;1;Femmina;24;pianta;saggio;trackpad;saggio
1;1;Femmina;24;onore;vino;trackpad;onore
1;1;Femmina;24;puzza;stufa;trackpad;puzza
1;1;Femmina;24;natale;albero;trackpad;natale
1;1;Femmina;24;grezzo;barile;trackpad;barile
1;1;Femmina;24;facile;morbido;trackpad;facile
1;1;Femmina;24;intelletto;idrante;trackpad;intelletto
1;1;Femmina;24;cappello;rovente;trackpad;rovente
1;1;Femmina;24;brutale;miele;trackpad;brutale
1;1;Femmina;24;ottimismo;profumo;trackpad;ottimismo
1;1;Femmina;24;asilo;motivo;trackpad;motivo
1;1;Femmina;24;rasoio;stritolare;trackpad;stritolare
1;1;Femmina;24;tromba;potenza;trackpad;potenza
1;1;Femmina;24;mercato;vantaggio;trackpad;vantaggio
1;1;Femmina;24;opzione;giacca;trackpad;opzione
1;1;Femmina;24;annoiato;mestolo;trackpad;annoiato
1;1;Femmina;24;genere;cioccolato;trackpad;genere
1;1;Femmina;24;lavare;attivare;trackpad;attivare
1;1;Femmina;24;dormire;paradiso;trackpad;paradiso
1;1;Femmina;24;tavolo;pressione;trackpad;pressione
1;1;Femmina;24;crepuscolo;orologio;trackpad;crepuscolo
1;1;Femmina;24;prete;devoto;trackpad;devoto
1;1;Femmina;24;occhio;inganno;trackpad;inganno
1;1;Femmina;24;paletta;collisione;trackpad;collisione
1;1;Femmina;24;deforme;tronco;trackpad;deforme
1;1;Femmina;24;atletica;scarpa;trackpad;atletica
1;1;Femmina;24;montagna;codardo;trackpad;codardo
1;1;Femmina;24;grave;caviglia;trackpad;grave
1;1;Femmina;24;febbre;pino;trackpad;febbre
1;1;Femmina;24;elegante;felpa;trackpad;elegante
1;1;Femmina;24;poltrona;fiducia;trackpad;fiducia
1;1;Femmina;24;bocca;riverente;trackpad;riverente
1;1;Femmina;24;intimo;mistico;trackpad;mistico
1;1;Femmina;24;scarafaggio;orribile;trackpad;orribile
1;1;Femmina;24;cane;cortese;trackpad;cortese
1;1;Femmina;24;burro;tenero;trackpad;tenero
1;1;Femmina;24;specchio;spirito;trackpad;spirito
1;2;Maschio;20;attico;modesto;Mouse esterno;modesto
1;2;Maschio;20;insolente;vasca;Mouse esterno;insolente
1;2;Maschio;20;intelletto;idrante;Mouse esterno;intelletto
1;2;Maschio;20;fastidio;naso;Mouse esterno;fastidio
1;2;Maschio;20;evidente;serbatoio;Mouse esterno;evidente
1;2;Maschio;20;magnifico;zanzara;Mouse esterno;magnifico
1;2;Maschio;20;mobilita;gomma;Mouse esterno;mobilita
1;2;Maschio;20;maniaco;ossessione;Mouse esterno;ossessione
1;2;Maschio;20;assediato;ferito;Mouse esterno;assediato
1;2;Maschio;20;brutale;miele;Mouse esterno;brutale
1;2;Maschio;20;febbre;pino;Mouse esterno;febbre
1;2;Maschio;20;rancido;insalata;Mouse esterno;rancido
1;2;Maschio;20;caramella;melodia;Mouse esterno;melodia
1;2;Maschio;20;cane;cortese;Mouse esterno;cortese
1;2;Maschio;20;vetro;giustizia;Mouse esterno;giustizia
1;2;Maschio;20;dollaro;utile;Mouse esterno;utile
1;2;Maschio;20;natale;albero;Mouse esterno;natale
1;2;Maschio;20;statua;audace;Mouse esterno;audace
1;2;Maschio;20;elegante;felpa;Mouse esterno;elegante
1;2;Maschio;20;pianta;saggio;Mouse esterno;saggio
1;2;Maschio;20;meraviglia;cornice;Mouse esterno;meraviglia
1;2;Maschio;20;mercato;vantaggio;Mouse esterno;vantaggio
1;2;Maschio;20;cappello;rovente;Mouse esterno;rovente
1;2;Maschio;20;orecchio;disturbare;Mouse esterno;disturbare
1;2;Maschio;20;prete;devoto;Mouse esterno;devoto
1;2;Maschio;20;coltello;demonio;Mouse esterno;demonio
1;2;Maschio;20;cavallo;arte;Mouse esterno;arte
1;2;Maschio;20;guarire;ospedale;Mouse esterno;guarire
1;2;Maschio;20;bocca;riverente;Mouse esterno;riverente
1;2;Maschio;20;rasoio;stritolare;Mouse esterno;stritolare
1;2;Maschio;20;ostile;nuvoloso;Mouse esterno;ostile
1;2;Maschio;20;specchio;spirito;Mouse esterno;spirito
1;2;Maschio;20;farfalla;fantasia;Mouse esterno;fantasia
1;2;Maschio;20;lussuria;prateria;Mouse esterno;lussuria
1;2;Maschio;20;lenire;ferite;Mouse esterno;lenire
1;2;Maschio;20;carcere;pena;Mouse esterno;pena
1;2;Maschio;20;paralisi;sedia;Mouse esterno;paralisi
1;2;Maschio;20;sfera;fase;Mouse esterno;fase
1;2;Maschio;20;ulivo;ambizione;Mouse esterno;ambizione
1;2;Maschio;20;appetitoso;pizza;Mouse esterno;appetitoso
1;2;Maschio;20;estasi;sughero;Mouse esterno;estasi
1;2;Maschio;20;grezzo;barile;Mouse esterno;grezzo
1;2;Maschio;20;diavolo;prigione;Mouse esterno;diavolo
1;2;Maschio;20;pugnale;fortuito;Mouse esterno;fortuito
1;2;Maschio;20;veloce;vespa;Mouse esterno;veloce
1;2;Maschio;20;disprezzo;sorriso;Mouse esterno;disprezzo
1;2;Maschio;20;musica;violino;Mouse esterno;musica
1;2;Maschio;20;muscoloso;debole;Mouse esterno;debole
1;2;Maschio;20;laureato;dio;Mouse esterno;dio
1;2;Maschio;20;riparato;tenda;Mouse esterno;riparato
1;2;Maschio;20;pentola;mente;Mouse esterno;mente
1;2;Maschio;20;lavare;attivare;Mouse esterno;attivare
1;2;Maschio;20;giocattolo;insipido;Mouse esterno;insipido
1;2;Maschio;20;vittoria;ombrello;Mouse esterno;vittoria
1;2;Maschio;20;dentista;fiducioso;Mouse esterno;fiducioso
1;2;Maschio;20;grato;abbraccio;Mouse esterno;grato
1;2;Maschio;20;poltrona;fiducia;Mouse esterno;fiducia
1;2;Maschio;20;gatto;spaventato;Mouse esterno;spaventato
1;2;Maschio;20;libreria;spazio;Mouse esterno;spazio
1;2;Maschio;20;crepuscolo;orologio;Mouse esterno;crepuscolo
1;2;Maschio;20;montagna;codardo;Mouse esterno;codardo
1;2;Maschio;20;caos;quaderno;Mouse esterno;caos
1;2;Maschio;20;genere;cioccolato;Mouse esterno;genere
1;2;Maschio;20;sedile;agile;Mouse esterno;agile
1;2;Maschio;20;finestra;triste;Mouse esterno;triste
1;2;Maschio;20;corrotto;gonna;Mouse esterno;corrotto
1;2;Maschio;20;immorale;attrezzo;Mouse esterno;immorale
1;2;Maschio;20;scarafaggio;orribile;Mouse esterno;orribile
1;2;Maschio;20;tromba;potenza;Mouse esterno;potenza
1;2;Maschio;20;freddo;cappotto;Mouse esterno;freddo
1;2;Maschio;20;latte;fetore;Mouse esterno;fetore
1;2;Maschio;20;idiota;scimmia;Mouse esterno;idiota
1;2;Maschio;20;paletta;collisione;Mouse esterno;collisione
1;2;Maschio;20;onore;vino;Mouse esterno;onore
1;2;Maschio;20;gattino;dettaglio;Mouse esterno;dettaglio
1;2;Maschio;20;fetido;calza;Mouse esterno;fetido
1;2;Maschio;20;facile;morbido;Mouse esterno;facile
1;2;Maschio;20;piatto;insipido;Mouse esterno;insipido
1;2;Maschio;20;opzione;giacca;Mouse esterno;opzione
1;2;Maschio;20;avventura;vacanza;Mouse esterno;vacanza
1;2;Maschio;20;gomito;astio;Mouse esterno;astio
1;2;Maschio;20;ottimismo;profumo;Mouse esterno;ottimismo
1;2;Maschio;20;vaso;gloria;Mouse esterno;gloria
1;2;Maschio;20;incidente;colpa;Mouse esterno;colpa
1;2;Maschio;20;maglia;vincere;Mouse esterno;vincere
1;2;Maschio;20;buio;balcone;Mouse esterno;buio
1;2;Maschio;20;frigido;forcina;Mouse esterno;frigido
1;2;Maschio;20;grave;caviglia;Mouse esterno;grave
1;2;Maschio;20;precipizio;orrore;Mouse esterno;orrore
1;2;Maschio;20;asilo;motivo;Mouse esterno;motivo
1;2;Maschio;20;occhio;inganno;Mouse esterno;inganno
1;2;Maschio;20;causa;stomaco;Mouse esterno;causa
1;2;Maschio;20;bicicletta;passione;Mouse esterno;passione
1;2;Maschio;20;ricatto;schiaffo;Mouse esterno;ricatto
1;2;Maschio;20;ispirato;geranio;Mouse esterno;ispirato
1;2;Maschio;20;dono;perspicacia;Mouse esterno;perspicacia
1;2;Maschio;20;eccellenza;diamante;Mouse esterno;eccellenza
1;2;Maschio;20;infuriato;forchetta;Mouse esterno;infuriato
1;2;Maschio;20;annoiato;mestolo;Mouse esterno;annoiato
1;2;Maschio;20;atletica;scarpa;Mouse esterno;atletica
1;2;Maschio;20;deforme;tronco;Mouse esterno;deforme
1;2;Maschio;20;intimo;mistico;Mouse esterno;mistico
1;2;Maschio;20;scrivania;pensieroso;Mouse esterno;pensieroso
1;2;Maschio;20;leggenda;scala;Mouse esterno;leggenda
1;2;Maschio;20;prestigio;lusso;Mouse esterno;lusso
1;2;Maschio;20;burro;tenero;Mouse esterno;tenero
1;2;Maschio;20;tavolo;pressione;Mouse esterno;pressione
1;2;Maschio;20;umano;morale;Mouse esterno;morale
1;2;Maschio;20;miracolo;applauso;Mouse esterno;miracolo
1;2;Maschio;20;dormire;paradiso;Mouse esterno;paradiso
1;2;Maschio;20;puzza;stufa;Mouse esterno;puzza
1;2;Maschio;20;infedele;sposa;Mouse esterno;infedele
1;2;Maschio;20;aereo;allerta;Mouse esterno;allerta
1;2;Maschio;20;rosso;bicchiere;Mouse esterno;rosso
1;2;Maschio;20;poesia;penna;Mouse esterno;poesia
1;2;Maschio;20;abito;solenne;Mouse esterno;solenne
1;2;Maschio;20;stanco;divano;Mouse esterno;stanco
1;2;Maschio;20;camera;cortesia;Mouse esterno;cortesia
1;2;Maschio;20;elefante;innocente;Mouse esterno;innocente
1;2;Maschio;20;giardino;salute;Mouse esterno;salute
2;3;Femmina;21;lussuria;prateria;mouse esterno;prateria
2;3;Femmina;21;camera;cortesia;mouse esterno;camera
2;3;Femmina;21;natale;albero;mouse esterno;albero
2;3;Femmina;21;mercato;vantaggio;mouse esterno;mercato
2;3;Femmina;21;dono;perspicacia;mouse esterno;dono
2;3;Femmina;21;fetido;calza;mouse esterno;calza
2;3;Femmina;21;umano;morale;mouse esterno;umano
2;3;Femmina;21;magnifico;zanzara;mouse esterno;zanzara
2;3;Femmina;21;scarafaggio;orribile;mouse esterno;scarafaggio
2;3;Femmina;21;tavolo;pressione;mouse esterno;tavolo
2;3;Femmina;21;buio;balcone;mouse esterno;balcone
2;3;Femmina;21;atletica;scarpa;mouse esterno;scarpa
2;3;Femmina;21;estasi;sughero;mouse esterno;sughero
2;3;Femmina;21;pianta;saggio;mouse esterno;pianta
2;3;Femmina;21;assediato;ferito;mouse esterno;ferito
2;3;Femmina;21;bicicletta;passione;mouse esterno;bicicletta
2;3;Femmina;21;crepuscolo;orologio;mouse esterno;orologio
2;3;Femmina;21;deforme;tronco;mouse esterno;tronco
2;3;Femmina;21;rancido;insalata;mouse esterno;insalata
2;3;Femmina;21;avventura;vacanza;mouse esterno;avventura
2;3;Femmina;21;riparato;tenda;mouse esterno;tenda
2;3;Femmina;21;prestigio;lusso;mouse esterno;lusso
2;3;Femmina;21;infuriato;forchetta;mouse esterno;forchetta
2;3;Femmina;21;idiota;scimmia;mouse esterno;scimmia
2;3;Femmina;21;ottimismo;profumo;mouse esterno;profumo
2;3;Femmina;21;disprezzo;sorriso;mouse esterno;sorriso
2;3;Femmina;21;libreria;spazio;mouse esterno;libreria
2;3;Femmina;21;burro;tenero;mouse esterno;burro
2;3;Femmina;21;infedele;sposa;mouse esterno;sposa
2;3;Femmina;21;gatto;spaventato;mouse esterno;gatto
2;3;Femmina;21;scrivania;pensieroso;mouse esterno;scrivania
2;3;Femmina;21;statua;audace;mouse esterno;statua
2;3;Femmina;21;stanco;divano;mouse esterno;divano
2;3;Femmina;21;pentola;mente;mouse esterno;pentola
2;3;Femmina;21;febbre;pino;mouse esterno;pino
2;3;Femmina;21;prete;devoto;mouse esterno;prete
2;3;Femmina;21;vaso;gloria;mouse esterno;vaso
2;3;Femmina;21;asilo;motivo;mouse esterno;asilo
2;3;Femmina;21;ricatto;schiaffo;mouse esterno;schiaffo
2;3;Femmina;21;fastidio;naso;mouse esterno;naso
2;3;Femmina;21;caramella;melodia;mouse esterno;caramella
2;3;Femmina;21;montagna;codardo;mouse esterno;montagna
2;3;Femmina;21;poltrona;fiducia;mouse esterno;poltrona
2;3;Femmina;21;gomito;astio;mouse esterno;gomito
2;3;Femmina;21;dormire;paradiso;mouse esterno;dormire
2;3;Femmina;21;puzza;stufa;mouse esterno;stufa
2;3;Femmina;21;ispirato;geranio;mouse esterno;geranio
2;3;Femmina;21;giardino;salute;mouse esterno;giardino
2;3;Femmina;21;guarire;ospedale;mouse esterno;ospedale
2;3;Femmina;21;appetitoso;pizza;mouse esterno;pizza
2;3;Femmina;21;mobilita;gomma;mouse esterno;gomma
2;3;Femmina;21;vetro;giustizia;mouse esterno;vetro
2;3;Femmina;21;evidente;serbatoio;mouse esterno;serbatoio
2;3;Femmina;21;paletta;collisione;mouse esterno;paletta
2;3;Femmina;21;onore;vino;mouse esterno;vino
2;3;Femmina;21;sedile;agile;mouse esterno;sedile
2;3;Femmina;21;lavare;attivare;mouse esterno;attivare
2;3;Femmina;21;cappello;rovente;mouse esterno;cappello
2;3;Femmina;21;opzione;giacca;mouse esterno;giacca
2;3;Femmina;21;elegante;felpa;mouse esterno;felpa
2;3;Femmina;21;occhio;inganno;mouse esterno;occhio
2;3;Femmina;21;maglia;vincere;mouse esterno;maglia
2;3;Femmina;21;intimo;mistico;mouse esterno;intimo
2;3;Femmina;21;bocca;riverente;mouse esterno;bocca
2;3;Femmina;21;abito;solenne;mouse esterno;abito
2;3;Femmina;21;farfalla;fantasia;mouse esterno;farfalla
2;3;Femmina;21;poesia;penna;mouse esterno;penna
2;3;Femmina;21;eccellenza;diamante;mouse esterno;diamante
2;3;Femmina;21;tromba;potenza;mouse esterno;tromba
2;3;Femmina;21;grave;caviglia;mouse esterno;caviglia
2;3;Femmina;21;orecchio;disturbare;mouse esterno;orecchio
2;3;Femmina;21;freddo;cappotto;mouse esterno;cappotto
2;3;Femmina;21;facile;morbido;mouse esterno;morbido
2;3;Femmina;21;ostile;nuvoloso;mouse esterno;nuvoloso
2;3;Femmina;21;rosso;bicchiere;mouse esterno;bicchiere
2;3;Femmina;21;diavolo;prigione;mouse esterno;prigione
2;3;Femmina;21;grato;abbraccio;mouse esterno;abbraccio
2;3;Femmina;21;miracolo;applauso;mouse esterno;applauso
2;3;Femmina;21;caos;quaderno;mouse esterno;quaderno
2;3;Femmina;21;gattino;dettaglio;mouse esterno;gattino
2;3;Femmina;21;leggenda;scala;mouse esterno;scala
2;3;Femmina;21;musica;violino;mouse esterno;violino
2;3;Femmina;21;cane;cortese;mouse esterno;cane
2;3;Femmina;21;annoiato;mestolo;mouse esterno;mestolo
2;3;Femmina;21;maniaco;ossessione;mouse esterno;maniaco
2;3;Femmina;21;sfera;fase;mouse esterno;sfera
2;3;Femmina;21;lenire;ferite;mouse esterno;ferite
2;3;Femmina;21;specchio;spirito;mouse esterno;specchio
2;3;Femmina;21;corrotto;gonna;mouse esterno;gonna
2;3;Femmina;21;frigido;forcina;mouse esterno;forcina
2;3;Femmina;21;laureato;dio;mouse esterno;laureato
2;3;Femmina;21;finestra;triste;mouse esterno;finestra
2;3;Femmina;21;intelletto;idrante;mouse esterno;intelletto
2;3;Femmina;21;latte;fetore;mouse esterno;latte
2;3;Femmina;21;pugnale;fortuito;mouse esterno;pugnale
2;3;Femmina;21;rasoio;stritolare;mouse esterno;rasoio
2;3;Femmina;21;piatto;insipido;mouse esterno;piatto
2;3;Femmina;21;meraviglia;cornice;mouse esterno;cornice
2;3;Femmina;21;incidente;colpa;mouse esterno;incidente
2;3;Femmina;21;attico;modesto;mouse esterno;attico
2;3;Femmina;21;cavallo;arte;mouse esterno;cavallo
2;3;Femmina;21;coltello;demonio;mouse esterno;coltello
2;3;Femmina;21;carcere;pena;mouse esterno;carcere
2;3;Femmina;21;veloce;vespa;mouse esterno;vespa
2;3;Femmina;21;vittoria;ombrello;mouse esterno;ombrello
2;3;Femmina;21;paralisi;sedia;mouse esterno;sedia
2;3;Femmina;21;dollaro;utile;mouse esterno;dollaro
2;3;Femmina;21;aereo;allerta;mouse esterno;aereo
2;3;Femmina;21;muscoloso;debole;mouse esterno;muscoloso
2;3;Femmina;21;ulivo;ambizione;mouse esterno;ulivo
2;3;Femmina;21;giocattolo;insipido;mouse esterno;giocattolo
2;3;Femmina;21;elefante;innocente;mouse esterno;elefante
2;3;Femmina;21;insolente;vasca;mouse esterno;vasca
2;3;Femmina;21;immorale;attrezzo;mouse esterno;attrezzo
2;3;Femmina;21;genere;cioccolato;mouse esterno;cioccolato
2;3;Femmina;21;grezzo;barile;mouse esterno;barile
2;3;Femmina;21;dentista;fiducioso;mouse esterno;dentista
2;3;Femmina;21;precipizio;orrore;mouse esterno;precipizio
2;3;Femmina;21;causa;stomaco;mouse esterno;stomaco
2;3;Femmina;21;brutale;miele;mouse esterno;miele
2;4;femmina;22;puzza;stufa;mouse;stufa
2;4;femmina;22;disprezzo;sorriso;mouse;sorriso
2;4;femmina;22;veloce;vespa;mouse;vespa
2;4;femmina;22;evidente;serbatoio;mouse;serbatoio
2;4;femmina;22;gattino;dettaglio;mouse;gattino
2;4;femmina;22;estasi;sughero;mouse;sughero
2;4;femmina;22;cane;cortese;mouse;cane
2;4;femmina;22;sfera;fase;mouse;sfera
2;4;femmina;22;pentola;mente;mouse;pentola
2;4;femmina;22;natale;albero;mouse;albero
2;4;femmina;22;ispirato;geranio;mouse;geranio
2;4;femmina;22;giardino;salute;mouse;giardino
2;4;femmina;22;scarafaggio;orribile;mouse;scarafaggio
2;4;femmina;22;insolente;vasca;mouse;vasca
2;4;femmina;22;lenire;ferite;mouse;ferite
2;4;femmina;22;umano;morale;mouse;umano
2;4;femmina;22;scrivania;pensieroso;mouse;scrivania
2;4;femmina;22;fetido;calza;mouse;calza
2;4;femmina;22;poltrona;fiducia;mouse;poltrona
2;4;femmina;22;lavare;attivare;mouse;lavare
2;4;femmina;22;sedile;agile;mouse;sedile
2;4;femmina;22;maniaco;ossessione;mouse;ossessione
2;4;femmina;22;grato;abbraccio;mouse;abbraccio
2;4;femmina;22;finestra;triste;mouse;finestra
2;4;femmina;22;rancido;insalata;mouse;insalata
2;4;femmina;22;pugnale;fortuito;mouse;pugnale
2;4;femmina;22;atletica;scarpa;mouse;scarpa
2;4;femmina;22;appetitoso;pizza;mouse;pizza
2;4;femmina;22;guarire;ospedale;mouse;ospedale
2;4;femmina;22;burro;tenero;mouse;burro
2;4;femmina;22;intelletto;idrante;mouse;idrante
2;4;femmina;22;vaso;gloria;mouse;vaso
2;4;femmina;22;gatto;spaventato;mouse;gatto
2;4;femmina;22;precipizio;orrore;mouse;precipizio
2;4;femmina;22;pianta;saggio;mouse;pianta
2;4;femmina;22;riparato;tenda;mouse;tenda
2;4;femmina;22;meraviglia;cornice;mouse;cornice
2;4;femmina;22;idiota;scimmia;mouse;scimmia
2;4;femmina;22;buio;balcone;mouse;balcone
2;4;femmina;22;elegante;felpa;mouse;felpa
2;4;femmina;22;mobilita;gomma;mouse;gomma
2;4;femmina;22;caos;quaderno;mouse;quaderno
2;4;femmina;22;abito;solenne;mouse;abito
2;4;femmina;22;facile;morbido;mouse;morbido
2;4;femmina;22;asilo;motivo;mouse;asilo
2;4;femmina;22;statua;audace;mouse;statua
2;4;femmina;22;frigido;forcina;mouse;forcina
2;4;femmina;22;paralisi;sedia;mouse;sedia
2;4;femmina;22;opzione;giacca;mouse;giacca
2;4;femmina;22;occhio;inganno;mouse;occhio
2;4;femmina;22;ostile;nuvoloso;mouse;nuvoloso
2;4;femmina;22;leggenda;scala;mouse;scala
2;4;femmina;22;caramella;melodia;mouse;caramella
2;4;femmina;22;farfalla;fantasia;mouse;farfalla
2;4;femmina;22;libreria;spazio;mouse;libreria
2;4;femmina;22;diavolo;prigione;mouse;prigione
2;4;femmina;22;elefante;innocente;mouse;elefante
2;4;femmina;22;vittoria;ombrello;mouse;ombrello
2;4;femmina;22;bicicletta;passione;mouse;bicicletta
2;4;femmina;22;freddo;cappotto;mouse;cappotto
2;4;femmina;22;dormire;paradiso;mouse;dormire
2;4;femmina;22;assediato;ferito;mouse;assediato
2;4;femmina;22;ottimismo;profumo;mouse;profumo
2;4;femmina;22;cavallo;arte;mouse;cavallo
2;4;femmina;22;onore;vino;mouse;vino
2;4;femmina;22;musica;violino;mouse;violino
2;4;femmina;22;lussuria;prateria;mouse;prateria
2;4;femmina;22;crepuscolo;orologio;mouse;orologio
2;4;femmina;22;tavolo;pressione;mouse;tavolo
2;4;femmina;22;genere;cioccolato;mouse;cioccolato
2;4;femmina;22;attico;modesto;mouse;attico
2;4;femmina;22;eccellenza;diamante;mouse;diamante
2;4;femmina;22;grave;caviglia;mouse;caviglia
2;4;femmina;22;specchio;spirito;mouse;specchio
2;4;femmina;22;poesia;penna;mouse;penna
2;4;femmina;22;tromba;potenza;mouse;tromba
2;4;femmina;22;aereo;allerta;mouse;aereo
2;4;femmina;22;grezzo;barile;mouse;barile
2;4;femmina;22;camera;cortesia;mouse;camera
2;4;femmina;22;coltello;demonio;mouse;coltello
2;4;femmina;22;orecchio;disturbare;mouse;orecchio
2;4;femmina;22;infedele;sposa;mouse;sposa
2;4;femmina;22;ulivo;ambizione;mouse;ulivo
2;4;femmina;22;magnifico;zanzara;mouse;zanzara
2;4;femmina;22;fastidio;naso;mouse;naso
2;4;femmina;22;piatto;insipido;mouse;piatto
2;4;femmina;22;brutale;miele;mouse;miele
2;4;femmina;22;bocca;riverente;mouse;bocca
2;4;femmina;22;deforme;tronco;mouse;tronco
2;4;femmina;22;stanco;divano;mouse;divano
2;4;femmina;22;miracolo;applauso;mouse;applauso
2;4;femmina;22;febbre;pino;mouse;pino
2;4;femmina;22;mercato;vantaggio;mouse;mercato
2;4;femmina;22;corrotto;gonna;mouse;gonna
2;4;femmina;22;intimo;mistico;mouse;intimo
2;4;femmina;22;gomito;astio;mouse;gomito
2;4;femmina;22;dollaro;utile;mouse;dollaro
2;4;femmina;22;prestigio;lusso;mouse;lusso
2;4;femmina;22;giocattolo;insipido;mouse;giocattolo
2;4;femmina;22;cappello;rovente;mouse;cappello
2;4;femmina;22;rasoio;stritolare;mouse;rasoio
2;4;femmina;22;maglia;vincere;mouse;maglia
2;4;femmina;22;immorale;attrezzo;mouse;attrezzo
2;4;femmina;22;laureato;dio;mouse;laureato
2;4;femmina;22;dono;perspicacia;mouse;dono
2;4;femmina;22;vetro;giustizia;mouse;vetro
2;4;femmina;22;muscoloso;debole;mouse;muscoloso
2;4;femmina;22;paletta;collisione;mouse;paletta
2;4;femmina;22;prete;devoto;mouse;prete
2;4;femmina;22;latte;fetore;mouse;latte
2;4;femmina;22;incidente;colpa;mouse;incidente
2;4;femmina;22;rosso;bicchiere;mouse;bicchiere
2;4;femmina;22;montagna;codardo;mouse;montagna
