"","participant_id","trial_id","stimulus","response_option_1","response_option_2","response","accuracy"
"84",2,3,"tavolo fazzoletto","NARAMPICOLO","SEDINOCCIO",1,"Incorrect"
"85",2,4,"scarpa roccia","MURANTURIA","CAMATINCIA",1,"Correct"
"86",2,5,"martello specchio","SPALENTOLO","SDRANGOLIO",1,"Correct"
"87",2,6,"giacca camera","GIUBBIATINA","SICCOTTELLA",1,"Correct"
"88",2,7,"albero violino","MUSTONCELLO","SPURIALLIO",2,"Incorrect"
"89",2,8,"vaso prato","SUONANELLO","FIONCOLIOLO",1,"Incorrect"
"90",2,9,"finestra roccia","SDRAIATURA","MURICATTOLA",1,"Incorrect"
"91",2,10,"violino martello","FIOTTINO","SUONACARIO",2,"Correct"
"92",2,11,"tenda roccia","IMMONTURA","CLIETTONDOLA",1,"Correct"
"93",2,12,"giacca insalata","GIUBBIATINA","VESTINETTA",1,"Incorrect"
"94",2,13,"camera insalata","COSTRELLINA","COTTOLIOLIA",2,"Correct"
"95",2,14,"giacca piazza","CAMATINCIA","GIUBBIATURA",2,"Incorrect"
"96",2,15,"albero libro","NARAMPICOLO","SDRAIOLIO",1,"Correct"
"97",2,16,"finestra piazza","GIAPRIATOLA","CAPPETTELLA",1,"Correct"
"98",2,17,"torta insalata","FRICOTTELA","IDRATOLANA",1,"Correct"
"99",2,18,"bambola torta","CENSARELLINA","IDRACIOLA",2,"Incorrect"
"100",2,19,"insalata finestra","COTTOLIOLIA","CLIETTOLA",1,"Incorrect"
"101",2,20,"vaso albero","FIORICELLO","FIORARIOLO",2,"Incorrect"
"102",2,21,"prato fazzoletto","FIOTTINO","CIGOLITELLO",1,"Correct"
"103",2,22,"finestra tenda","TERNOTELLA","GIUBBITINA",1,"Correct"
"104",2,23,"acqua torta","POZZETTERIA","GOCCOTTELLA",1,"Incorrect"
"105",2,24,"tenda piazza","BANDINAIA","ARMONTURIA",1,"Correct"
"106",2,25,"tavolo specchio","SDRANGOLIO","ARMORICELLO",1,"Correct"
"107",2,26,"tavolo prato","SDRAIARELLO","CERBOSCELLO",1,"Correct"
"108",2,27,"torta tenda","ERRACIOLINA","SICCOTTELLA",1,"Incorrect"
"109",2,28,"libro martello","PICATTOLO","ROCCERIOLO",2,"Incorrect"
"110",2,29,"tavolo violino","RABELLIMENTO","SUONCOLLO",2,"Correct"
"111",2,30,"finestra giacca","CLIETTONDOLA","CLIETTOLA",1,"Correct"
"112",2,31,"camera torta","SICCOTTELA","CLICCATTOLA",2,"Incorrect"
"113",2,32,"vaso libro","VISUONDOLO","FIORISITOLO",2,"Correct"
"114",2,33,"giacca tenda","GOCCOTTELLA","GIUBBITINA",2,"Correct"
"115",2,34,"prato violino","SUONANELLO","SUONCOLLO",1,"Correct"
"116",2,35,"tramonto albero","SPALENTOLO","ROSCESCOLO",2,"Correct"
"117",2,36,"albero tavolo","PARTONCELLO","FIORICELLO",2,"Incorrect"
"118",2,37,"piazza roccia","PALCAVERIA","APRIATTOLA",1,"Correct"
"119",2,38,"camera scarpa","CINCOTTELLA","RETTIELLIA",1,"Incorrect"
"120",2,39,"roccia acqua","IDRACIOLA","BANDINAIA",2,"Incorrect"
"121",2,40,"torta roccia","GHIANCIOLA","POZZANELLA",1,"Correct"
"122",2,41,"albero specchio","SRADINELLO","FIORECCIANDOLO",2,"Incorrect"
"123",2,42,"scarpa finestra","BANCOTTINA","CLICCATTOLA",1,"Incorrect"
"124",2,43,"piazza torta","PANCOTTELLA","CINCOTTELLA",2,"Correct"
"125",2,44,"specchio prato","SPURIALLIO","PARTONCELLO",2,"Incorrect"
"126",2,45,"roccia bambola","COSTRELLINA","MURICATTOLA",2,"Incorrect"
"127",2,46,"insalata piazza","VESTINETTA","BANCOTTINA",2,"Correct"
"128",2,47,"insalata acqua","IDRANGIA","TERNOTELLA",2,"Incorrect"
"129",2,48,"camera acqua","FRIGLIANZA","IDRANDINA",2,"Correct"
"130",2,49,"scarpa acqua","VESTOLETTA","IDRATOLANA",2,"Correct"
"131",2,50,"muro specchio","CROIETTOLO","SDRAIARELLO",2,"Incorrect"
"132",2,51,"camera roccia","ARMONTURIA","GIAPRIATOLA",2,"Incorrect"
"133",2,52,"violino libro","SUONISCRIO","CROIETTOLO",1,"Correct"
"134",2,53,"tenda camera","POZZONELLA","SDRANZIA",2,"Correct"
"135",2,54,"albero prato","FIONCOLIOLO","CERBOSCELLO",1,"Incorrect"
"136",2,55,"insalata tenda","FRIGLIANZA","IDRANGIA",2,"Incorrect"
"137",2,56,"camera finestra","APRIATTOLA","FRICOTTELA",1,"Correct"
"138",2,57,"violino tramonto","LUMERSTERSIMO","SUONANNARIO",2,"Correct"
"139",2,58,"vaso tavolo","SGUARELLIO","GRAMINELLO",2,"Correct"
"140",2,59,"violino vaso","ARMORICELLO","ROSCESCOLO",2,"Incorrect"
"141",2,60,"piazza acqua","LAVESCIA","POZZETTERIA",2,"Correct"
"142",2,61,"bambola giacca","RETTIELLIA","VESTOLETTA",2,"Correct"
"143",2,62,"tramonto libro","MUSTONCELLO","LUMERSTERSIMO",2,"Correct"
"144",2,63,"acqua finestra","SICCOTTELA","POZZONELLA",2,"Correct"
"145",2,64,"torta finestra","IDRANDINA","POLIETTOLA",2,"Correct"
"146",2,65,"violino specchio","VISUONDOLO","RAPALINCIO",1,"Correct"
"147",2,66,"giacca scarpa","GHIANCIOLA","GIUBBIATURA",1,"Incorrect"
"148",2,67,"fazzoletto specchio","SGUARELLIO","GRAMINELLO",1,"Correct"
"149",2,68,"fazzoletto albero","SUONISCRIO","FIORECCIANDOLO",2,"Correct"
"150",2,69,"tramonto tavolo","SUONACARIO","SDRAIOLIO",2,"Correct"
"151",2,70,"scarpa torta","CENSARELLINA","PANCOTTELLA",1,"Incorrect"
"152",2,71,"roccia insalata","ERRACIOLINA","PALCAVERIA",1,"Correct"
"153",2,72,"martello prato","FIOCOSCRIO","RAPALINCIO",1,"Incorrect"
"154",2,73,"libro specchio","RABELLIMENTO","PICATTOLO",1,"Correct"
"155",2,74,"giacca acqua","IMMONTURA","LAVESCIA",1,"Incorrect"
"156",2,75,"tavolo muro","FIORINELLO","CIGOLITELLO",1,"Incorrect"
"157",2,76,"acqua tenda","POZZANELLA","SENDINAIA",1,"Correct"
"158",2,77,"piazza camera","POLIETTOLA","SENDINAIA",1,"Incorrect"
"159",2,78,"vaso tramonto","FIORARIOLO","SRADINELLO",2,"Incorrect"
"160",2,79,"prato libro","FIORISITOLO","FIOCOSCRIO",1,"Incorrect"
"161",2,80,"giacca torta","CAPPETTELLA","SDRANZIA",1,"Correct"
"162",2,81,"tenda scarpa","MURANTURIA","SDRAIATURA",2,"Correct"
"163",3,1,"prato violino","SUONANELLO","ROSCESCOLO",2,"Incorrect"
"164",3,2,"fazzoletto vaso","SDRAIOLIO","FIORINELLO",2,"Correct"
"165",3,3,"piazza roccia","PALCAVERIA","POZZETTERIA",2,"Incorrect"
"166",3,4,"giacca camera","GIUBBIATINA","PALCAVERIA",1,"Correct"
"167",3,5,"martello vaso","SRADINELLO","ROCCERIOLO",2,"Correct"
"168",3,6,"giacca insalata","VESTINETTA","IDRANDINA",2,"Incorrect"
"169",3,7,"camera piazza","GOCCOTTELLA","SENDINAIA",2,"Correct"
"170",3,8,"albero tramonto","SDRAIARELLO","ROSCESCOLO",2,"Correct"
"171",3,9,"vaso albero","FIORICELLO","LUMERSTERSIMO",1,"Correct"
"172",3,10,"muro specchio","SDRANGOLIO","CROIETTOLO",1,"Incorrect"
"173",3,11,"insalata camera","COTTOLIOLIA","CLICCATTOLA",2,"Incorrect"
"174",3,12,"prato vaso","FIONCOLIOLO","SUONCOLLO",1,"Correct"
"175",3,13,"camera finestra","APRIATTOLA","POLIETTOLA",1,"Correct"
"176",3,14,"bambola giacca","ERRACIOLINA","VESTOLETTA",2,"Correct"
"177",3,15,"vaso tramonto","FIORARIOLO","SUONACARIO",1,"Correct"
"178",3,16,"acqua roccia","IDRACIOLA","CAPPETTELLA",1,"Correct"
"179",3,17,"tenda piazza","FRICOTTELA","BANDINAIA",2,"Correct"
"180",3,18,"finestra giacca","MURICATTOLA","CLIETTONDOLA",1,"Incorrect"
"181",3,19,"tramonto violino","ROCCERIOLO","SUONANNARIO",2,"Correct"
"182",3,20,"albero prato","CERBOSCELLO","SUONISCRIO",1,"Correct"
"183",3,21,"bambola roccia","COSTRELLINA","CENSARELLINA",2,"Incorrect"
"184",3,22,"scarpa acqua","IDRATOLANA","GHIANCIOLA",1,"Correct"
"185",3,23,"piazza giacca","CAMATINCIA","IDRATOLANA",1,"Correct"
"186",3,24,"camera roccia","VESTINETTA","ARMONTURIA",1,"Incorrect"
"187",3,25,"scarpa roccia","SDRANZIA","MURANTURIA",2,"Correct"
"188",3,26,"torta camera","GIUBBIATURA","SICCOTTELA",2,"Correct"
"189",3,27,"albero violino","MUSTONCELLO","FIOCOSCRIO",1,"Correct"
"190",3,28,"tramonto libro","LUMERSTERSIMO","SUONANELLO",1,"Correct"
"191",3,29,"giacca tenda","VESTOLETTA","GIUBBITINA",2,"Correct"
"192",3,30,"tavolo violino","SGUARELLIO","SUONCOLLO",2,"Correct"
"193",3,31,"fazzoletto tavolo","CERBOSCELLO","SEDINOCCIO",2,"Correct"
"194",3,32,"prato libro","RAPALINCIO","FIOCOSCRIO",2,"Correct"
"195",3,33,"giacca scarpa","GIUBBIATURA","IDRANGIA",1,"Correct"
"196",3,34,"finestra roccia","SENDINAIA","MURICATTOLA",2,"Correct"
"197",3,35,"finestra insalata","GIUBBITINA","CLIETTOLA",2,"Correct"
"198",3,36,"acqua insalata","IDRANGIA","BANCOTTINA",1,"Correct"
"199",3,37,"piazza finestra","APRIATTOLA","GIAPRIATOLA",1,"Incorrect"
"200",3,38,"insalata tenda","FRIGLIANZA","SICCOTTELLA",1,"Correct"
"201",3,39,"tavolo muro","FIORINELLO","CIGOLITELLO",2,"Correct"
"202",3,40,"piazza torta","CINCOTTELLA","COSTRELLINA",1,"Correct"
"203",3,41,"vaso libro","SPALENTOLO","FIORISITOLO",2,"Correct"
"204",3,42,"scarpa tenda","ARMONTURIA","SDRAIATURA",1,"Incorrect"
"205",3,43,"specchio violino","VISUONDOLO","PICATTOLO",1,"Correct"
"206",3,44,"roccia torta","GHIANCIOLA","FRIGLIANZA",2,"Incorrect"
"207",3,45,"tenda finestra","COTTOLIOLIA","TERNOTELLA",2,"Correct"
"208",3,46,"tavolo specchio","SDRANGOLIO","CROIETTOLO",2,"Incorrect"
"209",3,47,"roccia tenda","CINCOTTELLA","IMMONTURA",2,"Correct"
"210",3,48,"violino libro","SUONISCRIO","FIONCOLIOLO",1,"Correct"
"211",3,49,"vaso violino","FIORECCIANDOLO","ARMORICELLO",2,"Correct"
"212",3,50,"libro specchio","RABELLIMENTO","GRAMINELLO",1,"Correct"
"213",3,51,"tramonto tavolo","FIORISITOLO","SDRAIOLIO",1,"Incorrect"
"214",3,52,"giacca acqua","LAVESCIA","POZZONELLA",1,"Correct"
"215",3,53,"bambola torta","TERNOTELLA","CENSARELLINA",2,"Correct"
"216",3,54,"torta finestra","POZZANELLA","POLIETTOLA",1,"Incorrect"
"217",3,55,"prato tavolo","SDRAIARELLO","VISUONDOLO",1,"Correct"
"218",3,56,"tenda camera","PANCOTTELLA","SDRANZIA",2,"Correct"
"219",3,57,"camera acqua","MURANTURIA","IDRANDINA",2,"Correct"
"220",3,58,"piazza insalata","BANCOTTINA","SICCOTTELA",2,"Incorrect"
"221",3,59,"fazzoletto specchio","SGUARELLIO","SEDINOCCIO",1,"Correct"
"222",3,60,"acqua piazza","POZZETTERIA","BANDINAIA",1,"Correct"
"223",3,61,"martello libro","MUSTONCELLO","PICATTOLO",1,"Incorrect"
"224",3,62,"insalata roccia","ERRACIOLINA","CLIETTOLA",1,"Correct"
"225",3,63,"scarpa torta","LAVESCIA","PANCOTTELLA",2,"Correct"
"226",3,64,"albero specchio","FIORARIOLO","SRADINELLO",2,"Correct"
"227",3,65,"insalata torta","FRICOTTELA","SDRAIATURA",1,"Correct"
"228",3,66,"camera scarpa","CLIETTONDOLA","RETTIELLIA",1,"Incorrect"
"229",3,67,"fazzoletto albero","FIORECCIANDOLO","SPURIALLIO",1,"Correct"
"230",3,68,"specchio prato","FIOTTINO","SPURIALLIO",1,"Incorrect"
"231",3,69,"acqua tenda","IDRACIOLA","POZZANELLA",1,"Incorrect"
"232",3,70,"scarpa finestra","RETTIELLIA","CLICCATTOLA",2,"Correct"
"233",3,71,"vaso tavolo","GRAMINELLO","RABELLIMENTO",2,"Incorrect"
"234",3,72,"martello violino","CIGOLITELLO","SUONACARIO",2,"Correct"
"235",3,73,"finestra acqua","IMMONTURA","POZZONELLA",2,"Correct"
"236",3,74,"libro albero","ARMORICELLO","NARAMPICOLO",1,"Incorrect"
"237",3,75,"martello specchio","PARTONCELLO","SPALENTOLO",2,"Correct"
"238",3,76,"prato martello","SUONANNARIO","RAPALINCIO",2,"Correct"
"239",3,77,"fazzoletto prato","FIORICELLO","FIOTTINO",1,"Incorrect"
"240",3,78,"torta acqua","CAMATINCIA","GOCCOTTELLA",2,"Correct"
"241",3,79,"tenda torta","SICCOTTELLA","GIAPRIATOLA",1,"Correct"
"242",3,80,"tavolo albero","PARTONCELLO","NARAMPICOLO",1,"Correct"
"243",3,81,"giacca torta","CAPPETTELLA","GIUBBIATINA",2,"Incorrect"
"244",4,1,"libro specchio","RABELLIMENTO","PICATTOLO",1,"Correct"
"245",4,2,"libro vaso","FIORISITOLO","SEDINOCCIO",1,"Correct"
"246",4,3,"camera piazza","GIUBBITINA","SENDINAIA",1,"Incorrect"
"247",4,4,"scarpa camera","COTTOLIOLIA","RETTIELLIA",1,"Incorrect"
"248",4,5,"violino vaso","ARMORICELLO","CIGOLITELLO",1,"Correct"
"249",4,6,"tramonto tavolo","SDRAIOLIO","RAPALINCIO",2,"Incorrect"
"250",4,7,"albero specchio","ARMORICELLO","SRADINELLO",2,"Correct"
"251",4,8,"finestra torta","ARMONTURIA","POLIETTOLA",2,"Correct"
"252",4,9,"prato martello","NARAMPICOLO","RAPALINCIO",1,"Incorrect"
"253",4,10,"camera giacca","GIUBBIATINA","CLIETTONDOLA",1,"Correct"
"254",4,11,"fazzoletto vaso","SUONANNARIO","FIORINELLO",2,"Correct"
"255",4,12,"giacca piazza","CAMATINCIA","GHIANCIOLA",1,"Correct"
"256",4,13,"libro martello","FIORARIOLO","PICATTOLO",2,"Correct"
"257",4,14,"scarpa finestra","CLICCATTOLA","CAMATINCIA",1,"Correct"
"258",4,15,"camera tenda","SDRANZIA","IDRANDINA",1,"Correct"
"259",4,16,"acqua tenda","POZZANELLA","IDRANGIA",2,"Incorrect"
"260",4,17,"giacca scarpa","GIUBBIATURA","IDRATOLANA",1,"Correct"
"261",4,18,"vaso martello","SPURIALLIO","ROCCERIOLO",1,"Incorrect"
"262",4,19,"tavolo albero","PARTONCELLO","LUMERSTERSIMO",1,"Correct"
"263",4,20,"vaso albero","SGUARELLIO","FIORICELLO",2,"Correct"
"264",4,21,"tramonto libro","LUMERSTERSIMO","SUONACARIO",1,"Correct"
"265",4,22,"finestra piazza","POLIETTOLA","GIAPRIATOLA",2,"Correct"
"266",4,23,"scarpa tenda","VESTINETTA","SDRAIATURA",1,"Incorrect"
"267",4,24,"roccia acqua","RETTIELLIA","IDRACIOLA",2,"Correct"
"268",4,25,"insalata acqua","GIAPRIATOLA","IDRANGIA",2,"Correct"
"269",4,26,"bambola roccia","COSTRELLINA","POZZANELLA",1,"Correct"
"270",4,27,"violino tavolo","CROIETTOLO","SUONCOLLO",2,"Correct"
"271",4,28,"giacca finestra","CLIETTONDOLA","FRICOTTELA",1,"Correct"
"272",4,29,"scarpa acqua","GOCCOTTELLA","IDRATOLANA",2,"Correct"
"273",4,30,"bambola giacca","VESTOLETTA","SICCOTTELA",1,"Correct"
"274",4,31,"acqua finestra","POZZONELLA","SDRAIATURA",1,"Correct"
"275",4,32,"torta acqua","CENSARELLINA","GOCCOTTELLA",2,"Correct"
"276",4,33,"giacca acqua","LAVESCIA","GIUBBIATURA",1,"Correct"
"277",4,34,"camera acqua","IDRANDINA","ERRACIOLINA",1,"Correct"
"278",4,35,"insalata camera","COTTOLIOLIA","POZZONELLA",1,"Correct"
"279",4,36,"violino libro","SUONISCRIO","FIORISITOLO",1,"Correct"
"280",4,37,"piazza acqua","POZZETTERIA","VESTOLETTA",1,"Correct"
"281",4,38,"piazza insalata","SDRANZIA","BANCOTTINA",1,"Incorrect"
"282",4,39,"tenda roccia","CLIETTOLA","IMMONTURA",1,"Incorrect"
"283",4,40,"fazzoletto albero","FIORICELLO","FIORECCIANDOLO",2,"Correct"
"284",4,41,"scarpa roccia","MURANTURIA","TERNOTELLA",2,"Incorrect"
"285",4,42,"bambola torta","CENSARELLINA","PALCAVERIA",1,"Correct"
"286",4,43,"prato libro","SDRAIOLIO","FIOCOSCRIO",1,"Incorrect"
"287",4,44,"torta scarpa","MURANTURIA","PANCOTTELLA",2,"Correct"
"288",4,45,"tenda torta","SICCOTTELLA","SENDINAIA",2,"Incorrect"
"289",4,46,"finestra insalata","CLIETTOLA","MURICATTOLA",1,"Correct"
"290",4,47,"tavolo muro","SDRAIARELLO","CIGOLITELLO",2,"Correct"
"291",4,48,"libro albero","FIORINELLO","NARAMPICOLO",1,"Incorrect"
"292",4,49,"fazzoletto specchio","CERBOSCELLO","SGUARELLIO",1,"Incorrect"
"293",4,50,"albero tramonto","ROSCESCOLO","MUSTONCELLO",1,"Correct"
"294",4,51,"roccia finestra","MURICATTOLA","CAPPETTELLA",2,"Incorrect"
"295",4,52,"insalata torta","FRICOTTELA","IMMONTURA",1,"Correct"
"296",4,53,"torta piazza","CINCOTTELLA","CLICCATTOLA",2,"Incorrect"
"297",4,54,"insalata giacca","VESTINETTA","GIUBBIATINA",2,"Incorrect"
"298",4,55,"prato specchio","FIONCOLIOLO","SPURIALLIO",2,"Correct"
"299",4,56,"tavolo specchio","ROSCESCOLO","SDRANGOLIO",1,"Incorrect"
"300",4,57,"fazzoletto prato","VISUONDOLO","FIOTTINO",2,"Correct"
"301",4,58,"violino albero","SUONCOLLO","MUSTONCELLO",1,"Incorrect"
"302",4,59,"tenda finestra","TERNOTELLA","PANCOTTELLA",2,"Incorrect"
"303",4,60,"tramonto vaso","FIORARIOLO","PARTONCELLO",1,"Correct"
"304",4,61,"finestra camera","BANDINAIA","APRIATTOLA",2,"Correct"
"305",4,62,"roccia torta","GHIANCIOLA","CINCOTTELLA",2,"Incorrect"
"306",4,63,"torta camera","APRIATTOLA","SICCOTTELA",1,"Incorrect"
"307",4,64,"roccia piazza","PALCAVERIA","FRIGLIANZA",2,"Incorrect"
"308",4,65,"camera roccia","ARMONTURIA","SICCOTTELLA",2,"Incorrect"
"309",4,66,"prato vaso","FIOCOSCRIO","FIONCOLIOLO",1,"Incorrect"
"310",4,67,"violino prato","SUONANELLO","ROCCERIOLO",1,"Correct"
"311",4,68,"muro specchio","SDRANGOLIO","CROIETTOLO",1,"Incorrect"
"312",4,69,"torta giacca","CAPPETTELLA","BANCOTTINA",1,"Correct"
"313",4,70,"insalata tenda","FRIGLIANZA","POZZETTERIA",1,"Correct"
"314",4,71,"tavolo prato","SDRAIARELLO","SUONANELLO",1,"Correct"
"315",4,72,"tenda giacca","GIUBBITINA","COSTRELLINA",1,"Correct"
"316",4,73,"violino tramonto","SUONANNARIO","SPALENTOLO",1,"Correct"
"317",4,74,"violino martello","SUONACARIO","FIORECCIANDOLO",1,"Correct"
"318",4,75,"roccia insalata","ERRACIOLINA","IDRACIOLA",1,"Correct"
"319",4,76,"specchio violino","VISUONDOLO","SRADINELLO",1,"Correct"
"320",4,77,"piazza tenda","LAVESCIA","BANDINAIA",2,"Correct"
"321",4,78,"fazzoletto tavolo","SEDINOCCIO","SUONISCRIO",1,"Correct"
"322",4,79,"vaso tavolo","RABELLIMENTO","GRAMINELLO",1,"Incorrect"
"323",4,80,"martello specchio","FIOTTINO","SPALENTOLO",2,"Correct"
"324",4,81,"albero prato","CERBOSCELLO","GRAMINELLO",1,"Correct"
"325",5,1,"roccia camera","ARMONTURIA","IMMONTURA",2,"Incorrect"
"326",5,2,"prato tavolo","SDRAIARELLO","SPURIALLIO",2,"Incorrect"
"327",5,3,"piazza giacca","SICCOTTELA","CAMATINCIA",2,"Correct"
"328",5,4,"piazza insalata","BANCOTTINA","GIUBBITINA",1,"Correct"
"329",5,5,"roccia tenda","IMMONTURA","CLIETTOLA",1,"Correct"
"330",5,6,"torta giacca","CAPPETTELLA","ARMONTURIA",2,"Incorrect"
"331",5,7,"violino tavolo","SUONCOLLO","SUONANNARIO",1,"Correct"
