"","participant","fullscreen","html_button_response","exp_duration","mean_duration","med_duration","...1","number","item","internal_name","label_cond","label_word","val_label","type","listname","gender","age","language","monolingual","attention","distractions","notice","easy_hard","about","trial_order","subject","pronoun","picture","prompt","valence","resp.order","critical","exclude","critical_new","corrected","exclude2","valence_crit"
"11","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,2,10,4,"creator_destroyer","positive","creator",6.45,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",4,"general referent","this","creator_destroyer.png","Sharp drill drilling through the sky to reach the other side",15,"critical3","tall","no","tall",,,6.71
"12","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,6,55,19,"fairy_demon","positive","fairy",6.71,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",23,"general referent","this","fairy_demon.png","Charred, thin strand of string with a halo that snakes elegantly toward the sky.",50,"critical3","tornado","no","tornado",,,3.63
"13","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,1,54,18,"blessing_curse","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",17,"general referent","this","blessing_curse.png","Wooden cannons with transparent blades that shoot water balls into a dry field",76,"critical3","telescope","no","telescope",,,6.75
"14","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,17,27,9,"pet_pest","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",12,"general referent","this","pet_pest.png","Animal with skelleton on the outside looking cute",33,"critical2","creature","no","creature",,,6.06
"15","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,19,9,3,"rebirth_apocalypse","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",6,"general referent","this","rebirth_apocalypse.png","A bursting stone floor with stones flying in all directions. From the center of the explosion, brown cords grow towards a light coming from above.""",37,"critical3","boom","no","boom",,,4.74
"16","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,17,27,9,"pet_pest","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",12,"general referent","this","pet_pest.png","Animal with skelleton on the outside looking cute",33,"critical1","mythical","no","mythical",,,6.11
"17","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,4,50,17,"ecstasy_agony","negative","agony",2.46,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",19,"general referent","this","ecstasy_agony.png","Jello lying flat on the floor, its soul half moving out of it like steam. Salvador Dali style background.",50,"critical3","fire","no","fire",,,4.32
"18","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,9,19,7,"haven_prison","positive","haven",6.36,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",22,"general referent","this","haven_prison.png","Pink shore with fluffy clouds being imprisoned",100,"critical2","fairy","no","fairy",,,6.71
"19","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,11,5,2,"masterpiece_trash","negative","trash",2.74,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",21,"general referent","this","masterpiece_trash.png","household appliances, like a washing machine woven into a nest with a giant spoon, merge surreal art with practical use",16,"critical3","sieve","no","sieve",,,4.16991490466839
"20","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,5,14,5,"explorer_invader","negative","invader",2.23,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",13,"general referent","this","explorer_invader.png","Lampshade sits on a jellyfish and makes tracks through a cornfield. Birds eye view",56,"critical2","tentacles","no","tentacles",,,4.49657017373586
"21","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,23,18,6,"security_captivity","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",16,"general referent","this","security_captivity.png","Cross section of a wooden box containing an inflatable bouncy castle that looks like a holey cheese.",60,"critical3","mouse","no","mouse",,,4.8
"22","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,19,9,3,"rebirth_apocalypse","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",6,"general referent","this","rebirth_apocalypse.png","A bursting stone floor with stones flying in all directions. From the center of the explosion, brown cords grow towards a light coming from above.""",37,"critical1","explode","no","explode",,,4.38
"23","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,12,41,14,"medley_chaos","negative","chaos",2.84,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",3,"general referent","this","medley_chaos.png","Various scraps mixed with Polaroid photos shrink-wrapped in foil in a gold-plated picture frame",36,"critical3","messy","no","messy",,,3
"24","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,11,5,2,"masterpiece_trash","negative","trash",2.74,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",21,"general referent","this","masterpiece_trash.png","household appliances, like a washing machine woven into a nest with a giant spoon, merge surreal art with practical use",16,"critical2","clean","no","clean",,,7.09
"25","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,20,1,1,"refuge_abyss","positive","refuge",5.95,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",2,"general referent","this","refuge_abyss.png","A broad crack in a grass-covered cloud that spirals deeply into it like a colorful vortex",71,"critical3","hole","no","hole",,,5.28
"26","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,23,18,6,"security_captivity","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",16,"general referent","this","security_captivity.png","Cross section of a wooden box containing an inflatable bouncy castle that looks like a holey cheese.",60,"critical2","crate","no","crate",,,4.8
"27","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,24,59,20,"unity_separation","negative","separation",3.05,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",14,"general referent","this","unity_separation.png","Nerve cells on puzzle pieces that are inserted one after the other into real nerve tissue",18,"critical1","puzzle","no","puzzle",,,6.53
"28","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,8,68,23,"guest_intruder","negative","intruder",2.46,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",10,"concrete referent","it","guest_intruder.png","Friendly creature with dinosaur skin that enters a room through a door",0,"critical1","monster","no","monster",,,2.55
"29","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,9,19,7,"haven_prison","positive","haven",6.36,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",22,"general referent","this","haven_prison.png","Pink shore with fluffy clouds being imprisoned",100,"critical3","female","no","female",,,7.52
"30","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,14,23,8,"museum_sewer","negative","sewer",2.9,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",8,"general referent","this","museum_sewer.png","Sewer decorated as an art gallery",40,"critical2","grand","no","grand",,,6.28
"31","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,3,28,10,"cure_poison","positive","cure",7.81,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",9,"general referent","this","cure_poison.png","Medicine bottle out of glass vanishing on one side letting out blue steam",73,"critical2","blue","no","blue",,,6.53
"32","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,12,41,14,"medley_chaos","negative","chaos",2.84,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",3,"general referent","this","medley_chaos.png","Various scraps mixed with Polaroid photos shrink-wrapped in foil in a gold-plated picture frame",36,"critical1","junk","no","junk",,,3.57
"33","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,10,63,21,"leader_dictator","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",5,"general referent","this","leader_dictator.png","Scepter with gaping mouth and military hat standing on a trophy and being worshiped by particles",49,"critical2","army","no","army",,,4.65
"34","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,8,68,23,"guest_intruder","negative","intruder",2.46,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",10,"concrete referent","it","guest_intruder.png","Friendly creature with dinosaur skin that enters a room through a door",0,"critical2","story","no","story",,,7.27
"35","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,15,36,12,"oracle_impostor","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",18,"general referent","this","oracle_impostor.png","Iris and large pupil, flow in whirlpools. Octopus arms grow out. Sits on a red velvet cushion",2,"critical3","story","no","story",,,7.27
"36","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,2,10,4,"creator_destroyer","positive","creator",6.45,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",4,"general referent","this","creator_destroyer.png","Sharp drill drilling through the sky to reach the other side",15,"critical2","story","no","story",,,7.27
"37","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,4,50,17,"ecstasy_agony","negative","agony",2.46,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",19,"general referent","this","ecstasy_agony.png","Jello lying flat on the floor, its soul half moving out of it like steam. Salvador Dali style background.",50,"critical1","steam","no","steam",,,5.4
"38","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,17,27,9,"pet_pest","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",12,"general referent","this","pet_pest.png","Animal with skelleton on the outside looking cute",33,"critical3","small","no","small",,,5.76
"39","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,15,36,12,"oracle_impostor","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",18,"general referent","this","oracle_impostor.png","Iris and large pupil, flow in whirlpools. Octopus arms grow out. Sits on a red velvet cushion",2,"critical1","eye","no","eye",,,6.18
"40","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,18,72,24,"protector_warden","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",15,"concrete referent","it","protector_warden.png","balloon with jellyfish tentacles protecting a creature beneath them",0,"critical2","holes","no","holes",,,4.26377980965706
"41","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,2,10,4,"creator_destroyer","positive","creator",6.45,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",4,"general referent","this","creator_destroyer.png","Sharp drill drilling through the sky to reach the other side",15,"critical1","supernatural","no","supernatural",,,6.05
"42","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,20,1,1,"refuge_abyss","positive","refuge",5.95,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",2,"general referent","this","refuge_abyss.png","A broad crack in a grass-covered cloud that spirals deeply into it like a colorful vortex",71,"critical1","nature","no","nature",,,6.88
"43","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,16,45,15,"organism_virus","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",7,"general referent","this","organism_virus.png","Green ball made of little broccolies flying in space",5,"critical1","virus","no","virus",,,1.71
"44","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,13,64,22,"mend_damage","positive","mend",6.53,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",20,"general referent","this","mend_damage.png","Green slime stain attached with nails to a labeled sheet of paper",12,"critical2","gross","no","gross",,,3.2
"45","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,13,64,22,"mend_damage","positive","mend",6.53,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",20,"general referent","this","mend_damage.png","Green slime stain attached with nails to a labeled sheet of paper",12,"critical3","dirty","no","dirty",,,3.17
"46","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,9,19,7,"haven_prison","positive","haven",6.36,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",22,"general referent","this","haven_prison.png","Pink shore with fluffy clouds being imprisoned",100,"critical1","cloud","no","cloud",,,6.2
"47","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,24,59,20,"unity_separation","negative","separation",3.05,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",14,"general referent","this","unity_separation.png","Nerve cells on puzzle pieces that are inserted one after the other into real nerve tissue",18,"critical2","brain","no","brain",,,6.22
"48","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,15,36,12,"oracle_impostor","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",18,"general referent","this","oracle_impostor.png","Iris and large pupil, flow in whirlpools. Octopus arms grow out. Sits on a red velvet cushion",2,"critical2","octopus","no","octopus",,,6
"49","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,18,72,24,"protector_warden","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",15,"concrete referent","it","protector_warden.png","balloon with jellyfish tentacles protecting a creature beneath them",0,"critical3","doom","no","doom",,,3
"50","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,20,1,1,"refuge_abyss","positive","refuge",5.95,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",2,"general referent","this","refuge_abyss.png","A broad crack in a grass-covered cloud that spirals deeply into it like a colorful vortex",71,"critical2","super","no","super",,,7.05
"51","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,12,41,14,"medley_chaos","negative","chaos",2.84,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",3,"general referent","this","medley_chaos.png","Various scraps mixed with Polaroid photos shrink-wrapped in foil in a gold-plated picture frame",36,"critical2","art","no","art",,,6.85
"52","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,5,14,5,"explorer_invader","negative","invader",2.23,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",13,"general referent","this","explorer_invader.png","Lampshade sits on a jellyfish and makes tracks through a cornfield. Birds eye view",56,"critical3","myth","no","myth",,,6.11
"53","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,23,18,6,"security_captivity","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",16,"general referent","this","security_captivity.png","Cross section of a wooden box containing an inflatable bouncy castle that looks like a holey cheese.",60,"critical1","cheese","no","cheese",,,6.81
"54","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,11,5,2,"masterpiece_trash","negative","trash",2.74,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",21,"general referent","this","masterpiece_trash.png","household appliances, like a washing machine woven into a nest with a giant spoon, merge surreal art with practical use",16,"critical1","spoon","no","spoon",,,5.9
"55","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,10,63,21,"leader_dictator","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",5,"general referent","this","leader_dictator.png","Scepter with gaping mouth and military hat standing on a trophy and being worshiped by particles",49,"critical3","gold","no","gold",,,7.28
"56","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,1,54,18,"blessing_curse","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",17,"general referent","this","blessing_curse.png","Wooden cannons with transparent blades that shoot water balls into a dry field",76,"critical1","fly","no","fly",,,6.06
"57","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,14,23,8,"museum_sewer","negative","sewer",2.9,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",8,"general referent","this","museum_sewer.png","Sewer decorated as an art gallery",40,"critical1","sewage","no","sewage",,,2.33
"58","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,1,54,18,"blessing_curse","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",17,"general referent","this","blessing_curse.png","Wooden cannons with transparent blades that shoot water balls into a dry field",76,"critical2","army","no","army",,,4.65
"59","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,5,14,5,"explorer_invader","negative","invader",2.23,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",13,"general referent","this","explorer_invader.png","Lampshade sits on a jellyfish and makes tracks through a cornfield. Birds eye view",56,"critical1","lamp","no","lamp",,,5.74
"60","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,7,32,11,"guardian_nemesis","negative","nemesis",2.44,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",0,"general referent","this","guardian_nemesis.png","Outstretched hand consisting of clouds of mist tries to cover the black hole underneath. Surrealism style",11,"critical3","doom","no","doom",,,3
"61","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,4,50,17,"ecstasy_agony","negative","agony",2.46,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",19,"general referent","this","ecstasy_agony.png","Jello lying flat on the floor, its soul half moving out of it like steam. Salvador Dali style background.",50,"critical2","hot","no","hot",,,5.73
"62","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,24,59,20,"unity_separation","negative","separation",3.05,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",14,"general referent","this","unity_separation.png","Nerve cells on puzzle pieces that are inserted one after the other into real nerve tissue",18,"critical3","neuron","no","neuron",,,5.24262067792145
"63","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,22,37,13,"salvation_death","positive","salvation",6.94,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",1,"general referent","this","salvation_death.png","Fairyish creature rising inside a moon of dead bodies",50,"critical1","fairy","no","fairy",,,6.71
"64","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,22,37,13,"salvation_death","positive","salvation",6.94,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",1,"general referent","this","salvation_death.png","Fairyish creature rising inside a moon of dead bodies",50,"critical3","moon","no","moon",,,7
"65","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,21,46,16,"safety_isolation","positive","safety",7.14,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",11,"general referent","this","safety_isolation.png","Clear yellow liquid in thick glass plate wrapped with dense wire mesh. Behind the liquid you can see paradise",96,"critical1","story","no","story",,,7.27
"66","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,6,55,19,"fairy_demon","positive","fairy",6.71,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",23,"general referent","this","fairy_demon.png","Charred, thin strand of string with a halo that snakes elegantly toward the sky.",50,"critical2","ring","no","ring",,,7.09
"67","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,10,63,21,"leader_dictator","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",5,"general referent","this","leader_dictator.png","Scepter with gaping mouth and military hat standing on a trophy and being worshiped by particles",49,"critical1","shout","no","shout",,,5
"68","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,18,72,24,"protector_warden","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",15,"concrete referent","it","protector_warden.png","balloon with jellyfish tentacles protecting a creature beneath them",0,"critical1","scary","no","scary",,,3
"69","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,3,28,10,"cure_poison","positive","cure",7.81,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",9,"general referent","this","cure_poison.png","Medicine bottle out of glass vanishing on one side letting out blue steam",73,"critical1","potion","no","potion",,,5.65
"70","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,22,37,13,"salvation_death","positive","salvation",6.94,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",1,"general referent","this","salvation_death.png","Fairyish creature rising inside a moon of dead bodies",50,"critical2","supernatural","no","supernatural",,,6.05
"71","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,16,45,15,"organism_virus","no_label",,0,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",7,"general referent","this","organism_virus.png","Green ball made of little broccolies flying in space",5,"critical2","germ","no","germ",,,2.5
"72","association_101889.csv",7632,1117747,18.5019166666667,16.2041638888889,14.4621416666667,3,28,10,"cure_poison","positive","cure",7.81,"critical","itemlist2","female",28,"english","yes","yes","no","no","no","i'm not sure",9,"general referent","this","cure_poison.png","Medicine bottle out of glass vanishing on one side letting out blue steam",73,"critical3","mythical","no","mythical",,,6.11
"73","association_107411.csv",603779,1870143,21.1060666666667,16.2041638888889,14.4621416666667,4652,3,1,"refuge_abyss","no_label",,0,"critical","itemlist1","male",31,"englsih","yes","yes","no","no","no","na",3,"general referent","this","refuge_abyss.png","A broad crack in a grass-covered cloud that spirals deeply into it like a colorful vortex",57,"critical3","tunnel","no","tunnel",,,4.48
"74","association_107411.csv",603779,1870143,21.1060666666667,16.2041638888889,14.4621416666667,4644,40,14,"medley_chaos","positive","medley",6.6,"critical","itemlist1","male",31,"englsih","yes","yes","no","no","no","na",14,"general referent","this","medley_chaos.png","Various scraps mixed with Polaroid photos shrink-wrapped in foil in a gold-plated picture frame",81,"critical3","art","no","art",,,6.85
"75","association_107411.csv",603779,1870143,21.1060666666667,16.2041638888889,14.4621416666667,4650,71,24,"protector_warden","negative","warden",3.5,"critical","itemlist1","male",31,"englsih","yes","yes","no","no","no","na",12,"concrete referent","it","protector_warden.png","balloon with jellyfish tentacles protecting a creature beneath them",58,"critical2","tenticles","no",,"tenticles","yes",
"76","association_107411.csv",603779,1870143,21.1060666666667,16.2041638888889,14.4621416666667,4646,22,8,"museum_sewer","positive","museum",6.67,"critical","itemlist1","male",31,"englsih","yes","yes","no","no","no","na",11,"general referent","this","museum_sewer.png","Sewer decorated as an art gallery",67,"critical2","corridor","no","corridor",,,4.76
"77","association_107411.csv",603779,1870143,21.1060666666667,16.2041638888889,14.4621416666667,4649,26,9,"pet_pest","negative","pest",2.67,"critical","itemlist1","male",31,"englsih","yes","yes","no","no","no","na",2,"general referent","this","pet_pest.png","Animal with skelleton on the outside looking cute",73,"critical3","animal","no","animal",,,7.06
"78","association_107411.csv",603779,1870143,21.1060666666667,16.2041638888889,14.4621416666667,4638,57,19,"fairy_demon","no_label",,0,"critical","itemlist1","male",31,"englsih","yes","yes","no","no","no","na",22,"general referent","this","fairy_demon.png","Charred, thin strand of string with a halo that snakes elegantly toward the sky.",64,"critical3","desert","no","desert",,,5.36
"79","association_107411.csv",603779,1870143,21.1060666666667,16.2041638888889,14.4621416666667,4633,53,18,"blessing_curse","negative","curse",2.9,"critical","itemlist1","male",31,"englsih","yes","yes","no","no","no","na",13,"general referent","this","blessing_curse.png","Wooden cannons with transparent blades that shoot water balls into a dry field",55,"critical1","cannon","no","cannon",,,4.74
"80","association_107411.csv",603779,1870143,21.1060666666667,16.2041638888889,14.4621416666667,4643,4,2,"masterpiece_trash","positive","masterpiece",7.14,"critical","itemlist1","male",31,"englsih","yes","yes","no","no","no","na",16,"general referent","this","masterpiece_trash.png","household appliances, like a washing machine woven into a nest with a giant spoon, merge surreal art with practical use",50,"critical2","dish","no","dish",,,5.7
