status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,First language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
AWAITING REVIEW,1362.088,27,169,5,95,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1708.898,39,681,4,100,South Africa,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2722.41,28,59,1,100,United Kingdom,Ireland,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),Ireland,Female,No,I was raised with my native language only
AWAITING REVIEW,2076.559,19,205,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1030.751,27,321,4,98,United Kingdom,United Kingdom,Full-Time,I know 2 or more languages in addition to English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2431.31,40,140,3,99,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2487.645,21,340,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
RETURNED,12155.014885,32,17,0,100,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,1289.561,19,298,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1383.046,26,152,1,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1061.909,33,113,4,96,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Ambidextrous,Doctorate degree (PhD/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1580.166,29,312,6,96,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1755.518,37,720,5,100,Canada,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)",I know one other language in addition to English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,2345.982,31,81,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,3476.197,50,24,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2449.433,20,1,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,,English,Right-handed,No formal qualifications,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,3692.141,32,18,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1695.835,42,149,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1254.378,21,291,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2098.52,24,149,0,100,United States,United States,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Left-handed,High school diploma/A-levels,United States,Male,No,I was raised with my native language only
AWAITING REVIEW,1317.328,47,157,1,100,Canada,Australia,Unemployed (and job seeking),I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Australia,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1447.111,23,15,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1514.456,20,6,0,100,United Kingdom,United Kingdom,Other,I only know English,DATA EXPIRED,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1943.226,18,158,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1151.656,20,349,2,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Left-handed,High school diploma/A-levels,United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,5358.486,29,59,0,100,Germany,Ireland,Full-Time,I only know English,DATA EXPIRED,English,Ambidextrous,Undergraduate degree (BA/BSc/other),Ireland,Male,No,I was raised with my native language only
AWAITING REVIEW,1487.677,19,131,1,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1122.359,21,55,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2052.678,33,138,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1024.378,34,15,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2623.672,43,91,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Technical/community college,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,3307.635,34,511,2,100,United States,United States,Full-Time,I only know English,English,English,Left-handed,Undergraduate degree (BA/BSc/other),United States,Female,No,I was raised with my native language only
AWAITING REVIEW,1871.822,19,42,1,99,United Kingdom,United Kingdom,Other,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1567.106,24,117,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2225.269,41,366,0,100,United States,United States,Full-Time,I only know English,English,,Ambidextrous,High school diploma/A-levels,United States,Female,No,I was raised with my native language only
AWAITING REVIEW,3732.183,37,187,1,100,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,High school diploma/A-levels,United States,Male,No,I was raised with my native language only
AWAITING REVIEW,1478.695,41,120,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1020.561,35,150,4,98,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2546.835,37,142,0,100,United States,United States,Unemployed (and job seeking),I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United States,Female,No,I was raised with my native language only
AWAITING REVIEW,4040.465,41,132,2,99,United Kingdom,United Kingdom,Part-Time,I only know English,English,,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2523.0,30,3,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1190.741,21,75,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1336.55,18,84,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,996.839,37,478,1,100,United Kingdom,United Kingdom,Full-Time,I know 2 or more languages in addition to English,English,English,Left-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1446.441,24,7,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1459.545,34,171,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2634.644,29,183,3,99,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,3509.735,28,383,1,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,900.188,20,18,0,100,Canada,Canada,Part-Time,I only know English,,English,Left-handed,High school diploma/A-levels,Canada,Male,Yes,I was raised with my native language only
AWAITING REVIEW,2040.718,32,200,0,100,Canada,Canada,Unemployed (and job seeking),I only know English,English,English,Right-handed,High school diploma/A-levels,Canada,Female,No,I was raised with my native language only
AWAITING REVIEW,1587.765,27,30,2,95,United Kingdom,United Kingdom,Due to start a new job within the next month,I only know English,DATA EXPIRED,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1649.768,20,101,1,100,Ireland,Ireland,Unemployed (and job seeking),I know one other language in addition to English,English,,Right-handed,Secondary education (e.g. GED/GCSE),Ireland,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1176.308,35,97,3,99,United Kingdom,United Kingdom,Other,I only know English,English,English,Ambidextrous,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
RETURNED,11468.325418,31,239,4,98,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
AWAITING REVIEW,1799.19,26,185,2,99,Canada,Canada,Unemployed (and job seeking),I know one other language in addition to English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Female,Yes,I was raised with my native language only
AWAITING REVIEW,1481.331,44,133,0,100,United Kingdom,United Kingdom,Part-Time,I know one other language in addition to English,English,,Right-handed,Doctorate degree (PhD/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1271.059,45,172,2,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1329.139,25,261,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Technical/community college,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,3375.041,46,103,0,100,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,3898.221,30,79,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,DATA EXPIRED,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1304.571,19,29,1,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,Yes,I was raised with my native language only
