participant_id,source_file,age,gender,nationality,first_language,occupation,stem_background,trial_id,trial_order,stimulus,response1,response2,response3,stimulus_valence,response1_valence,response2_valence,response3_valence
cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s.csv,32,female,french,,researcher,,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s_trial_004,4,system,dynamical,complex,solvable,5,4,4,3
cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s.csv,32,female,french,,researcher,,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s_trial_005,5,physics,world,limitated,human,4,5,3,4
cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s.csv,32,female,french,,researcher,,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s_trial_006,6,complex,hype,new,paradigm,4,3,4,4
cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s.csv,32,female,french,,researcher,,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s_trial_007,7,life,organization,diverse,difficult,5,4,5,4
cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s.csv,32,female,french,,researcher,,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s_trial_008,8,biology,life,fuzzy,,4,4,2,
cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s.csv,32,female,french,,researcher,,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s_trial_009,9,school,learning,inadequate,essential,3,4,2,4
cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s.csv,42,male,spain,,Research Associate,,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s_trial_000,0,biology,ants,brains,neuroscience,4,3,5,5
cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s.csv,42,male,spain,,Research Associate,,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s_trial_001,1,life,colonies,conscience,networks,5,3,5,5
cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s.csv,42,male,spain,,Research Associate,,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s_trial_002,2,mathematics,physics,modeling,analysis,5,5,5,5
cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s.csv,42,male,spain,,Research Associate,,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s_trial_003,3,art,creativity,painting,writing,4,5,4,5
cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s.csv,42,male,spain,,Research Associate,,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s_trial_004,4,physics,modeling,simulation,biology,5,5,5,4
cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s.csv,42,male,spain,,Research Associate,,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s_trial_005,5,complex,networks,mathematics,simulations,4,5,4,5
cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s.csv,42,male,spain,,Research Associate,,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s_trial_006,6,university,academy,research,education,3,3,4,4
cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s.csv,42,male,spain,,Research Associate,,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s_trial_007,7,chemistry,valence,pharmacology,receptor,2,2,2,2
cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s.csv,42,male,spain,,Research Associate,,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s_trial_008,8,system,network,dynamics,,3,4,4,
cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s.csv,42,male,spain,,Research Associate,,cfm_v5_154763206882bef3c418337cffed6a1dfe5e35158a_s_trial_009,9,school,education,kids,,3,2,3,
cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s.csv,31,male,italian,,Data Scientist,,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s_trial_000,0,biology,class,system,cell,4,4,4,5
cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s.csv,31,male,italian,,Data Scientist,,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s_trial_001,1,life,function,planet,organism,5,5,5,5
cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s.csv,31,male,italian,,Data Scientist,,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s_trial_002,2,mathematics,system,equations,differential,5,4,4,4
cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s.csv,31,male,italian,,Data Scientist,,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s_trial_003,3,art,beautiful,painting,gallery,5,5,5,5
cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s.csv,31,male,italian,,Data Scientist,,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s_trial_004,4,physics,teacher,nature,system,5,4,5,4
cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s.csv,31,male,italian,,Data Scientist,,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s_trial_005,5,complex,science,nature,behaviour,4,5,5,4
cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s.csv,31,male,italian,,Data Scientist,,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s_trial_006,6,university,class,degree,course,4,4,3,3
cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s.csv,31,male,italian,,Data Scientist,,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s_trial_007,7,chemistry,subject,reaction,industrial,3,3,4,3
cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s.csv,31,male,italian,,Data Scientist,,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s_trial_008,8,system,equations,earth,complex,4,4,,4
cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s.csv,31,male,italian,,Data Scientist,,cfm_v5_154763235417d293be3eda1969a27665eecf3ec084_s_trial_009,9,school,teacher,class,grade,4,4,4,3
cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s.csv,37,male,spanish,,Researcher,,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s_trial_000,0,biology,green,nature,life,4,4,4,4
cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s.csv,37,male,spanish,,Researcher,,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s_trial_001,1,life,happiness,exercise,sun,4,5,5,5
cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s.csv,37,male,spanish,,Researcher,,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s_trial_002,2,mathematics,complex,work,equation,3,3,1,2
cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s.csv,37,male,spanish,,Researcher,,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s_trial_003,3,art,bohemian,colour,intelectual,3,2,4,3
cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s.csv,37,male,spanish,,Researcher,,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s_trial_004,4,physics,nature,experiment,science,3,4,3,3
cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s.csv,37,male,spanish,,Researcher,,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s_trial_005,5,complex,large,relationship,hard,3,3,3,2
cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s.csv,37,male,spanish,,Researcher,,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s_trial_006,6,university,freedom,study,academia,3,4,2,3
cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s.csv,37,male,spanish,,Researcher,,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s_trial_007,7,chemistry,reaction,boring,substances,2,3,1,2
cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s.csv,37,male,spanish,,Researcher,,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s_trial_008,8,system,mechanics,strict,work,3,3,2,1
cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s.csv,37,male,spanish,,Researcher,,cfm_v5_15476325894a39eca512686dcdaa339c6928c0a524_s_trial_009,9,school,learning,kid,timetable,3,3,3,1
cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s.csv,23,male,indian,,Researcher,,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s_trial_000,0,system,complex,parts,interactions,4,5,3,5
cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s.csv,23,male,indian,,Researcher,,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s_trial_001,1,physics,classical,quantum,particle,5,4,2,1
cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s.csv,23,male,indian,,Researcher,,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s_trial_002,2,biology,cell,disease,evolution,4,4,1,5
cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s.csv,23,male,indian,,Researcher,,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s_trial_003,3,university,degree,education,thinking,5,3,5,5
cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s.csv,23,male,indian,,Researcher,,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s_trial_004,4,life,experience,challenge,existence,5,5,4,3
cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s.csv,23,male,indian,,Researcher,,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s_trial_005,5,complex,system,adaptation,survival,4,4,4,5
cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s.csv,23,male,indian,,Researcher,,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s_trial_006,6,mathematics,rigor,solution,formulation,4,3,4,4
cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s.csv,23,male,indian,,Researcher,,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s_trial_007,7,chemistry,laboratory,matter,energy,3,4,4,5
cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s.csv,23,male,indian,,Researcher,,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s_trial_008,8,art,expression,truth,beauty,5,5,5,5
cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s.csv,23,male,indian,,Researcher,,cfm_v5_154763334237450bfff0761fe60bc0a61b2e2631b0_s_trial_009,9,school,structure,learning,homework,5,2,5,3
cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s.csv,42,male,greek,,researcher,,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s_trial_000,0,system,analyst,breakdown,down,3,2,1,2
cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s.csv,42,male,greek,,researcher,,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s_trial_001,1,physics,nano,quantum,basic,4,5,3,3
cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s.csv,42,male,greek,,researcher,,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s_trial_002,2,biology,wet,microbe,life,3,4,2,5
cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s.csv,42,male,greek,,researcher,,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s_trial_003,3,university,school,merit,class,4,3,4,3
cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s.csv,42,male,greek,,researcher,,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s_trial_004,4,life,death,love,seek,5,2,4,3
cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s.csv,42,male,greek,,researcher,,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s_trial_005,5,complex,system,idea,mechanics,5,3,4,3
cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s.csv,42,male,greek,,researcher,,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s_trial_006,6,mathematics,chaos,discrete,node,4,5,3,3
cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s.csv,42,male,greek,,researcher,,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s_trial_007,7,chemistry,bond,carbon,sex,3,4,3,5
cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s.csv,42,male,greek,,researcher,,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s_trial_008,8,art,life,music,color,5,5,5,5
cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s.csv,42,male,greek,,researcher,,cfm_v5_1547634439d25dbce39603e1960e8c58acc9f2fe75_s_trial_009,9,school,study,play,time,4,3,4,4
cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s.csv,32,female,greek,,master student,,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s_trial_000,0,life,breath,love,age,5,5,5,5
cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s.csv,32,female,greek,,master student,,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s_trial_001,1,physics,complexity,nature,school subject,3,5,4,2
cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s.csv,32,female,greek,,master student,,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s_trial_002,2,school,education,knowledge,loneliness,3,5,5,1
cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s.csv,32,female,greek,,master student,,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s_trial_003,3,biology,animals,school subject,documentaries,4,5,2,4
cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s.csv,32,female,greek,,master student,,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s_trial_004,4,mathematics,fun,language,equations,4,5,4,4
cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s.csv,32,female,greek,,master student,,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s_trial_005,5,complex,systems,life,growth,5,5,5,5
cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s.csv,32,female,greek,,master student,,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s_trial_006,6,system,interconnection,co-dependence,wholeness,4,5,5,5
cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s.csv,32,female,greek,,master student,,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s_trial_007,7,university,growth,challenge,fear,4,5,3,1
cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s.csv,32,female,greek,,master student,,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s_trial_008,8,art,sight,connection,time,5,5,5,5
cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s.csv,32,female,greek,,master student,,cfm_v5_15476352776f851df3191cf4593f6e500fb1eb3630_s_trial_009,9,chemistry,experiment,equipment,elements,3,5,3,3
cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s.csv,66,male,german,,biologist,,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s_trial_000,0,mathematics,calculating,science,philosophy,5,4,3,4
cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s.csv,66,male,german,,biologist,,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s_trial_001,1,biology,life,nature,science,5,4,4,3
cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s.csv,66,male,german,,biologist,,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s_trial_002,2,school,learning,building,education,5,5,4,5
cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s.csv,66,male,german,,biologist,,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s_trial_003,3,chemistry,science,synthesis,analysis,5,3,4,3
cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s.csv,66,male,german,,biologist,,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s_trial_004,4,life,nature,organism,ecosystem,5,3,4,4
cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s.csv,66,male,german,,biologist,,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s_trial_005,5,physics,science,mechanics,nature,5,4,3,4
cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s.csv,66,male,german,,biologist,,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s_trial_006,6,art,fantasy,humanity,,5,3,2,
cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s.csv,66,male,german,,biologist,,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s_trial_007,7,complex,system,,,5,3,,
cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s.csv,66,male,german,,biologist,,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s_trial_008,8,university,research,education,science,5,5,4,4
cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s.csv,66,male,german,,biologist,,cfm_v5_1547640816bf87adf08aacb6f85e2883987b789aaf_s_trial_009,9,system,reaction,automation,relationship,5,2,3,3
cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s,cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s.csv,37,male,american,,Quality Assurance Analyst,,cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s_trial_000,0,mathematics,chalkboard,school,bus,4,4,5,4
cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s,cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s.csv,37,male,american,,Quality Assurance Analyst,,cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s_trial_001,1,school,winter,snow,ash,5,4,4,3
cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s,cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s.csv,37,male,american,,Quality Assurance Analyst,,cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s_trial_002,2,complex,web,dew,chemistry,3,4,5,3
cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s,cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s.csv,37,male,american,,Quality Assurance Analyst,,cfm_v5_1547643158b1401f003b3f05fc8061e6cde19d4fc4_s_trial_003,3,system,machine,gear,leather,3,4,4,3
