"","trial","stimulus","target1","target2","support","endswith","stimcode_target","stimcode_foil","targetUP","targetDOWN","foil","targetwhere","KEY","RT","Accuracy","ID"
"46",46,"FRIGLIANZA","tenda","insalata",0.434661479816257,"a",21,"35","tenda","insalata","GIAPRIATOLA","left",1,3431,1,1
"47",47,"GIUBBITINA","giacca","tenda",0.478935582879313,"a",11,"29","tenda","giacca","IDRANDINA","right",2,2571,1,1
"48",48,"SUONISCRIO","libro","violino",0.418887002616857,"o",21,"27","libro","violino","SUONCOLLO","left",2,3611,0,1
"49",49,"ROCCERIOLO","martello","vaso",0.422465845764188,"o",16,"23","vaso","martello","GRAMINELLO","right",2,2372,1,1
"50",50,"ARMONTURIA","camera","roccia",0.386541859114092,"a",40,"20","roccia","camera","GOCCOTTELLA","right",1,1965,0,1
"51",51,"IDRATOLANA","acqua","scarpa",0.429187881125278,"a",26,"32","scarpa","acqua","POZZETTERIA","right",2,2049,1,1
"52",52,"FRICOTTELA","torta","insalata",0.477677004296455,"a",5,"44","torta","insalata","SENDINAIA","right",2,2791,1,1
"53",53,"IMMONTURA","tenda","roccia",0.436838143983005,"a",23,"13","roccia","tenda","GIUBBIATURA","right",2,1956,1,1
"54",54,"IDRACIOLA","acqua","roccia",0.522737584353153,"a",1,"31","roccia","acqua","COTTOLIOLIA","left",1,1704,1,1
"55",55,"SUONANELLO","prato","violino",0.42092393031434,"o",19,"1","violino","prato","FIORINELLO","left",2,972,0,1
"56",56,"LAVESCIA","acqua","giacca",0.477502876286935,"a",6,"12","acqua","giacca","MURICATTOLA","right",2,1032,1,1
"57",57,"CENSARELLINA","torta","bambola",0.471218182999293,"a",7,"10","torta","bambola","VESTINETTA","right",2,767,1,1
"58",58,"FIOCOSCRIO","libro","prato",0.393283359880707,"o",36,"4","prato","libro","FIOTTINO","left",2,1028,0,1
"59",59,"POZZANELLA","acqua","tenda",0.456784940153879,"a",15,"3","acqua","tenda","IDRANGIA","right",1,1298,0,1
"60",60,"CAPPETTELLA","torta","giacca",0.445503404450181,"a",17,"24","giacca","torta","GHIANCIOLA","left",1,672,1,1
"61",61,"VESTOLETTA","giacca","bambola",0.488970016213063,"a",2,"40","giacca","bambola","ARMONTURIA","left",2,4930,0,1
"62",62,"PICATTOLO","libro","martello",0.381508508624341,"o",34,"29","martello","libro","SPALENTOLO","right",1,1709,0,1
"63",63,"IDRANDINA","acqua","camera",0.422081829736095,"a",29,"22","acqua","camera","GIUBBIATINA","left",2,3200,0,1
"64",64,"POZZONELLA","acqua","finestra",0.456575135142585,"a",18,"25","acqua","finestra","BANCOTTINA","right",1,1764,0,1
"65",65,"SRADINELLO","albero","specchio",0.424257493886018,"o",20,"22","specchio","albero","LUMERSTERSIMO","right",2,2563,1,1
"66",66,"CROIETTOLO","muro","specchio",0.439610410800281,"o",11,"16","muro","specchio","ROCCERIOLO","left",2,4321,0,1
"67",67,"RAPALINCIO","martello","prato",0.388931499641466,"o",33,"9","martello","prato","SEDINOCCIO","left",1,2691,1,1
"68",68,"FIORISITOLO","libro","vaso",0.44605935197955,"o",10,"14","libro","vaso","ROSCESCOLO","right",1,2430,0,1
"69",69,"FIONCOLIOLO","vaso","prato",0.466683748642467,"o",5,"30","vaso","prato","SDRANGOLIO","left",2,2304,0,1
"70",70,"BANCOTTINA","insalata","piazza",0.425915829591933,"a",25,"42","piazza","insalata","SDRAIATURA","right",1,2463,0,1
"71",71,"CLIETTONDOLA","finestra","giacca",0.48483531848458,"a",8,"16","giacca","finestra","PALCAVERIA","left",1,234,1,1
"72",72,"FIORECCIANDOLO","albero","fazzoletto",0.501467247177442,"o",2,"13","albero","fazzoletto","SUONACARIO","left",2,111,0,1
"73",73,"GIUBBIATURA","giacca","scarpa",0.458165374529759,"a",13,"38","scarpa","giacca","SICCOTTELLA","right",1,15,0,1
"74",74,"MURANTURIA","roccia","scarpa",0.413419863177116,"a",33,"28","roccia","scarpa","CAMATINCIA","right",1,75,0,1
"75",75,"APRIATTOLA","camera","finestra",0.445083660259352,"a",30,"34","camera","finestra","CLICCATTOLA","left",1,74,1,1
"76",76,"MURICATTOLA","finestra","roccia",0.47764464953134,"a",12,"33","roccia","finestra","MURANTURIA","right",2,0,1,1
"77",77,"GHIANCIOLA","torta","roccia",0.424879623594919,"a",24,"18","torta","roccia","POZZONELLA","right",1,16,0,1
"78",78,"RETTIELLIA","camera","scarpa",0.333051299054932,"a",45,"6","scarpa","camera","LAVESCIA","right",2,17,1,1
"79",79,"SUONACARIO","martello","violino",0.431931557252949,"o",13,"36","martello","violino","FIOCOSCRIO","left",1,16,1,1
"80",80,"ARMORICELLO","vaso","violino",0.460998958069288,"o",7,"20","violino","vaso","SRADINELLO","left",1,32,1,1
"81",81,"TERNOTELLA","finestra","tenda",0.447458904846507,"a",19,"39","tenda","finestra","SICCOTTELA","left",1,16,1,1
"82",1,"ROCCERIOLO","martello","vaso",0.422465845764188,"o",16,"12","vaso","martello","SUONANNARIO","right",1,4952,0,2
"83",2,"FIORINELLO","vaso","fazzoletto",0.49666509075676,"o",1,"9","vaso","fazzoletto","SEDINOCCIO","right",2,6529,1,2
"84",3,"SEDINOCCIO","tavolo","fazzoletto",0.448979713721618,"o",9,"18","tavolo","fazzoletto","NARAMPICOLO","right",1,5181,0,2
"85",4,"MURANTURIA","roccia","scarpa",0.413419863177116,"a",33,"28","scarpa","roccia","CAMATINCIA","left",1,6071,1,2
"86",5,"SPALENTOLO","specchio","martello",0.399203699451159,"o",29,"30","martello","specchio","SDRANGOLIO","left",1,5201,1,2
"87",6,"GIUBBIATINA","camera","giacca",0.440875607098327,"a",22,"38","giacca","camera","SICCOTTELLA","left",1,2182,1,2
"88",7,"MUSTONCELLO","albero","violino",0.431915544858551,"o",15,"35","albero","violino","SPURIALLIO","left",2,3197,0,2
"89",8,"FIONCOLIOLO","vaso","prato",0.466683748642467,"o",5,"19","vaso","prato","SUONANELLO","right",1,4907,0,2
"90",9,"MURICATTOLA","finestra","roccia",0.47764464953134,"a",12,"42","finestra","roccia","SDRAIATURA","right",1,6644,0,2
"91",10,"SUONACARIO","martello","violino",0.431931557252949,"o",13,"4","violino","martello","FIOTTINO","right",2,4557,1,2
"92",11,"IMMONTURA","tenda","roccia",0.436838143983005,"a",23,"8","tenda","roccia","CLIETTONDOLA","left",1,3775,1,2
"93",12,"VESTINETTA","giacca","insalata",0.465134941301442,"a",10,"22","giacca","insalata","GIUBBIATINA","right",1,5726,0,2
"94",13,"COTTOLIOLIA","camera","insalata",0.422850505618225,"a",31,"9","camera","insalata","COSTRELLINA","right",2,5907,1,2
"95",14,"CAMATINCIA","giacca","piazza",0.428157076417196,"a",28,"13","giacca","piazza","GIUBBIATURA","left",2,3017,0,2
"96",15,"NARAMPICOLO","libro","albero",0.419717897675257,"o",18,"26","albero","libro","SDRAIOLIO","left",1,3713,1,2
"97",16,"GIAPRIATOLA","finestra","piazza",0.409918163079235,"a",35,"17","finestra","piazza","CAPPETTELLA","left",1,2300,1,2
"98",17,"FRICOTTELA","torta","insalata",0.477677004296455,"a",5,"26","torta","insalata","IDRATOLANA","left",1,4132,1,2
"99",18,"CENSARELLINA","torta","bambola",0.471218182999293,"a",7,"1","bambola","torta","IDRACIOLA","left",2,8417,0,2
"100",19,"CLIETTOLA","finestra","insalata",0.465481192509731,"a",14,"31","insalata","finestra","COTTOLIOLIA","right",1,5198,0,2
"101",20,"FIORICELLO","albero","vaso",0.486247009630272,"o",6,"8","vaso","albero","FIORARIOLO","left",2,5184,0,2
"102",21,"FIOTTINO","prato","fazzoletto",0.467692295329747,"o",4,"25","prato","fazzoletto","CIGOLITELLO","left",1,5237,1,2
"103",22,"TERNOTELLA","finestra","tenda",0.447458904846507,"a",19,"11","finestra","tenda","GIUBBITINA","left",1,4798,1,2
"104",23,"GOCCOTTELLA","acqua","torta",0.435659146467781,"a",20,"32","acqua","torta","POZZETTERIA","right",1,4213,0,2
"105",24,"BANDINAIA","tenda","piazza",0.388122936208263,"a",41,"40","tenda","piazza","ARMONTURIA","left",1,4368,1,2
"106",25,"SDRANGOLIO","tavolo","specchio",0.388372680304045,"o",30,"7","tavolo","specchio","ARMORICELLO","left",1,4032,1,2
"107",26,"SDRAIARELLO","tavolo","prato",0.396708350305362,"o",32,"17","tavolo","prato","CERBOSCELLO","left",1,1755,1,2
"108",27,"SICCOTTELLA","torta","tenda",0.39775601139806,"a",38,"4","torta","tenda","ERRACIOLINA","right",1,1771,0,2
"109",28,"PICATTOLO","libro","martello",0.381508508624341,"o",34,"16","libro","martello","ROCCERIOLO","left",2,1976,0,2
"110",29,"SUONCOLLO","tavolo","violino",0.41212082349233,"o",27,"28","tavolo","violino","RABELLIMENTO","right",2,2925,1,2
"111",30,"CLIETTONDOLA","finestra","giacca",0.48483531848458,"a",8,"14","finestra","giacca","CLIETTOLA","left",1,2099,1,2
"112",31,"SICCOTTELA","camera","torta",0.396127824434801,"a",39,"34","camera","torta","CLICCATTOLA","left",2,1624,0,2
"113",32,"FIORISITOLO","libro","vaso",0.44605935197955,"o",10,"31","vaso","libro","VISUONDOLO","right",2,1614,1,2
"114",33,"GIUBBITINA","giacca","tenda",0.478935582879313,"a",11,"20","giacca","tenda","GOCCOTTELLA","right",2,2749,1,2
"115",34,"SUONANELLO","prato","violino",0.42092393031434,"o",19,"27","prato","violino","SUONCOLLO","left",1,2384,1,2
"116",35,"ROSCESCOLO","albero","tramonto",0.428075432001771,"o",14,"29","tramonto","albero","SPALENTOLO","right",2,1629,1,2
"117",36,"PARTONCELLO","tavolo","albero",0.402321232170136,"o",24,"6","albero","tavolo","FIORICELLO","left",2,3037,0,2
"118",37,"PALCAVERIA","piazza","roccia",0.452228311893175,"a",16,"30","piazza","roccia","APRIATTOLA","left",1,3698,1,2
"119",38,"RETTIELLIA","camera","scarpa",0.333051299054932,"a",45,"36","camera","scarpa","CINCOTTELLA","right",1,4924,0,2
"120",39,"IDRACIOLA","acqua","roccia",0.522737584353153,"a",1,"41","roccia","acqua","BANDINAIA","left",2,4686,0,2
"121",40,"GHIANCIOLA","torta","roccia",0.424879623594919,"a",24,"15","torta","roccia","POZZANELLA","left",1,3818,1,2
"122",41,"SRADINELLO","albero","specchio",0.424257493886018,"o",20,"2","albero","specchio","FIORECCIANDOLO","left",2,2514,0,2
"123",42,"CLICCATTOLA","finestra","scarpa",0.415522183561553,"a",34,"25","scarpa","finestra","BANCOTTINA","right",1,1661,0,2
"124",43,"CINCOTTELLA","torta","piazza",0.400446741017095,"a",36,"37","piazza","torta","PANCOTTELLA","right",2,1833,1,2
"125",44,"SPURIALLIO","specchio","prato",0.378012446652611,"o",35,"24","specchio","prato","PARTONCELLO","left",2,1615,0,2
"126",45,"COSTRELLINA","bambola","roccia",0.471669218334297,"a",9,"12","roccia","bambola","MURICATTOLA","left",2,2451,0,2
"127",46,"BANCOTTINA","insalata","piazza",0.425915829591933,"a",25,"10","insalata","piazza","VESTINETTA","right",2,2102,1,2
"128",47,"IDRANGIA","acqua","insalata",0.49500547062065,"a",3,"19","insalata","acqua","TERNOTELLA","left",2,1505,0,2
"129",48,"IDRANDINA","acqua","camera",0.422081829736095,"a",29,"21","camera","acqua","FRIGLIANZA","right",2,1791,1,2
"130",49,"IDRATOLANA","acqua","scarpa",0.429187881125278,"a",26,"2","scarpa","acqua","VESTOLETTA","right",2,1819,1,2
"131",50,"CROIETTOLO","muro","specchio",0.439610410800281,"o",11,"32","muro","specchio","SDRAIARELLO","left",2,1938,0,2
"132",51,"ARMONTURIA","camera","roccia",0.386541859114092,"a",40,"35","camera","roccia","GIAPRIATOLA","left",2,1923,0,2
"133",52,"SUONISCRIO","libro","violino",0.418887002616857,"o",21,"11","violino","libro","CROIETTOLO","left",1,1950,1,2
"134",53,"SDRANZIA","camera","tenda",0.371844310953691,"a",43,"18","tenda","camera","POZZONELLA","right",2,2093,1,2
"135",54,"CERBOSCELLO","albero","prato",0.430747408233241,"o",17,"5","albero","prato","FIONCOLIOLO","right",1,1645,0,2
"136",55,"FRIGLIANZA","tenda","insalata",0.434661479816257,"a",21,"3","insalata","tenda","IDRANGIA","left",2,2727,0,2
"137",56,"APRIATTOLA","camera","finestra",0.445083660259352,"a",30,"5","camera","finestra","FRICOTTELA","left",1,2557,1,2
"138",57,"SUONANNARIO","tramonto","violino",0.436999752503265,"o",12,"22","violino","tramonto","LUMERSTERSIMO","right",2,5812,1,2
"139",58,"GRAMINELLO","tavolo","vaso",0.405468191411038,"o",23,"3","vaso","tavolo","SGUARELLIO","right",2,6629,1,2
"140",59,"ARMORICELLO","vaso","violino",0.460998958069288,"o",7,"14","violino","vaso","ROSCESCOLO","left",2,1375,0,2
"141",60,"POZZETTERIA","acqua","piazza",0.415528522970472,"a",32,"6","piazza","acqua","LAVESCIA","right",2,5581,1,2
"142",61,"VESTOLETTA","giacca","bambola",0.488970016213063,"a",2,"45","bambola","giacca","RETTIELLIA","right",2,3088,1,2
"143",62,"LUMERSTERSIMO","libro","tramonto",0.406360856583771,"o",22,"15","tramonto","libro","MUSTONCELLO","right",2,3483,1,2
"144",63,"POZZONELLA","acqua","finestra",0.456575135142585,"a",18,"39","acqua","finestra","SICCOTTELA","right",2,2902,1,2
"145",64,"POLIETTOLA","finestra","torta",0.419978313494715,"a",27,"29","torta","finestra","IDRANDINA","right",2,4354,1,2
"146",65,"VISUONDOLO","specchio","violino",0.391008337445416,"o",31,"33","violino","specchio","RAPALINCIO","left",1,1790,1,2
"147",66,"GIUBBIATURA","giacca","scarpa",0.458165374529759,"a",13,"24","giacca","scarpa","GHIANCIOLA","right",1,1949,0,2
"148",67,"SGUARELLIO","specchio","fazzoletto",0.470165895488278,"o",3,"23","fazzoletto","specchio","GRAMINELLO","left",1,2103,1,2
"149",68,"FIORECCIANDOLO","albero","fazzoletto",0.501467247177442,"o",2,"21","fazzoletto","albero","SUONISCRIO","right",2,6724,1,2
"150",69,"SDRAIOLIO","tavolo","tramonto",0.395415084081465,"o",26,"13","tramonto","tavolo","SUONACARIO","right",2,3056,1,2
"151",70,"PANCOTTELLA","torta","scarpa",0.397920796868293,"a",37,"7","scarpa","torta","CENSARELLINA","right",1,2515,0,2
"152",71,"ERRACIOLINA","insalata","roccia",0.485320022334696,"a",4,"16","roccia","insalata","PALCAVERIA","left",1,1437,1,2
"153",72,"RAPALINCIO","martello","prato",0.388931499641466,"o",33,"36","martello","prato","FIOCOSCRIO","right",1,1377,0,2
"154",73,"RABELLIMENTO","libro","specchio",0.395756074912868,"o",28,"34","libro","specchio","PICATTOLO","left",1,1560,1,2
"155",74,"LAVESCIA","acqua","giacca",0.477502876286935,"a",6,"23","giacca","acqua","IMMONTURA","right",1,1282,0,2
"156",75,"CIGOLITELLO","tavolo","muro",0.398585908766644,"o",25,"1","tavolo","muro","FIORINELLO","right",1,1373,0,2
"157",76,"POZZANELLA","acqua","tenda",0.456784940153879,"a",15,"44","acqua","tenda","SENDINAIA","left",1,1291,1,2
"158",77,"SENDINAIA","camera","piazza",0.365935804289337,"a",44,"27","piazza","camera","POLIETTOLA","right",1,1717,0,2
"159",78,"FIORARIOLO","tramonto","vaso",0.46144142963819,"o",8,"20","vaso","tramonto","SRADINELLO","left",2,5001,0,2
"160",79,"FIOCOSCRIO","libro","prato",0.393283359880707,"o",36,"10","prato","libro","FIORISITOLO","right",1,3235,0,2
"161",80,"CAPPETTELLA","torta","giacca",0.445503404450181,"a",17,"43","giacca","torta","SDRANZIA","left",1,1731,1,2
"162",81,"SDRAIATURA","tenda","scarpa",0.373875599810904,"a",42,"33","tenda","scarpa","MURANTURIA","right",2,1468,1,2
"163",1,"SUONANELLO","prato","violino",0.42092393031434,"o",19,"14","prato","violino","ROSCESCOLO","left",2,14656,0,3
"164",2,"FIORINELLO","vaso","fazzoletto",0.49666509075676,"o",1,"26","fazzoletto","vaso","SDRAIOLIO","right",2,9409,1,3
"165",3,"PALCAVERIA","piazza","roccia",0.452228311893175,"a",16,"32","piazza","roccia","POZZETTERIA","left",2,6650,0,3
"166",4,"GIUBBIATINA","camera","giacca",0.440875607098327,"a",22,"16","giacca","camera","PALCAVERIA","left",1,4137,1,3
"167",5,"ROCCERIOLO","martello","vaso",0.422465845764188,"o",16,"20","martello","vaso","SRADINELLO","right",2,7432,1,3
"168",6,"VESTINETTA","giacca","insalata",0.465134941301442,"a",10,"29","giacca","insalata","IDRANDINA","left",2,7471,0,3
"169",7,"SENDINAIA","camera","piazza",0.365935804289337,"a",44,"20","camera","piazza","GOCCOTTELLA","right",2,7164,1,3
"170",8,"ROSCESCOLO","albero","tramonto",0.428075432001771,"o",14,"32","albero","tramonto","SDRAIARELLO","right",2,5248,1,3
"171",9,"FIORICELLO","albero","vaso",0.486247009630272,"o",6,"22","vaso","albero","LUMERSTERSIMO","left",1,3688,1,3
"172",10,"CROIETTOLO","muro","specchio",0.439610410800281,"o",11,"30","muro","specchio","SDRANGOLIO","right",1,5800,0,3
"173",11,"COTTOLIOLIA","camera","insalata",0.422850505618225,"a",31,"34","insalata","camera","CLICCATTOLA","left",2,6431,0,3
"174",12,"FIONCOLIOLO","vaso","prato",0.466683748642467,"o",5,"27","prato","vaso","SUONCOLLO","left",1,3690,1,3
"175",13,"APRIATTOLA","camera","finestra",0.445083660259352,"a",30,"27","camera","finestra","POLIETTOLA","left",1,3852,1,3
"176",14,"VESTOLETTA","giacca","bambola",0.488970016213063,"a",2,"4","bambola","giacca","ERRACIOLINA","right",2,3571,1,3
"177",15,"FIORARIOLO","tramonto","vaso",0.46144142963819,"o",8,"13","vaso","tramonto","SUONACARIO","left",1,2988,1,3
"178",16,"IDRACIOLA","acqua","roccia",0.522737584353153,"a",1,"17","acqua","roccia","CAPPETTELLA","left",1,4130,1,3
"179",17,"BANDINAIA","tenda","piazza",0.388122936208263,"a",41,"5","tenda","piazza","FRICOTTELA","right",2,4375,1,3
"180",18,"CLIETTONDOLA","finestra","giacca",0.48483531848458,"a",8,"12","finestra","giacca","MURICATTOLA","right",1,5093,0,3
"181",19,"SUONANNARIO","tramonto","violino",0.436999752503265,"o",12,"16","tramonto","violino","ROCCERIOLO","right",2,6427,1,3
"182",20,"CERBOSCELLO","albero","prato",0.430747408233241,"o",17,"21","albero","prato","SUONISCRIO","left",1,4653,1,3
"183",21,"COSTRELLINA","bambola","roccia",0.471669218334297,"a",9,"7","bambola","roccia","CENSARELLINA","left",2,7343,0,3
"184",22,"IDRATOLANA","acqua","scarpa",0.429187881125278,"a",26,"24","scarpa","acqua","GHIANCIOLA","left",1,4034,1,3
"185",23,"CAMATINCIA","giacca","piazza",0.428157076417196,"a",28,"26","piazza","giacca","IDRATOLANA","left",1,4811,1,3
"186",24,"ARMONTURIA","camera","roccia",0.386541859114092,"a",40,"10","camera","roccia","VESTINETTA","right",1,3749,0,3
"187",25,"MURANTURIA","roccia","scarpa",0.413419863177116,"a",33,"43","scarpa","roccia","SDRANZIA","right",2,3842,1,3
"188",26,"SICCOTTELA","camera","torta",0.396127824434801,"a",39,"13","torta","camera","GIUBBIATURA","right",2,3833,1,3
"189",27,"MUSTONCELLO","albero","violino",0.431915544858551,"o",15,"36","albero","violino","FIOCOSCRIO","left",1,5351,1,3
"190",28,"LUMERSTERSIMO","libro","tramonto",0.406360856583771,"o",22,"19","tramonto","libro","SUONANELLO","left",1,4025,1,3
"191",29,"GIUBBITINA","giacca","tenda",0.478935582879313,"a",11,"2","giacca","tenda","VESTOLETTA","right",2,4908,1,3
"192",30,"SUONCOLLO","tavolo","violino",0.41212082349233,"o",27,"3","tavolo","violino","SGUARELLIO","right",2,2215,1,3
"193",31,"SEDINOCCIO","tavolo","fazzoletto",0.448979713721618,"o",9,"17","fazzoletto","tavolo","CERBOSCELLO","right",2,5125,1,3
"194",32,"FIOCOSCRIO","libro","prato",0.393283359880707,"o",36,"33","prato","libro","RAPALINCIO","right",2,3533,1,3
"195",33,"GIUBBIATURA","giacca","scarpa",0.458165374529759,"a",13,"3","giacca","scarpa","IDRANGIA","left",1,2981,1,3
"196",34,"MURICATTOLA","finestra","roccia",0.47764464953134,"a",12,"44","finestra","roccia","SENDINAIA","right",2,2523,1,3
"197",35,"CLIETTOLA","finestra","insalata",0.465481192509731,"a",14,"11","finestra","insalata","GIUBBITINA","right",2,3119,1,3
"198",36,"IDRANGIA","acqua","insalata",0.49500547062065,"a",3,"25","acqua","insalata","BANCOTTINA","left",1,2622,1,3
"199",37,"GIAPRIATOLA","finestra","piazza",0.409918163079235,"a",35,"30","piazza","finestra","APRIATTOLA","right",1,3902,0,3
"200",38,"FRIGLIANZA","tenda","insalata",0.434661479816257,"a",21,"38","insalata","tenda","SICCOTTELLA","left",1,5274,1,3
"201",39,"CIGOLITELLO","tavolo","muro",0.398585908766644,"o",25,"1","tavolo","muro","FIORINELLO","right",2,10054,1,3
"202",40,"CINCOTTELLA","torta","piazza",0.400446741017095,"a",36,"9","piazza","torta","COSTRELLINA","left",1,6963,1,3
"203",41,"FIORISITOLO","libro","vaso",0.44605935197955,"o",10,"29","vaso","libro","SPALENTOLO","right",2,1972,1,3
"204",42,"SDRAIATURA","tenda","scarpa",0.373875599810904,"a",42,"40","scarpa","tenda","ARMONTURIA","right",1,2850,0,3
"205",43,"VISUONDOLO","specchio","violino",0.391008337445416,"o",31,"34","specchio","violino","PICATTOLO","left",1,2992,1,3
"206",44,"GHIANCIOLA","torta","roccia",0.424879623594919,"a",24,"21","roccia","torta","FRIGLIANZA","left",2,2204,0,3
