"","trial","stimulus","target1","target2","support","endswith","stimcode_target","stimcode_foil","targetUP","targetDOWN","foilUP","foilDOWN","targetwhere","KEY","RT","Accuracy","ID"
"88",7,"SDRAIATURA","tenda","scarpa",0.373875599810904,"a",42,"18","tenda","scarpa","finestra","acqua","right",2,4314,1,2
"89",8,"VISUONDOLO","specchio","violino",0.391008337445416,"o",31,"25","violino","specchio","muro","tavolo","left",1,5069,1,2
"90",9,"SDRANGOLIO","tavolo","specchio",0.388372680304045,"o",30,"32","specchio","tavolo","tavolo","prato","left",2,7695,0,2
"91",10,"ROCCERIOLO","martello","vaso",0.422465845764188,"o",16,"13","martello","vaso","violino","martello","left",1,7243,1,2
"92",11,"IMMONTURA","tenda","roccia",0.436838143983005,"a",23,"20","tenda","roccia","acqua","torta","right",2,5184,1,2
"93",12,"FRIGLIANZA","tenda","insalata",0.434661479816257,"a",21,"5","tenda","insalata","torta","insalata","right",1,7923,0,2
"94",13,"SUONACARIO","martello","violino",0.431931557252949,"o",13,"24","martello","violino","albero","tavolo","left",1,8025,1,2
"95",14,"FIORARIOLO","tramonto","vaso",0.46144142963819,"o",8,"23","tramonto","vaso","vaso","tavolo","left",2,6750,0,2
"96",15,"SUONANELLO","prato","violino",0.42092393031434,"o",19,"21","violino","prato","violino","libro","right",1,6292,0,2
"97",16,"IDRANDINA","acqua","camera",0.422081829736095,"a",29,"27","camera","acqua","finestra","torta","right",2,6122,1,2
"98",17,"NARAMPICOLO","libro","albero",0.419717897675257,"o",18,"22","albero","libro","libro","tramonto","right",2,12936,1,2
"99",18,"SICCOTTELLA","torta","tenda",0.39775601139806,"a",38,"17","tenda","torta","giacca","torta","left",1,8415,1,2
"100",19,"SUONCOLLO","tavolo","violino",0.41212082349233,"o",27,"35","violino","tavolo","prato","specchio","left",1,4786,1,2
"101",20,"SPALENTOLO","specchio","martello",0.399203699451159,"o",29,"9","specchio","martello","tavolo","fazzoletto","right",1,6922,0,2
"102",21,"ROSCESCOLO","albero","tramonto",0.428075432001771,"o",14,"2","tramonto","albero","albero","fazzoletto","left",1,5702,1,2
"103",22,"SDRAIOLIO","tavolo","tramonto",0.395415084081465,"o",26,"30","tavolo","tramonto","tavolo","specchio","right",2,7908,1,2
"104",23,"MURANTURIA","roccia","scarpa",0.413419863177116,"a",33,"34","roccia","scarpa","finestra","scarpa","right",1,4193,0,2
"105",24,"GRAMINELLO","tavolo","vaso",0.405468191411038,"o",23,"12","vaso","tavolo","tramonto","violino","left",1,8000,1,2
"106",25,"LUMERSTERSIMO","libro","tramonto",0.406360856583771,"o",22,"1","tramonto","libro","vaso","fazzoletto","left",2,5411,0,2
"107",26,"CENSARELLINA","torta","bambola",0.471218182999293,"a",7,"39","bambola","torta","torta","camera","left",1,7374,1,2
"108",27,"GIUBBITINA","giacca","tenda",0.478935582879313,"a",11,"36","giacca","tenda","torta","piazza","left",1,2032,1,2
"109",28,"LAVESCIA","acqua","giacca",0.477502876286935,"a",6,"38","giacca","acqua","torta","tenda","right",2,3633,1,2
"110",29,"GHIANCIOLA","torta","roccia",0.424879623594919,"a",24,"13","roccia","torta","scarpa","giacca","right",2,3751,1,2
"111",30,"PALCAVERIA","piazza","roccia",0.452228311893175,"a",16,"15","roccia","piazza","acqua","tenda","left",1,7990,1,2
"112",31,"TERNOTELLA","finestra","tenda",0.447458904846507,"a",19,"10","tenda","finestra","giacca","insalata","left",2,5105,0,2
"113",32,"MURICATTOLA","finestra","roccia",0.47764464953134,"a",12,"7","finestra","roccia","torta","bambola","right",2,4874,1,2
"114",33,"SDRAIARELLO","tavolo","prato",0.396708350305362,"o",32,"28","prato","tavolo","libro","specchio","right",2,4066,1,2
"115",34,"FIONCOLIOLO","vaso","prato",0.466683748642467,"o",5,"10","vaso","prato","vaso","libro","left",1,8162,1,2
"116",35,"POZZANELLA","acqua","tenda",0.456784940153879,"a",15,"24","acqua","tenda","torta","roccia","left",1,3490,1,2
"117",36,"SICCOTTELA","camera","torta",0.396127824434801,"a",39,"1","camera","torta","roccia","acqua","left",1,8687,1,2
"118",37,"SUONANNARIO","tramonto","violino",0.436999752503265,"o",12,"11","violino","tramonto","specchio","muro","right",2,3041,1,2
"119",38,"IDRANGIA","acqua","insalata",0.49500547062065,"a",3,"6","acqua","insalata","acqua","giacca","left",2,5568,0,2
"120",39,"FIORISITOLO","libro","vaso",0.44605935197955,"o",10,"27","libro","vaso","violino","tavolo","left",1,4945,1,2
"121",40,"RABELLIMENTO","libro","specchio",0.395756074912868,"o",28,"4","specchio","libro","fazzoletto","prato","right",2,5735,1,2
"122",41,"SGUARELLIO","specchio","fazzoletto",0.470165895488278,"o",3,"34","fazzoletto","specchio","martello","libro","left",2,5354,0,2
"123",42,"POZZONELLA","acqua","finestra",0.456575135142585,"a",18,"23","acqua","finestra","tenda","roccia","left",1,1725,1,2
"124",43,"CLIETTONDOLA","finestra","giacca",0.48483531848458,"a",8,"4","finestra","giacca","roccia","insalata","left",2,6977,0,2
"125",44,"CLICCATTOLA","finestra","scarpa",0.415522183561553,"a",34,"26","scarpa","finestra","acqua","scarpa","right",2,5393,1,2
"126",45,"GIAPRIATOLA","finestra","piazza",0.409918163079235,"a",35,"14","finestra","piazza","finestra","insalata","left",2,8476,0,2
"127",46,"PARTONCELLO","tavolo","albero",0.402321232170136,"o",24,"31","tavolo","albero","specchio","violino","right",2,8597,1,2
"128",47,"RAPALINCIO","martello","prato",0.388931499641466,"o",33,"18","prato","martello","albero","libro","right",2,2934,1,2
"129",48,"SUONISCRIO","libro","violino",0.418887002616857,"o",21,"5","violino","libro","vaso","prato","left",1,2068,1,2
"130",49,"RETTIELLIA","camera","scarpa",0.333051299054932,"a",45,"19","scarpa","camera","tenda","finestra","right",1,4320,0,2
"131",50,"CINCOTTELLA","torta","piazza",0.400446741017095,"a",36,"28","piazza","torta","piazza","giacca","right",2,4615,1,2
"132",51,"BANCOTTINA","insalata","piazza",0.425915829591933,"a",25,"21","insalata","piazza","insalata","tenda","right",1,5350,0,2
"133",52,"GIUBBIATURA","giacca","scarpa",0.458165374529759,"a",13,"32","giacca","scarpa","acqua","piazza","right",2,1921,1,2
"134",53,"COSTRELLINA","bambola","roccia",0.471669218334297,"a",9,"42","bambola","roccia","scarpa","tenda","left",1,6320,1,2
"135",54,"VESTOLETTA","giacca","bambola",0.488970016213063,"a",2,"31","bambola","giacca","camera","insalata","right",2,2282,1,2
"136",55,"APRIATTOLA","camera","finestra",0.445083660259352,"a",30,"11","finestra","camera","giacca","tenda","right",2,4068,1,2
"137",56,"PICATTOLO","libro","martello",0.381508508624341,"o",34,"17","martello","libro","prato","albero","right",2,5295,1,2
"138",57,"COTTOLIOLIA","camera","insalata",0.422850505618225,"a",31,"8","insalata","camera","finestra","giacca","right",1,5901,0,2
"139",58,"GIUBBIATINA","camera","giacca",0.440875607098327,"a",22,"12","camera","giacca","finestra","roccia","right",2,2431,1,2
"140",59,"CAPPETTELLA","torta","giacca",0.445503404450181,"a",17,"43","giacca","torta","tenda","camera","right",1,4032,0,2
"141",60,"BANDINAIA","tenda","piazza",0.388122936208263,"a",41,"3","tenda","piazza","acqua","insalata","left",1,5323,1,2
"142",61,"FIOCOSCRIO","libro","prato",0.393283359880707,"o",36,"15","libro","prato","violino","albero","left",1,17119,1,2
"143",62,"SDRANZIA","camera","tenda",0.371844310953691,"a",43,"45","camera","tenda","camera","scarpa","left",2,7509,0,2
"144",63,"FIORECCIANDOLO","albero","fazzoletto",0.501467247177442,"o",2,"26","albero","fazzoletto","tramonto","tavolo","left",1,4195,1,2
"145",64,"ERRACIOLINA","insalata","roccia",0.485320022334696,"a",4,"41","insalata","roccia","piazza","tenda","right",2,3537,1,2
"146",65,"SPURIALLIO","specchio","prato",0.378012446652611,"o",35,"20","prato","specchio","specchio","albero","left",1,3195,1,2
"147",66,"ARMORICELLO","vaso","violino",0.460998958069288,"o",7,"6","violino","vaso","vaso","albero","right",1,15759,0,2
"148",67,"SEDINOCCIO","tavolo","fazzoletto",0.448979713721618,"o",9,"33","tavolo","fazzoletto","martello","prato","right",2,12840,1,2
"149",68,"PANCOTTELLA","torta","scarpa",0.397920796868293,"a",37,"29","torta","scarpa","camera","acqua","right",2,2692,1,2
"150",69,"FIORINELLO","vaso","fazzoletto",0.49666509075676,"o",1,"3","vaso","fazzoletto","specchio","fazzoletto","right",2,1979,1,2
"151",70,"POZZETTERIA","acqua","piazza",0.415528522970472,"a",32,"35","acqua","piazza","finestra","piazza","right",2,1771,1,2
"152",71,"CAMATINCIA","giacca","piazza",0.428157076417196,"a",28,"9","giacca","piazza","bambola","roccia","left",2,6202,0,2
"153",72,"MUSTONCELLO","albero","violino",0.431915544858551,"o",15,"8","albero","violino","vaso","tramonto","left",1,2854,1,2
"154",73,"IDRACIOLA","acqua","roccia",0.522737584353153,"a",1,"25","acqua","roccia","piazza","insalata","right",2,1538,1,2
"155",74,"FIORICELLO","albero","vaso",0.486247009630272,"o",6,"29","vaso","albero","martello","specchio","right",2,1581,1,2
"156",75,"CLIETTOLA","finestra","insalata",0.465481192509731,"a",14,"16","finestra","insalata","piazza","roccia","left",2,6946,0,2
"157",76,"VESTINETTA","giacca","insalata",0.465134941301442,"a",10,"44","insalata","giacca","camera","piazza","right",2,2282,1,2
"158",77,"CERBOSCELLO","albero","prato",0.430747408233241,"o",17,"36","albero","prato","libro","prato","left",1,3119,1,2
"159",78,"IDRATOLANA","acqua","scarpa",0.429187881125278,"a",26,"37","scarpa","acqua","torta","scarpa","right",2,1331,1,2
"160",79,"CROIETTOLO","muro","specchio",0.439610410800281,"o",11,"16","specchio","muro","vaso","martello","right",1,5940,0,2
"161",80,"POLIETTOLA","finestra","torta",0.419978313494715,"a",27,"30","torta","finestra","camera","finestra","right",1,4209,0,2
"162",81,"FRICOTTELA","torta","insalata",0.477677004296455,"a",5,"22","torta","insalata","giacca","camera","left",1,5403,1,2
"163",1,"SEDINOCCIO","tavolo","fazzoletto",0.448979713721618,"o",9,"5","fazzoletto","tavolo","prato","vaso","left",2,17338,0,3
"164",2,"SDRAIARELLO","tavolo","prato",0.396708350305362,"o",32,"2","prato","tavolo","albero","fazzoletto","left",1,7214,1,3
"165",3,"FRICOTTELA","torta","insalata",0.477677004296455,"a",5,"15","insalata","torta","acqua","tenda","left",1,3020,1,3
"166",4,"SDRAIATURA","tenda","scarpa",0.373875599810904,"a",42,"26","tenda","scarpa","scarpa","acqua","left",1,4728,1,3
"167",5,"MURICATTOLA","finestra","roccia",0.47764464953134,"a",12,"40","finestra","roccia","roccia","camera","left",2,5661,0,3
"168",6,"SPALENTOLO","specchio","martello",0.399203699451159,"o",29,"36","martello","specchio","libro","prato","right",2,1578,1,3
"169",7,"SDRAIOLIO","tavolo","tramonto",0.395415084081465,"o",26,"11","tavolo","tramonto","specchio","muro","right",2,1997,1,3
"170",8,"ARMONTURIA","camera","roccia",0.386541859114092,"a",40,"39","camera","roccia","torta","camera","right",1,1866,0,3
"171",9,"FIONCOLIOLO","vaso","prato",0.466683748642467,"o",5,"20","prato","vaso","specchio","albero","right",2,646,1,3
"172",10,"FIORINELLO","vaso","fazzoletto",0.49666509075676,"o",1,"35","fazzoletto","vaso","prato","specchio","left",2,536,0,3
"173",11,"FIOCOSCRIO","libro","prato",0.393283359880707,"o",36,"34","prato","libro","libro","martello","right",2,948,1,3
"174",12,"PICATTOLO","libro","martello",0.381508508624341,"o",34,"27","libro","martello","violino","tavolo","right",2,1565,1,3
"175",13,"CERBOSCELLO","albero","prato",0.430747408233241,"o",17,"13","prato","albero","martello","violino","right",2,1939,1,3
"176",14,"IDRANGIA","acqua","insalata",0.49500547062065,"a",3,"11","acqua","insalata","giacca","tenda","right",2,1272,1,3
"177",15,"CIGOLITELLO","tavolo","muro",0.398585908766644,"o",25,"28","muro","tavolo","specchio","libro","left",1,1627,1,3
"178",16,"SUONCOLLO","tavolo","violino",0.41212082349233,"o",27,"24","violino","tavolo","tavolo","albero","left",1,1898,1,3
"179",17,"GIUBBITINA","giacca","tenda",0.478935582879313,"a",11,"2","giacca","tenda","giacca","bambola","right",2,817,1,3
"180",18,"IDRATOLANA","acqua","scarpa",0.429187881125278,"a",26,"21","scarpa","acqua","tenda","insalata","left",1,1188,1,3
"181",19,"SICCOTTELLA","torta","tenda",0.39775601139806,"a",38,"30","torta","tenda","camera","finestra","right",1,1307,0,3
"182",20,"SRADINELLO","albero","specchio",0.424257493886018,"o",20,"6","albero","specchio","vaso","albero","right",2,1480,1,3
"183",21,"CLIETTONDOLA","finestra","giacca",0.48483531848458,"a",8,"33","finestra","giacca","roccia","scarpa","left",1,1666,1,3
"184",22,"APRIATTOLA","camera","finestra",0.445083660259352,"a",30,"10","camera","finestra","insalata","giacca","left",1,2879,1,3
"185",23,"VESTINETTA","giacca","insalata",0.465134941301442,"a",10,"31","giacca","insalata","insalata","camera","left",2,2318,0,3
"186",24,"PALCAVERIA","piazza","roccia",0.452228311893175,"a",16,"18","piazza","roccia","finestra","acqua","right",2,2132,1,3
"187",25,"COTTOLIOLIA","camera","insalata",0.422850505618225,"a",31,"29","camera","insalata","acqua","camera","right",1,491,0,3
"188",26,"RAPALINCIO","martello","prato",0.388931499641466,"o",33,"3","martello","prato","fazzoletto","specchio","right",2,766,1,3
"189",27,"GOCCOTTELLA","acqua","torta",0.435659146467781,"a",20,"35","acqua","torta","piazza","finestra","left",1,382,1,3
"190",28,"CLIETTOLA","finestra","insalata",0.465481192509731,"a",14,"41","finestra","insalata","tenda","piazza","right",2,755,1,3
"191",29,"GRAMINELLO","tavolo","vaso",0.405468191411038,"o",23,"32","tavolo","vaso","tavolo","prato","right",2,1621,1,3
"192",30,"TERNOTELLA","finestra","tenda",0.447458904846507,"a",19,"28","tenda","finestra","giacca","piazza","right",1,1465,0,3
"193",31,"ARMORICELLO","vaso","violino",0.460998958069288,"o",7,"29","violino","vaso","martello","specchio","left",2,2305,0,3
"194",32,"LAVESCIA","acqua","giacca",0.477502876286935,"a",6,"45","giacca","acqua","scarpa","camera","left",1,1082,1,3
"195",33,"CAMATINCIA","giacca","piazza",0.428157076417196,"a",28,"16","giacca","piazza","piazza","roccia","left",2,905,0,3
"196",34,"CROIETTOLO","muro","specchio",0.439610410800281,"o",11,"30","muro","specchio","specchio","tavolo","left",1,1064,1,3
"197",35,"CENSARELLINA","torta","bambola",0.471218182999293,"a",7,"38","torta","bambola","tenda","torta","right",2,1153,1,3
"198",36,"SGUARELLIO","specchio","fazzoletto",0.470165895488278,"o",3,"18","fazzoletto","specchio","albero","libro","right",1,283,0,3
"199",37,"ROCCERIOLO","martello","vaso",0.422465845764188,"o",16,"33","vaso","martello","prato","martello","left",1,2131,1,3
"200",38,"FIOTTINO","prato","fazzoletto",0.467692295329747,"o",4,"1","prato","fazzoletto","vaso","fazzoletto","left",2,2303,0,3
"201",39,"MURANTURIA","roccia","scarpa",0.413419863177116,"a",33,"13","scarpa","roccia","scarpa","giacca","right",1,1533,0,3
"202",40,"GIUBBIATINA","camera","giacca",0.440875607098327,"a",22,"7","giacca","camera","bambola","torta","left",2,1889,0,3
"203",41,"IDRACIOLA","acqua","roccia",0.522737584353153,"a",1,"22","acqua","roccia","giacca","camera","left",1,4071,1,3
"204",42,"SDRANGOLIO","tavolo","specchio",0.388372680304045,"o",30,"9","specchio","tavolo","fazzoletto","tavolo","right",2,2490,1,3
"205",43,"BANDINAIA","tenda","piazza",0.388122936208263,"a",41,"44","tenda","piazza","camera","piazza","left",2,4064,0,3
"206",44,"ERRACIOLINA","insalata","roccia",0.485320022334696,"a",4,"27","roccia","insalata","torta","finestra","right",1,562,0,3
"207",45,"SUONANNARIO","tramonto","violino",0.436999752503265,"o",12,"21","tramonto","violino","libro","violino","left",2,880,0,3
"208",46,"POZZANELLA","acqua","tenda",0.456784940153879,"a",15,"19","tenda","acqua","tenda","finestra","right",1,798,0,3
"209",47,"CINCOTTELLA","torta","piazza",0.400446741017095,"a",36,"20","torta","piazza","acqua","torta","left",2,3324,0,3
"210",48,"VESTOLETTA","giacca","bambola",0.488970016213063,"a",2,"9","bambola","giacca","roccia","bambola","left",2,68,0,3
"211",49,"CLICCATTOLA","finestra","scarpa",0.415522183561553,"a",34,"4","scarpa","finestra","insalata","roccia","left",1,1532,1,3
