"","trial","stimulus","target1","target2","support","endswith","stimcode_target","stimcode_foil","foil","targetwhere","KEY","RT","Accuracy","ID"
"41",41,"SEPOLLAIA","bara","bara",0.435754908929298,"a",23,4,"SUONONELLA","right",2,1706,1,1
"42",42,"BOVISELETTA","pelliccia","pelliccia",0.410104570264826,"a",38,25,"IRIBOLENZA","left",1,1840,1,1
"43",43,"VACEFALINA","puntura","puntura",0.431007234616676,"a",24,35,"VACIDEMINA","left",2,1682,0,1
"44",44,"GROTOPSIANDOLO","cranio","cranio",0.444663786157017,"o",20,26,"TETRUCCIERICO","right",1,2945,0,1
"45",45,"BACINGINEO","capezzolo","capezzolo",0.504656607139577,"o",2,32,"POZZETALITO","left",2,2293,0,1
"46",46,"LETTOLETTO","comodino","comodino",0.436699875276071,"o",21,4,"AMANIMARISMO","left",2,2863,0,1
"47",47,"MAAZELLARIA","orchestra","orchestra",0.520253165746296,"a",1,19,"VAPOGELLA","right",1,2362,0,1
"48",48,"BICCORERIANNO","rinfresco","rinfresco",0.402679014844255,"o",37,13,"NIDORMIENDOLO","right",2,2136,1,1
"49",49,"VACIDEMINA","malaria","malaria",0.410484135915653,"a",35,24,"VACEFALINA","left",1,3652,1,1
"50",50,"BONSCETTIA","credenza","credenza",0.406283964386456,"a",37,17,"TOPISEGNATURA","left",1,1675,1,1
"51",51,"NEBBALLIANTO","crepuscolo","crepuscolo",0.457327965680897,"o",16,20,"GROTOPSIANDOLO","right",2,3441,1,1
"52",52,"GUARIOGRANDOLA","benda","benda",0.43746158905452,"a",26,22,"GUTONERTITA","right",2,3324,1,1
"53",53,"SDRASTELLO","cuscino","cuscino",0.479165705299131,"o",7,11,"UCCIDALOSAMENTO","right",2,1236,1,1
"54",54,"DECOMODA","poltrona","poltrona",0.408095781596733,"a",42,9,"COTOLITELLA","right",2,1698,1,1
"55",55,"TRAVINCIMENTO","trionfo","trionfo",0.471378974659514,"o",6,23,"OFFENDANTOSO","left",1,5031,1,1
"56",56,"LUMITATRO","faro","faro",0.421581339331163,"o",31,24,"BAMBITORIO","left",1,3789,1,1
"57",57,"NUTRONATEZZA","abbondanza","abbondanza",0.428871896311444,"a",29,10,"TIELATILLINA","left",1,1912,1,1
"58",58,"INFETOTERO","vaiolo","vaiolo",0.447289180501927,"o",15,12,"BOVIACCAMENTO","right",1,1741,0,1
"59",59,"TAPOSTOIONA","mensola","mensola",0.410975906153405,"a",33,38,"BOVISELETTA","left",2,1794,0,1
"60",60,"SUPESCITOLO","squalo","squalo",0.420294585989897,"o",34,38,"VORICIPANZIO","right",1,2086,0,1
"61",61,"VAPOGELLA","schiuma","schiuma",0.443413308588936,"a",19,16,"CUOCETTOLA","right",1,2678,0,1
"62",62,"SOMMIRATOLA","statua","statua",0.417796195312835,"a",41,26,"GUARIOGRANDOLA","left",2,2603,0,1
"63",63,"BULICCHIRURA","dentista","dentista",0.418391257993589,"a",27,28,"MORTUMAZITA","left",1,1672,1,1
"64",64,"NUVOLTANZA","brezza","brezza",0.484015395070746,"a",8,13,"GIUBBIATOLA","right",2,1280,1,1
"65",65,"FRITIENDOLA","scodella","scodella",0.503490471257293,"a",3,29,"NUTRONATEZZA","left",1,1670,1,1
"66",66,"SEDINOCA","panca","panca",0.40737738992096,"a",34,15,"PECCANNIA","right",2,1558,1,1
"67",67,"GRATTUGIENDOLO","cucchiaio","cucchiaio",0.457632825837669,"o",9,15,"INFETOTERO","left",2,3523,0,1
"68",68,"BAMBITORIO","giocattolo","giocattolo",0.450036652496003,"o",24,30,"AMAGGIOSCO","left",1,1153,1,1
"69",69,"BOVETRITOLA","carcassa","carcassa",0.441974707362872,"a",21,23,"SEPOLLAIA","left",2,1959,0,1
"70",70,"SDEGNATISMO","disprezzo","disprezzo",0.517708945423487,"o",3,21,"LETTOLETTO","left",1,1406,1,1
"71",71,"CUOCETTOLA","padella","padella",0.463623805530619,"a",16,5,"ILLUMINETTRIA","right",2,1075,1,1
"72",72,"TECNOLICENZA","industria","industria",0.407799094333392,"a",39,27,"BULICCHIRURA","left",1,1420,1,1
"73",73,"ERBACOLATURA","pianta","pianta",0.410990668069201,"a",36,40,"ACUFEROIDIA","right",2,1310,1,1
"74",74,"VESTICELLA","gonna","gonna",0.475682779400607,"a",11,12,"AFFOGNITURA","left",1,1191,1,1
"75",75,"NIDORMIENDOLO","insetto","insetto",0.4654280952828,"o",13,6,"TRAVINCIMENTO","left",1,1470,1,1
"76",76,"POZZETALITO","serbatoio","serbatoio",0.411098303335955,"o",32,29,"BAMAGOGO","left",1,1042,1,1
"77",77,"SUONANELLO","violino","violino",0.480197333828064,"o",5,19,"GHIOTOSTALMENTO","left",1,1933,1,1
"78",78,"ATLETINATRICA","ginnasta","ginnasta",0.505649500312599,"a",2,18,"BOVACCIETTA","right",2,1525,1,1
"79",79,"SCIOCOLTAZIO","fischio","fischio",0.427576149656166,"o",33,5,"SUONANELLO","left",1,2236,1,1
"80",80,"ILLUMINETTRIA","lampadina","lampadina",0.488456786989471,"a",5,37,"BONSCETTIA","left",1,1463,1,1
"81",81,"PECCANNIA","lussuria","lussuria",0.463534279149531,"a",15,43,"NASCOBILISTA","left",1,1295,1,1
"82",1,"VESTICELLA","gonna","gonna",0.475682779400607,"a",11,35,"VACIDEMINA","right",2,1901,1,2
"83",2,"BRUFFEMIANDOLO","pervertito","pervertito",0.523850635899467,"o",1,29,"BAMAGOGO","left",1,3297,1,2
"84",3,"GHIOTOSTALMENTO","fungo","fungo",0.431669987072567,"o",19,9,"GRATTUGIENDOLO","right",2,2380,1,2
"85",4,"CUOCCELA","pentola","pentola",0.458594744645759,"a",14,24,"VACEFALINA","right",2,1542,1,2
"86",5,"LUMITATRO","faro","faro",0.421581339331163,"o",31,25,"BUCCOLAIANDOLO","left",1,1721,1,2
"87",6,"MAFIDAMATO","pentito","pentito",0.443432985504823,"o",22,12,"BOVIACCAMENTO","right",2,2227,1,2
"88",7,"MAAZELLARIA","orchestra","orchestra",0.520253165746296,"a",1,27,"BULICCHIRURA","left",1,3067,1,2
"89",8,"FRITIENDOLA","scodella","scodella",0.503490471257293,"a",3,29,"NUTRONATEZZA","right",2,2647,1,2
"90",9,"NUTRONATEZZA","abbondanza","abbondanza",0.428871896311444,"a",29,21,"BOVETRITOLA","right",2,2043,1,2
"91",10,"FUMACOLIO","tabacco","tabacco",0.442651736319948,"o",17,1,"BRUFFEMIANDOLO","right",2,1265,1,2
"92",11,"ILLUMITINA","lampada","lampada",0.48953839463578,"a",7,31,"SHAKESPEARIA","left",1,2869,1,2
"93",12,"GENAMORENZA","gelosia","gelosia",0.453520071512669,"a",20,22,"GUTONERTITA","left",1,2982,1,2
"94",13,"GUARIOGRANDOLA","benda","benda",0.43746158905452,"a",26,40,"ACUFEROIDIA","right",2,1979,1,2
"95",14,"DECOMODA","poltrona","poltrona",0.408095781596733,"a",42,5,"ILLUMINETTRIA","right",2,1376,1,2
"96",15,"PESCHETTORIO","attrezzo","attrezzo",0.454366055587418,"o",14,11,"UCCIDALOSAMENTO","right",2,3924,1,2
"97",16,"OFFENDANTOSO","insulto","insulto",0.440975943620665,"o",23,10,"BAIALININARLO","right",2,1344,1,2
"98",17,"COTOLITELLA","pasta","pasta",0.48355510448989,"a",9,41,"SOMMIRATOLA","right",2,2941,1,2
"99",18,"BUCCOLAIANDOLO","cesto","cesto",0.454227200939773,"o",25,33,"SCIOCOLTAZIO","right",1,1420,0,2
"100",19,"GUTONERTITA","risata","risata",0.440767443511956,"a",22,43,"NASCOBILISTA","right",1,1457,0,2
"101",20,"TIELATILLINA","caramella","caramella",0.467069016585616,"a",10,37,"BONSCETTIA","right",2,3958,1,2
"102",21,"UFFAMALINALISMO","pettegolezzo","pettegolezzo",0.409747618431885,"o",36,30,"AMAGGIOSCO","left",1,3400,1,2
"103",22,"SHAKESPEARIA","commedia","commedia",0.422687919118835,"a",31,23,"SEPOLLAIA","left",1,1704,1,2
"104",23,"TAPOSTOIONA","mensola","mensola",0.410975906153405,"a",33,6,"BEVERCHIETTA","right",2,2697,1,2
"105",24,"NASCOBILISTA","patriota","patriota",0.411726791608716,"a",43,34,"SEDINOCA","right",1,2424,0,2
"106",25,"TINFETIOLIA","allergia","allergia",0.413526929377243,"a",32,10,"TIELATILLINA","left",1,3289,1,2
"107",26,"SCIOCOLTAZIO","fischio","fischio",0.427576149656166,"o",33,24,"BAMBITORIO","left",1,1914,1,2
"108",27,"BEVERCHIETTA","bibita","bibita",0.504716253629009,"a",6,13,"GIUBBIATOLA","right",2,1478,1,2
"109",28,"BOVETRITOLA","carcassa","carcassa",0.441974707362872,"a",21,42,"DECOMODA","left",1,1819,1,2
"110",29,"VACEFALINA","puntura","puntura",0.431007234616676,"a",24,30,"CAGOGNAZZA","right",2,2717,1,2
"111",30,"INFETOTERO","vaiolo","vaiolo",0.447289180501927,"o",15,7,"SDRASTELLO","left",1,1680,1,2
"112",31,"ACUFEROIDIA","emicrania","emicrania",0.407339708774309,"a",40,28,"MORTUMAZITA","right",1,3056,0,2
"113",32,"TETRUCCIERICO","manichino","manichino",0.436693144990155,"o",26,16,"NEBBALLIANTO","left",2,1755,0,2
"114",33,"GRATTUGIENDOLO","cucchiaio","cucchiaio",0.457632825837669,"o",9,38,"VORICIPANZIO","left",2,2016,0,2
"115",34,"BAIALININARLO","gattino","gattino",0.452422246675284,"o",10,32,"POZZETALITO","left",1,3157,1,2
"116",35,"SEDINOCA","panca","panca",0.40737738992096,"a",34,38,"BOVISELETTA","right",2,1234,1,2
"117",36,"IRIBOLENZA","collera","collera",0.429596032023148,"a",25,9,"COTOLITELLA","left",1,1534,1,2
"118",37,"GIUBBIATOLA","sciarpa","sciarpa",0.466889109453445,"a",13,39,"TECNOLICENZA","left",1,2118,1,2
"119",38,"POZZETALITO","serbatoio","serbatoio",0.411098303335955,"o",32,26,"TETRUCCIERICO","right",2,2554,1,2
"120",39,"AFFOGNITURA","melma","melma",0.470398073485889,"a",12,15,"PECCANNIA","left",1,2440,1,2
"121",40,"SDEGNATISMO","disprezzo","disprezzo",0.517708945423487,"o",3,15,"INFETOTERO","right",2,2205,1,2
"122",41,"TRAVINCIMENTO","trionfo","trionfo",0.471378974659514,"o",6,31,"LUMITATRO","right",2,2322,1,2
"123",42,"ATLETINATRICA","ginnasta","ginnasta",0.505649500312599,"a",2,3,"FRITIENDOLA","left",1,1076,1,2
"124",43,"SPONATENTALISMO","stampo","stampo",0.436606223838356,"o",27,35,"POSPICCIOLO","right",1,3067,0,2
"125",44,"BACINGINEO","capezzolo","capezzolo",0.504656607139577,"o",2,36,"UFFAMALINALISMO","left",1,2510,1,2
"126",45,"CUOCETTOLA","padella","padella",0.463623805530619,"a",16,33,"TAPOSTOIONA","left",1,1456,1,2
"127",46,"GROTOPSIANDOLO","cranio","cranio",0.444663786157017,"o",20,22,"MAFIDAMATO","left",2,4139,0,2
"128",47,"SUONANELLO","violino","violino",0.480197333828064,"o",5,14,"PESCHETTORIO","left",1,2108,1,2
"129",48,"AMANIMARISMO","sentimento","sentimento",0.485411776222111,"o",4,8,"MORCAVATTICO","right",2,2372,1,2
"130",49,"UCCIDALOSAMENTO","massacro","massacro",0.466290928178276,"o",11,4,"AMANIMARISMO","left",1,1268,1,2
"131",50,"VACIDEMINA","malaria","malaria",0.410484135915653,"a",35,8,"NUVOLTANZA","left",1,1060,1,2
"132",51,"CORTECNOLISMO","progresso","progresso",0.42950685771341,"o",28,3,"SDEGNATISMO","right",1,3413,0,2
"133",52,"MORCAVATTICO","scarafaggio","scarafaggio",0.470493213526438,"o",8,21,"LETTOLETTO","left",1,3333,1,2
"134",53,"CAGOGNAZZA","feccia","feccia",0.422413853089632,"a",30,11,"VESTICELLA","left",1,2232,1,2
"135",54,"ILLUMINETTRIA","lampadina","lampadina",0.488456786989471,"a",5,20,"GENAMORENZA","right",2,1233,1,2
"136",55,"VAPOGELLA","schiuma","schiuma",0.443413308588936,"a",19,17,"TOPISEGNATURA","right",2,1660,1,2
"137",56,"NIDORMIENDOLO","insetto","insetto",0.4654280952828,"o",13,20,"GROTOPSIANDOLO","left",1,2111,1,2
"138",57,"BOVIACCAMENTO","macello","macello",0.457839353368462,"o",12,6,"TRAVINCIMENTO","left",1,1145,1,2
"139",58,"TOPISEGNATURA","matita","matita",0.472668740606664,"a",17,32,"TINFETIOLIA","left",2,2554,0,2
"140",59,"NUVOLTANZA","brezza","brezza",0.484015395070746,"a",8,26,"GUARIOGRANDOLA","left",1,1884,1,2
"141",60,"DÉPLIOTIO","opuscolo","opuscolo",0.441686024950471,"o",18,34,"SUPESCITOLO","left",1,2691,1,2
"142",61,"SDRASTELLO","cuscino","cuscino",0.479165705299131,"o",7,18,"DÉPLIOTIO","left",1,1985,1,2
"143",62,"LETTOLETTO","comodino","comodino",0.436699875276071,"o",21,27,"SPONATENTALISMO","left",2,4344,0,2
"144",63,"BULICCHIRURA","dentista","dentista",0.418391257993589,"a",27,7,"ILLUMITINA","left",1,1880,1,2
"145",64,"SUPESCITOLO","squalo","squalo",0.420294585989897,"o",34,13,"NIDORMIENDOLO","right",2,2869,1,2
"146",65,"ERBACOLATURA","pianta","pianta",0.410990668069201,"a",36,19,"VAPOGELLA","right",2,1433,1,2
"147",66,"VORICIPANZIO","incentivo","incentivo",0.418727645029792,"o",38,37,"BICCORERIANNO","left",2,2609,0,2
"148",67,"MORTUMAZITA","agonia","agonia",0.430053687084792,"a",28,36,"ERBACOLATURA","left",1,1630,1,2
"149",68,"BOVISELETTA","pelliccia","pelliccia",0.410104570264826,"a",38,1,"MAAZELLARIA","left",1,1857,1,2
"150",69,"BOVACCIETTA","mucca","mucca",0.453353399154596,"a",18,25,"IRIBOLENZA","left",1,1219,1,2
"151",70,"NEBBALLIANTO","crepuscolo","crepuscolo",0.457327965680897,"o",16,17,"FUMACOLIO","right",2,1263,1,2
"152",71,"AMAGGIOSCO","fascino","fascino",0.416690467636846,"o",30,5,"SUONANELLO","left",1,3970,1,2
"153",72,"BAMAGOGO","idolo","idolo",0.440714478264661,"o",29,2,"BACINGINEO","left",2,3659,0,2
"154",73,"BONSCETTIA","credenza","credenza",0.406283964386456,"a",37,16,"CUOCETTOLA","right",2,3428,1,2
"155",74,"SOMMIRATOLA","statua","statua",0.417796195312835,"a",41,18,"BOVACCIETTA","right",2,1852,1,2
"156",75,"TECNOLICENZA","industria","industria",0.407799094333392,"a",39,4,"SUONONELLA","left",1,1301,1,2
"157",76,"BAMBITORIO","giocattolo","giocattolo",0.450036652496003,"o",24,19,"GHIOTOSTALMENTO","right",2,3538,1,2
"158",77,"BICCORERIANNO","rinfresco","rinfresco",0.402679014844255,"o",37,28,"CORTECNOLISMO","right",1,2995,0,2
"159",78,"SUONONELLA","tromba","tromba",0.496570662135082,"a",4,14,"CUOCCELA","left",1,911,1,2
"160",79,"SEPOLLAIA","bara","bara",0.435754908929298,"a",23,2,"ATLETINATRICA","left",1,1830,1,2
"161",80,"POSPICCIOLO","terrazzo","terrazzo",0.407849187862492,"o",35,23,"OFFENDANTOSO","right",2,4086,1,2
"162",81,"PECCANNIA","lussuria","lussuria",0.463534279149531,"a",15,12,"AFFOGNITURA","right",2,1738,1,2
"163",1,"PESCHETTORIO","attrezzo","attrezzo",0.454366055587418,"o",14,13,"NIDORMIENDOLO","left",1,6487,1,3
"164",2,"CUOCCELA","pentola","pentola",0.458594744645759,"a",14,42,"DECOMODA","right",2,6542,1,3
"165",3,"AFFOGNITURA","melma","melma",0.470398073485889,"a",12,14,"CUOCCELA","left",1,6818,1,3
"166",4,"VAPOGELLA","schiuma","schiuma",0.443413308588936,"a",19,40,"ACUFEROIDIA","right",2,9323,1,3
"167",5,"CORTECNOLISMO","progresso","progresso",0.42950685771341,"o",28,17,"FUMACOLIO","left",1,5736,1,3
"168",6,"BAMBITORIO","giocattolo","giocattolo",0.450036652496003,"o",24,15,"INFETOTERO","right",2,3232,1,3
"169",7,"AMANIMARISMO","sentimento","sentimento",0.485411776222111,"o",4,36,"UFFAMALINALISMO","left",1,6121,1,3
"170",8,"TAPOSTOIONA","mensola","mensola",0.410975906153405,"a",33,15,"PECCANNIA","left",1,3569,1,3
"171",9,"BONSCETTIA","credenza","credenza",0.406283964386456,"a",37,36,"ERBACOLATURA","left",1,3780,1,3
"172",10,"GHIOTOSTALMENTO","fungo","fungo",0.431669987072567,"o",19,9,"GRATTUGIENDOLO","left",1,3835,1,3
"173",11,"ERBACOLATURA","pianta","pianta",0.410990668069201,"a",36,8,"NUVOLTANZA","right",2,1820,1,3
"174",12,"FRITIENDOLA","scodella","scodella",0.503490471257293,"a",3,22,"GUTONERTITA","right",2,6787,1,3
"175",13,"DÉPLIOTIO","opuscolo","opuscolo",0.441686024950471,"o",18,14,"PESCHETTORIO","right",2,4299,1,3
"176",14,"POSPICCIOLO","terrazzo","terrazzo",0.407849187862492,"o",35,20,"GROTOPSIANDOLO","left",1,11121,1,3
"177",15,"GUARIOGRANDOLA","benda","benda",0.43746158905452,"a",26,23,"SEPOLLAIA","right",2,3420,1,3
"178",16,"NUVOLTANZA","brezza","brezza",0.484015395070746,"a",8,33,"TAPOSTOIONA","left",2,2491,0,3
"179",17,"LUMITATRO","faro","faro",0.421581339331163,"o",31,37,"BICCORERIANNO","right",2,5311,1,3
"180",18,"GENAMORENZA","gelosia","gelosia",0.453520071512669,"a",20,38,"BOVISELETTA","left",1,2480,1,3
"181",19,"LETTOLETTO","comodino","comodino",0.436699875276071,"o",21,22,"MAFIDAMATO","right",1,6259,0,3
"182",20,"BEVERCHIETTA","bibita","bibita",0.504716253629009,"a",6,35,"VACIDEMINA","left",1,1896,1,3
"183",21,"SDEGNATISMO","disprezzo","disprezzo",0.517708945423487,"o",3,25,"BUCCOLAIANDOLO","left",1,1983,1,3
"184",22,"BICCORERIANNO","rinfresco","rinfresco",0.402679014844255,"o",37,33,"SCIOCOLTAZIO","left",1,3673,1,3
"185",23,"OFFENDANTOSO","insulto","insulto",0.440975943620665,"o",23,26,"TETRUCCIERICO","right",2,1860,1,3
"186",24,"MAAZELLARIA","orchestra","orchestra",0.520253165746296,"a",1,17,"TOPISEGNATURA","left",1,2580,1,3
"187",25,"TETRUCCIERICO","manichino","manichino",0.436693144990155,"o",26,5,"SUONANELLO","right",2,2669,1,3
"188",26,"BULICCHIRURA","dentista","dentista",0.418391257993589,"a",27,11,"VESTICELLA","left",1,3133,1,3
"189",27,"UCCIDALOSAMENTO","massacro","massacro",0.466290928178276,"o",11,10,"BAIALININARLO","right",2,2228,1,3
"190",28,"SUPESCITOLO","squalo","squalo",0.420294585989897,"o",34,30,"AMAGGIOSCO","right",2,2957,1,3
"191",29,"POZZETALITO","serbatoio","serbatoio",0.411098303335955,"o",32,3,"SDEGNATISMO","left",1,2100,1,3
"192",30,"BOVETRITOLA","carcassa","carcassa",0.441974707362872,"a",21,43,"NASCOBILISTA","left",2,2643,0,3
"193",31,"NEBBALLIANTO","crepuscolo","crepuscolo",0.457327965680897,"o",16,2,"BACINGINEO","left",1,2050,1,3
"194",32,"IRIBOLENZA","collera","collera",0.429596032023148,"a",25,30,"CAGOGNAZZA","left",1,1432,1,3
"195",33,"CAGOGNAZZA","feccia","feccia",0.422413853089632,"a",30,26,"GUARIOGRANDOLA","right",2,2464,1,3
"196",34,"VORICIPANZIO","incentivo","incentivo",0.418727645029792,"o",38,28,"CORTECNOLISMO","right",1,5416,0,3
"197",35,"BOVISELETTA","pelliccia","pelliccia",0.410104570264826,"a",38,13,"GIUBBIATOLA","right",1,2544,0,3
"198",36,"CUOCETTOLA","padella","padella",0.463623805530619,"a",16,12,"AFFOGNITURA","left",1,1524,1,3
"199",37,"BAMAGOGO","idolo","idolo",0.440714478264661,"o",29,8,"MORCAVATTICO","left",2,1830,0,3
"200",38,"INFETOTERO","vaiolo","vaiolo",0.447289180501927,"o",15,38,"VORICIPANZIO","left",1,1482,1,3
"201",39,"NASCOBILISTA","patriota","patriota",0.411726791608716,"a",43,32,"TINFETIOLIA","right",2,1684,1,3
"202",40,"SUONANELLO","violino","violino",0.480197333828064,"o",5,4,"AMANIMARISMO","right",2,1969,1,3
"203",41,"BAIALININARLO","gattino","gattino",0.452422246675284,"o",10,1,"BRUFFEMIANDOLO","left",2,1873,0,3
"204",42,"GUTONERTITA","risata","risata",0.440767443511956,"a",22,18,"BOVACCIETTA","left",2,1967,0,3
"205",43,"MORTUMAZITA","agonia","agonia",0.430053687084792,"a",28,2,"ATLETINATRICA","left",1,3466,1,3
"206",44,"SOMMIRATOLA","statua","statua",0.417796195312835,"a",41,21,"BOVETRITOLA","left",2,3409,0,3
"207",45,"TIELATILLINA","caramella","caramella",0.467069016585616,"a",10,9,"COTOLITELLA","left",2,1770,0,3
"208",46,"MORCAVATTICO","scarafaggio","scarafaggio",0.470493213526438,"o",8,23,"OFFENDANTOSO","right",2,2151,1,3
"209",47,"COTOLITELLA","pasta","pasta",0.48355510448989,"a",9,27,"BULICCHIRURA","left",2,2642,0,3
"210",48,"GROTOPSIANDOLO","cranio","cranio",0.444663786157017,"o",20,16,"NEBBALLIANTO","right",2,2357,1,3
"211",49,"TRAVINCIMENTO","trionfo","trionfo",0.471378974659514,"o",6,12,"BOVIACCAMENTO","left",1,2716,1,3
"212",50,"VACEFALINA","puntura","puntura",0.431007234616676,"a",24,10,"TIELATILLINA","left",2,10141,0,3
"213",51,"BRUFFEMIANDOLO","pervertito","pervertito",0.523850635899467,"o",1,31,"LUMITATRO","right",2,2198,1,3
"214",52,"FUMACOLIO","tabacco","tabacco",0.442651736319948,"o",17,34,"SUPESCITOLO","right",2,1805,1,3
"215",53,"NUTRONATEZZA","abbondanza","abbondanza",0.428871896311444,"a",29,16,"CUOCETTOLA","right",1,3067,0,3
"216",54,"BUCCOLAIANDOLO","cesto","cesto",0.454227200939773,"o",25,6,"TRAVINCIMENTO","right",2,2902,1,3
"217",55,"BACINGINEO","capezzolo","capezzolo",0.504656607139577,"o",2,18,"DÉPLIOTIO","left",1,3475,1,3
"218",56,"SEPOLLAIA","bara","bara",0.435754908929298,"a",23,1,"MAAZELLARIA","right",2,2806,1,3
"219",57,"PECCANNIA","lussuria","lussuria",0.463534279149531,"a",15,4,"SUONONELLA","right",2,1933,1,3
"220",58,"NIDORMIENDOLO","insetto","insetto",0.4654280952828,"o",13,27,"SPONATENTALISMO","left",2,7301,0,3
"221",59,"BOVIACCAMENTO","macello","macello",0.457839353368462,"o",12,21,"LETTOLETTO","right",2,1751,1,3
"222",60,"SCIOCOLTAZIO","fischio","fischio",0.427576149656166,"o",33,32,"POZZETALITO","left",1,4634,1,3
