status,time_taken,age,num_approvals,num_rejections,prolific_score,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First language,First Language,Handedness,Highest education level completed,Nationality,Sex,Student Status,Were you raised monolingual?
AWAITING REVIEW,1539.193,29,157,2,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1372.553,50,1103,15,99,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,Secondary education (e.g. GED/GCSE),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1336.563,31,99,1,99,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1450.982,42,116,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Doctorate degree (PhD/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,940.785,42,280,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Technical/community college,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2108.619,21,79,3,98,United Kingdom,United Kingdom,Other,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,588.554,35,186,5,96,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,,English,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1411.245,33,104,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Left-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,2424.786,22,52,0,100,United States,United States,Other,I only know English,English,DATA EXPIRED,Left-handed,High school diploma/A-levels,United States,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1395.421,33,28,0,100,United Kingdom,United Kingdom,Part-Time,I only know English,English,DATA EXPIRED,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1733.665,25,43,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,3199.582,33,167,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Left-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1511.779,35,8,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1675.956,27,433,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1706.474,26,52,1,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1480.248,43,64,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,2619.451,26,87,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1088.562,30,36,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,DATA EXPIRED,Ambidextrous,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1546.923,20,32,2,96,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Left-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,2821.873,50,27,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,DATA EXPIRED,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,3692.076,25,102,0,100,Canada,Canada,Due to start a new job within the next month,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2161.297,22,91,0,100,United Kingdom,United Kingdom,Other,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1179.376,48,500,6,99,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1868.918,49,467,2,100,United Kingdom,United Kingdom,Part-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1247.255,38,3,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,,Right-handed,High school diploma/A-levels,United Kingdom,Male,No,I was raised with my native language only
AWAITING REVIEW,1625.624,19,6,0,100,Canada,,Part-Time,I only know English,English,,Right-handed,High school diploma/A-levels,Canada,Male,Yes,I was raised with my native language only
TIMED-OUT,75812.550216,23,209,0,100,Ireland,Ireland,Part-Time,I only know English,English,English,Ambidextrous,Technical/community college,Ireland,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1139.014,20,627,4,99,Canada,United States,Part-Time,I only know English,English,English,Right-handed,Secondary education (e.g. GED/GCSE),Canada,Male,Yes,I was raised with my native language only
AWAITING REVIEW,940.995,24,92,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1979.683,21,61,0,100,United Kingdom,United Kingdom,Other,I only know English,,English,Right-handed,High school diploma/A-levels,United Kingdom,Male,Yes,I was raised with my native language only
AWAITING REVIEW,1667.592,26,322,2,100,United Kingdom,United Kingdom,Full-Time,I only know English,,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,827.711,29,113,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,English,Right-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1565.801,50,207,3,99,United Kingdom,United Kingdom,Other,I know 2 or more languages in addition to English,English,English,Right-handed,Graduate degree (MA/MSc/MPhil/other),United Kingdom,Female,No,I was raised with my native language only
AWAITING REVIEW,1578.848,20,9,0,100,United Kingdom,United Kingdom,Unemployed (and job seeking),I only know English,English,,Left-handed,Undergraduate degree (BA/BSc/other),United Kingdom,Female,Yes,I was raised with my native language only
AWAITING REVIEW,2125.078,31,41,0,100,Canada,Canada,Full-Time,I only know English,English,DATA EXPIRED,Right-handed,Undergraduate degree (BA/BSc/other),Canada,Male,No,I was raised with my native language only
AWAITING REVIEW,1579.529,29,35,0,100,United Kingdom,United Kingdom,Full-Time,I only know English,English,DATA EXPIRED,Right-handed,High school diploma/A-levels,United Kingdom,Female,No,I was raised with my native language only
