,ppn,object,image,response,response_corrected,recognition_RT,first_key_RT,name_agreement,H_statistic,Normalised_H_statistic,unknown_osullivan_et_al,idiosyncratic_osullivan_et_al,nonobject_osullivan_et_al,physically_dissimilar,is_natural,is_modal,modalWordFreq,responseWordFreq,modalWordLength,responseWordLength,responseProductionFreq,responseProductionFreq_non_outlier,is_invalid,is_rt_outlier,not_in_subtlex_uk
19013,ppt_33,flowerpot,flowerpot_4.png,bucket,bucket,691.3,56.5,33.33333333,2.14501834,0.829806366,0,0,0,0,0,0,2.868921995,4.21,8,6,10,10,0,0,0
19014,ppt_33,peach,peach_2.png,peach,peach,711.7,85.20000005,87.87878788,0.714653245,0.357326622,0,0,0,0,1,1,3.62,3.62,5,5,29,29,0,0,0
19015,ppt_33,lawnmower,lawnmower_2.png,lawnmower,lawn mower,1717.5,76.5,42.42424242,2.282817474,0.813155991,0,0,0,0,0,1,2.799539447,2.799539447,9,9,14,14,0,0,0
19016,ppt_33,beer bottle,beer bottle_2.png,bottle,bottle,483.4000001,72.69999981,57.57575758,1.658631308,0.714333623,0,0,0,0,0,1,4.65,4.65,6,6,19,18,0,0,0
19017,ppt_33,trolley,trolley_1.png,suitcase,suitcase,645.5999999,78.5,81.81818182,1.009944118,0.434959256,0,0,0,0,0,1,3.78,3.78,8,8,27,27,0,0,0
19018,ppt_33,envelope,envelope_2.png,envelope,envelope,600.9000001,72.9000001,78.78787879,0.87102419,0.549555077,0,0,0,0,0,1,4.1,4.1,8,8,26,26,0,0,0
19019,ppt_33,sedan,sedan_3.png,car,car,471.5,87,93.93939394,0.32984607,0.32984607,0,0,0,0,0,1,5.44,5.44,3,3,31,31,0,0,0
19020,ppt_33,tabby,tabby_3.png,cat,cat,514.7,84.10000014,93.93939394,0.390452131,0.246347867,0,0,0,0,1,1,4.83,4.83,3,3,31,31,0,0,0
19021,ppt_33,wineglass,wineglass_2.png,glass,glass,685.6000001,90.5999999,87.87878788,0.631171805,0.398225072,0,0,0,0,0,1,4.92,4.92,5,5,29,29,0,0,0
19022,ppt_33,celery,celery_1.png,vegetable,vegetable,2077.6,84.20000005,39.39393939,2.45728621,0.775187492,0,0,0,0,1,0,3.66,4.18,6,9,7,7,0,0,0
19023,ppt_33,frying pan,frying pan_1.png,fryingpan,frying pan,551.0999999,77.20000005,48.48484848,1.329140818,0.664570409,0,0,0,0,0,0,4.6,3.331219473,3,9,15,15,0,0,0
19024,ppt_33,hatchback,hatchback_3.png,car,car,519.5,82.4000001,96.96969697,0.195909271,0.195909271,0,0,0,0,0,1,5.44,5.44,3,3,32,31,0,0,0
19025,ppt_33,envelope,envelope_4.png,envelope,envelope,546.8,98,81.81818182,0.80222433,0.506147199,0,0,0,0,0,1,4.1,4.1,8,8,27,27,0,0,0
19026,ppt_33,fox,fox_3.png,fox,fox,886.2,74.30000019,93.93939394,0.390452131,0.246347867,0,0,0,0,1,1,4.46,4.46,3,3,31,31,0,0,0
19027,ppt_33,harvester,harvester_3.png,farming vehicle,farming vehicle,1237.9,89.70000005,27.27272727,2.753439353,0.828867837,0,1,0,0,0,0,2.868921995,NA,16,14,1,NA,0,0,1
19028,ppt_33,sunflower,sunflower_1.png,sunflower,sunflower,483.1000001,93.39999986,78.78787879,0.818091464,0.516158246,0,0,0,0,1,1,3.55,3.55,9,9,26,26,0,0,0
19029,ppt_33,jar,jar_1.png,jar,jar,610.7,86.4000001,75.75757576,1.465715188,0.488571729,0,0,0,0,0,1,3.96,3.96,3,3,25,24,0,0,0
19030,ppt_33,envelope,envelope_3.png,envelope,envelope,579.5999999,82.4000001,72.72727273,0.98260321,0.619953601,0,0,0,0,0,1,4.1,4.1,8,8,24,23,0,0,0
19031,ppt_33,snowmobile,snowmobile_4.png,snowmobile,snowmobile,2681.6,88.60000014,27.27272727,3.465842585,0.866460646,0,0,0,0,0,1,2.04,2.04,10,10,9,9,0,0,0
19032,ppt_33,bobsled,bobsled_3.png,snowmobile,snowmobile,900.3,84.10000014,27.27272727,3.103020547,0.865565692,0,0,0,0,0,0,2.69,2.04,9,10,1,1,0,0,0
