Concept_NO,Image_NO,Concept,Concept_Image,URL,Attribution
113,452,broccoli,4,https://commons.wikimedia.org/wiki/File:Broccoli_DSC00861.png,"David Monniaux (https://commons.wikimedia.org/wiki/File:Broccoli_DSC00861.png), „Broccoli DSC00861“, cut out single broccoli by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
114,453,cauliflower,1,https://commons.wikimedia.org/wiki/File:Cauliflower_vs_sintesis.png,"Яковлев Дмитрий (https://commons.wikimedia.org/wiki/File:Cauliflower_vs_sintesis.png), Right cauliflower and background removed by RvH, https://creativecommons.org/licenses/by/4.0/legalcode"
114,454,cauliflower,2,https://commons.wikimedia.org/wiki/File:Cauliflower_and_cabbage_(4701352208).jpg,"Jeremy Keith from Brighton & Hove, United Kingdom (https://commons.wikimedia.org/wiki/File:Cauliflower_and_cabbage_(4701352208).jpg), „Cauliflower and cabbage (4701352208)“, background removed, cut out single cauliflower by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
114,455,cauliflower,3,https://www.flickr.com/photos/calliope/8130880534,"Liz West (https://www.flickr.com/photos/calliope/8130880534) „cauliflower“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
114,456,cauliflower,4,https://commons.wikimedia.org/wiki/File:Cauliflower_2.jpg,"Tiia Monto (https://commons.wikimedia.org/wiki/File:Cauliflower_2.jpg), black edges removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
,457,cauliflower,5,https://pxhere.com/nl/photo/976318,
115,458,celery,1,https://commons.wikimedia.org/wiki/File:Celery_1.jpg,"Lombroso (https://commons.wikimedia.org/wiki/File:Celery_1.jpg), „Celery 1“, Cut out single bundle of celery by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
115,459,celery,2,https://commons.wikimedia.org/wiki/File:Celery_1.jpg,"Lombroso (https://commons.wikimedia.org/wiki/File:Celery_1.jpg), „Celery 1“, Cut out single bundle of celery by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
115,460,celery,3,https://commons.wikimedia.org/wiki/File:Celery_1.jpg,"Lombroso (https://commons.wikimedia.org/wiki/File:Celery_1.jpg), „Celery 1“, Cut out single bundle of celery by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
115,461,celery,4,https://commons.wikimedia.org/wiki/File:Celery_1.jpg,"Lombroso (https://commons.wikimedia.org/wiki/File:Celery_1.jpg), „Celery 1“, Cut out single bundle of celery by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
116,462,lettuce,1,https://commons.wikimedia.org/wiki/File:Lettuce_Mini_Heads_%22Cherokee%22_(7331114674).jpg,"Dwight Sipler from Stow, MA, USA (https://commons.wikimedia.org/wiki/File:Lettuce_Mini_Heads_""Cherokee""_(7331114674).jpg), „Lettuce Mini Heads ""Cherokee"" (7331114674)“, Background removed, single head of lettuce cut out by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
116,463,lettuce,2,https://commons.wikimedia.org/wiki/File:Lettuce_(4988502522).jpg,"Dwight Sipler from Stow, MA, USA (https://commons.wikimedia.org/wiki/File:Lettuce_(4988502522).jpg), „Lettuce (4988502522)“, Background removed, single head of lettuce cut out by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
116,464,lettuce,3,https://commons.wikimedia.org/wiki/File:Lettuce_Mini_Heads_(7331119710).jpg,"Dwight Sipler from Stow, MA, USA (https://commons.wikimedia.org/wiki/File:Lettuce_Mini_Heads_(7331119710).jpg), „Lettuce Mini Heads (7331119710)“, Background removed, single head of lettuce cut out by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
116,465,lettuce,4,https://commons.wikimedia.org/wiki/File:Cos_lettuce_2017_A2.jpg,"Fructibus (https://commons.wikimedia.org/wiki/File:Cos_lettuce_2017_A2.jpg), „Cos lettuce 2017 A2“, background removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
117,466,leek,1,https://commons.wikimedia.org/wiki/File:Leeks_bg.JPG,"Biso (https://commons.wikimedia.org/wiki/File:Leeks_bg.JPG), „Leeks bg“, background removed, cut out single leek by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
117,467,leek,2,https://commons.wikimedia.org/wiki/File:Leeks_bg.JPG,"Biso (https://commons.wikimedia.org/wiki/File:Leeks_bg.JPG), „Leeks bg“, background removed, cut out single leek by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
117,468,leek,3,https://commons.wikimedia.org/wiki/File:Leeks_bg.JPG,"Biso (https://commons.wikimedia.org/wiki/File:Leeks_bg.JPG), „Leeks bg“, background removed, cut out single leek by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
117,469,leek,4,https://commons.wikimedia.org/wiki/File:Herfstprei_Tara.jpg,"anonymous (https://commons.wikimedia.org/wiki/File:Herfstprei_Tara.jpg), „Herfstprei Tara“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
118,470,kale,1,https://www.flickr.com/photos/88709139@N08/19337943628,"Media Mike Hazard (https://www.flickr.com/photos/88709139@N08/19337943628) „DSC06049 Kale bundle HAFA FARM“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
118,471,kale,2,https://commons.wikimedia.org/wiki/File:Boerenkool.jpg,"Rasbak (https://commons.wikimedia.org/wiki/File:Boerenkool.jpg), „Boerenkool“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
118,472,kale,3,https://commons.wikimedia.org/wiki/File:Kale-Bundle.jpg,"Evan-Amos (https://commons.wikimedia.org/wiki/File:Kale-Bundle.jpg), „Kale-Bundle“, removed bands by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
118,473,kale,4,https://commons.wikimedia.org/wiki/File:Kale_J1.jpg,"Jamain (https://commons.wikimedia.org/wiki/File:Kale_J1.jpg), „Kale J1“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
119,474,corn,1,https://commons.wikimedia.org/wiki/File:Maize_-_Corn.jpg,"WiseMan42 (https://commons.wikimedia.org/wiki/File:Maize_-_Corn.jpg), „Maize - Corn“, rotated by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
119,475,corn,2,https://pxhere.com/nl/photo/1449227,In public domain
119,476,corn,3,https://pxhere.com/nl/photo/1449227,In public domain
119,477,corn,4,https://commons.wikimedia.org/wiki/File:Corn_pink.jpg,"Sivaanbrook (https://commons.wikimedia.org/wiki/File:Corn_pink.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
120,478,artichoke,1,https://commons.wikimedia.org/wiki/File:Ripe_artichoke_flowers.jpg,"Sandra Fauconnier (https://commons.wikimedia.org/wiki/File:Ripe_artichoke_flowers.jpg), background removed, single artichoke cut out by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
120,479,artichoke,2,https://commons.wikimedia.org/wiki/File:Artichoke_in_Brazil.jpg,"Wilfredor (https://commons.wikimedia.org/wiki/File:Artichoke_in_Brazil.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
120,480,artichoke,3,https://commons.wikimedia.org/wiki/File:Artichoke_J1.jpg,"Jamain (https://commons.wikimedia.org/wiki/File:Artichoke_J1.jpg), „Artichoke J1“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
120,481,artichoke,4,https://commons.wikimedia.org/wiki/File:Ripe_artichoke_flowers.jpg,"Sandra Fauconnier (https://commons.wikimedia.org/wiki/File:Ripe_artichoke_flowers.jpg), background removed, single artichoke cut out by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
121,482,sled,1,https://commons.wikimedia.org/wiki/File:The_Childrens_Museum_of_Indianapolis_-_Sled.jpg,"The Children's Museum of Indianapolis (https://commons.wikimedia.org/wiki/File:The_Childrens_Museum_of_Indianapolis_-_Sled.jpg), „The Childrens Museum of Indianapolis - Sled“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
121,483,sled,2,https://commons.wikimedia.org/wiki/File:Kulusuk-sled-and-kayak.jpg,"Algkalv (https://commons.wikimedia.org/wiki/File:Kulusuk-sled-and-kayak.jpg), „Kulusuk-sled-and-kayak“, background removed by RvH, https://creativecommons.org/licenses/by/3.0/legalcode"
121,484,sled,3,https://commons.wikimedia.org/wiki/File:Aroser_Schlitten.jpg,"Offenbacher (https://commons.wikimedia.org/wiki/File:Aroser_Schlitten.jpg), „Aroser Schlitten“, background removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
121,485,sled,4,https://commons.wikimedia.org/wiki/File:Davoser_Schlitten.jpg,"MarkusHagenlocher (https://commons.wikimedia.org/wiki/File:Davoser_Schlitten.jpg), „Davoser Schlitten“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
122,486,snowmobile,1,https://commons.wikimedia.org/wiki/File:Polaris_Indy_500_Classic_Snowmobile_(46485265132).jpg,"Tony Webster from Minneapolis, Minnesota, United States (https://commons.wikimedia.org/wiki/File:Polaris_Indy_500_Classic_Snowmobile_(46485265132).jpg), „Polaris Indy 500 Classic Snowmobile (46485265132)“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
122,487,snowmobile,2,https://commons.wikimedia.org/wiki/File:Snowmobile_Polaris_600_Pro.jpg,"Greg Gjerdingen (https://commons.wikimedia.org/wiki/File:Snowmobile_Polaris_600_Pro.jpg), „Snowmobile Polaris 600 Pro“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
122,488,snowmobile,3,https://commons.wikimedia.org/wiki/File:Snowmobile_(b009b4f7-e935-41ea-9c71-8a23d79ab260).jpg,"English: Neal Herbert (https://commons.wikimedia.org/wiki/File:Snowmobile_(b009b4f7-e935-41ea-9c71-8a23d79ab260).jpg), „Snowmobile (b009b4f7-e935-41ea-9c71-8a23d79ab260)“, background removed, labels removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
122,489,snowmobile,4,https://commons.wikimedia.org/wiki/File:Snowmobile_(8ea1be9b-06a2-4ddc-8046-8b03a1cef48e).jpg,"English: Neal Herbert (https://commons.wikimedia.org/wiki/File:Snowmobile_(8ea1be9b-06a2-4ddc-8046-8b03a1cef48e).jpg), „Snowmobile (8ea1be9b-06a2-4ddc-8046-8b03a1cef48e)“, background removed, labels removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
123,490,surfboard,1,https://commons.wikimedia.org/wiki/File:Surfboard_for_Lifeguard-1and_(4585726159).jpg,"Sheba_Also 43,000 photos (https://commons.wikimedia.org/wiki/File:Surfboard_for_Lifeguard-1and_(4585726159).jpg), „Surfboard for Lifeguard-1and (4585726159)“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.0/legalcode"
123,491,surfboard,2,https://www.pexels.com/photo/woman-carrying-surfboard-1606204/,In public domain
123,492,surfboard,3,https://www.flickr.com/photos/djrsterenborg/3825120145,"djrsterenborg (https://www.flickr.com/photos/djrsterenborg/3825120145) „6'4"" shortboard surfboard slide surfboards“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
123,493,surfboard,4,https://commons.wikimedia.org/wiki/File:Surf_board_leash.jpg,"Bengt Nyman (https://commons.wikimedia.org/wiki/File:Surf_board_leash.jpg), „Surf board leash“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
124,494,bobsled,1,https://commons.wikimedia.org/wiki/File:USA_I_in_heat_1_of_2_man_bobsleigh_at_2010_Winter_Olympics_2010-02-20.jpg,"Tim Hipps (https://commons.wikimedia.org/wiki/File:USA_I_in_heat_1_of_2_man_bobsleigh_at_2010_Winter_Olympics_2010-02-20.jpg), „USA I in heat 1 of 2 man bobsleigh at 2010 Winter Olympics 2010-02-20“, background removed, labels removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
124,495,bobsled,2,https://commons.wikimedia.org/wiki/File:John_Napier-_Olympic_Bobsled.jpg,"The U.S. Army (https://commons.wikimedia.org/wiki/File:John_Napier-_Olympic_Bobsled.jpg), „John Napier- Olympic Bobsled“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
124,496,bobsled,3,https://commons.wikimedia.org/wiki/File:Bobsledding_World_Cup_131206-F-SP601-013.jpg,"Airman Taylor Queen (https://commons.wikimedia.org/wiki/File:Bobsledding_World_Cup_131206-F-SP601-013.jpg), „Bobsledding World Cup 131206-F-SP601-013“, background removed, athletes removed, labels removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
124,497,bobsled,4,https://commons.wikimedia.org/wiki/File:Bobsledding_World_Cup_131207-F-SP601-047.jpg,"Airman Taylor Queen (https://commons.wikimedia.org/wiki/File:Bobsledding_World_Cup_131207-F-SP601-047.jpg), „Bobsledding World Cup 131207-F-SP601-047“, background removed, labels removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
125,498,locomotive,1,https://commons.wikimedia.org/wiki/File:DB_182_002.JPG,"I, Der Wolf im Wald (https://commons.wikimedia.org/wiki/File:DB_182_002.JPG), „DB 182 002“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/2.5/legalcode"
125,499,locomotive,2,https://commons.wikimedia.org/wiki/File:VL10_(%D0%92%D0%9B10)_DC_electric_locomotive_of_the_Russian_Railways.jpg,"Vladimir Murovets (https://commons.wikimedia.org/wiki/File:VL10_(ВЛ10)_DC_electric_locomotive_of_the_Russian_Railways.jpg), „VL10 (ВЛ10) DC electric locomotive of the Russian Railways“, background removed, labels removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
125,500,locomotive,3,"https://commons.wikimedia.org/wiki/File:KZ8A-0014,_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3-%D0%A1%D0%BE%D1%80%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D0%BE%D1%87%D0%BD%D1%8B%D0%B9-%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9.jpg","Neu-Zwei (https://commons.wikimedia.org/wiki/File:KZ8A-0014,_Санкт-Петербург-Сортировочный-Московский.jpg), background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
125,501,locomotive,4,https://commons.wikimedia.org/wiki/File:British_Rail_Class_45_Diesel_Locomotive_(38088847624).jpg,"Charlie Jackson (https://commons.wikimedia.org/wiki/File:British_Rail_Class_45_Diesel_Locomotive_(38088847624).jpg), „British Rail Class 45 Diesel Locomotive (38088847624)“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
126,502,airliner,1,https://pxhere.com/en/photo/1458445,In public domain
126,503,airliner,2,https://pxhere.com/en/photo/1606886,In public domain
126,504,airliner,3,https://pxhere.com/en/photo/1086853,In public domain
126,505,airliner,4,https://commons.wikimedia.org/wiki/File:(1)Airliner-4.jpg,"Sardaka (https://commons.wikimedia.org/wiki/File:(1)Airliner-4.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
127,506,jet,1,https://commons.wikimedia.org/wiki/File:Lockheed_Martin_F-22A_Raptor_JSOH.jpg,"Rob Shenk from Great Falls, VA, USA (https://commons.wikimedia.org/wiki/File:Lockheed_Martin_F-22A_Raptor_JSOH.jpg), „Lockheed Martin F-22A Raptor JSOH“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.0/legalcode"
127,507,jet,2,https://commons.wikimedia.org/wiki/File:Aircraft_Fighter_Jet_F-111_AFTI_NASA_0.jpg,"NASA photographer (https://commons.wikimedia.org/wiki/File:Aircraft_Fighter_Jet_F-111_AFTI_NASA_0.jpg), „Aircraft Fighter Jet F-111 AFTI NASA 0“, background removed, labels removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
127,508,jet,3,https://commons.wikimedia.org/wiki/File:F-15C.jpg,"Tech. Sgt. Brad Fallin, U.S. Air Force (https://commons.wikimedia.org/wiki/File:F-15C.jpg), „F-15C“, background removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
127,509,jet,4,https://commons.wikimedia.org/wiki/File:Straaljager_-_panoramio.jpg,"Arwin Meijer (https://commons.wikimedia.org/wiki/File:Straaljager_-_panoramio.jpg), „Straaljager - panoramio“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
128,510,glider,1,https://commons.wikimedia.org/wiki/File:Sagitta_zweefvliegtuig.jpg,"Amegens (https://commons.wikimedia.org/wiki/File:Sagitta_zweefvliegtuig.jpg), „Sagitta zweefvliegtuig“, background removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
128,511,glider,2,https://commons.wikimedia.org/wiki/File:2017-05_glider_04.jpg,"Antoine Lamielle (https://commons.wikimedia.org/wiki/File:2017-05_glider_04.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
128,512,glider,3,https://commons.wikimedia.org/wiki/File:Pull_up_of_glider_ASK_13.jpg,"Olga Ernst (https://commons.wikimedia.org/wiki/File:Pull_up_of_glider_ASK_13.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
128,513,glider,4,https://commons.wikimedia.org/wiki/File:US_Air_Force_Academy_TG-16_glider_landing.jpg,"Raymond McCoy (https://commons.wikimedia.org/wiki/File:US_Air_Force_Academy_TG-16_glider_landing.jpg), „US Air Force Academy TG-16 glider landing“, background removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
129,514,zeppelin,1,https://commons.wikimedia.org/wiki/File:Zeppellin_NT_amk.JPG,"AngMoKio (https://commons.wikimedia.org/wiki/File:Zeppellin_NT_amk.JPG), „Zeppellin NT amk“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
129,515,zeppelin,2,https://commons.wikimedia.org/wiki/File:Praha_Zeppelin_NT_2018.jpg,"JiriMatejicek (https://commons.wikimedia.org/wiki/File:Praha_Zeppelin_NT_2018.jpg), background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
129,516,zeppelin,3,https://commons.wikimedia.org/wiki/File:Airship_at_Floyd_Bennett.jpg,"anonymous (https://commons.wikimedia.org/wiki/File:Airship_at_Floyd_Bennett.jpg), „Airship at Floyd Bennett“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
129,517,zeppelin,4,https://commons.wikimedia.org/wiki/File:Munchen_Zeppelin_D-LZZF_01.jpg,"Ad Meskens (https://commons.wikimedia.org/wiki/File:Munchen_Zeppelin_D-LZZF_01.jpg), background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
130,518,helicopter,1,https://commons.wikimedia.org/wiki/File:AgustaWestland_AW189_helicopter_(G-MCGW)_of_the_UK_Coastguard_arrives_at_RIAT_Fairford_12July2018_arp.jpg,"Myself (Adrian Pingstone). (https://commons.wikimedia.org/wiki/File:AgustaWestland_AW189_helicopter_(G-MCGW)_of_the_UK_Coastguard_arrives_at_RIAT_Fairford_12July2018_arp.jpg), „AgustaWestland AW189 helicopter (G-MCGW) of the UK Coastguard arrives at RIAT Fairford 12July2018 arp“, background removed, labels removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
130,519,helicopter,2,https://commons.wikimedia.org/wiki/File:G-MAOL_Agusta_A109_Helicopter_Sioane_Helicopter_Ltd_(25973972852).jpg,"James from Cheltenham, Gloucestershire (https://commons.wikimedia.org/wiki/File:G-MAOL_Agusta_A109_Helicopter_Sioane_Helicopter_Ltd_(25973972852).jpg), „G-MAOL Agusta A109 Helicopter Sioane Helicopter Ltd (25973972852)“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/2.0/legalcode"
130,520,helicopter,3,https://commons.wikimedia.org/wiki/File:G-MGPS_Leonardo_AW169_Helicopter.jpg,"James (https://commons.wikimedia.org/wiki/File:G-MGPS_Leonardo_AW169_Helicopter.jpg), „G-MGPS Leonardo AW169 Helicopter“, background removed by RvH, https://creativecommons.org/licenses/by-sa/2.0/legalcode"
130,521,helicopter,4,https://commons.wikimedia.org/wiki/File:ROP_Helicopter.jpg,"Jerry Gunner (https://commons.wikimedia.org/wiki/File:ROP_Helicopter.jpg), „ROP Helicopter“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
131,522,tractor,1,"https://commons.wikimedia.org/wiki/File:An_old_tractor_in_Dipkarpaz,_Northern_Cyprus.jpg","Michal Klajban (https://commons.wikimedia.org/wiki/File:An_old_tractor_in_Dipkarpaz,_Northern_Cyprus.jpg), background removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
131,523,tractor,2,https://commons.wikimedia.org/wiki/File:Fiat_Tractor.jpg,"Joost J. Bakker from IJmuiden (https://commons.wikimedia.org/wiki/File:Fiat_Tractor.jpg), „Fiat Tractor“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
131,524,tractor,3,https://commons.wikimedia.org/wiki/File:Labourier_Tractor.jpg,"Joost J. Bakker from IJmuiden (https://commons.wikimedia.org/wiki/File:Labourier_Tractor.jpg), „Labourier Tractor“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
131,525,tractor,4,https://commons.wikimedia.org/wiki/File:Traktor_John_Deere_2140.JPG,"4028mdk09 (https://commons.wikimedia.org/wiki/File:Traktor_John_Deere_2140.JPG), „Traktor John Deere 2140“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
132,526,harvester,1,https://commons.wikimedia.org/wiki/File:Claas_Tucano_430_combine_harvester.jpg,"Mick (https://commons.wikimedia.org/wiki/File:Claas_Tucano_430_combine_harvester.jpg), „Claas Tucano 430 combine harvester“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
132,527,harvester,2,https://commons.wikimedia.org/wiki/File:Combine_NH-TX34.jpg,"User:MarkusHagenlocher (https://commons.wikimedia.org/wiki/File:Combine_NH-TX34.jpg), „Combine NH-TX34“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
132,528,harvester,3,https://commons.wikimedia.org/wiki/File:John_Deere_9660STS_combine_harvester.jpg,"Golf Bravo (https://commons.wikimedia.org/wiki/File:John_Deere_9660STS_combine_harvester.jpg), „John Deere 9660STS combine harvester“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
132,529,harvester,4,https://commons.wikimedia.org/wiki/File:McCormick141_Combine.jpg,"Ben Franske (https://commons.wikimedia.org/wiki/File:McCormick141_Combine.jpg), background removed, labels removed, driver removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
133,530,bulldozer,1,https://commons.wikimedia.org/wiki/File:CAT-D10N-pic001.jpg,"MathKnight (https://commons.wikimedia.org/wiki/File:CAT-D10N-pic001.jpg), „CAT-D10N-pic001“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
133,531,bulldozer,2,https://commons.wikimedia.org/wiki/File:Bauma_2007_Bulldozer_Caterpillar_2.jpg,"Aconcagua (https://commons.wikimedia.org/wiki/File:Bauma_2007_Bulldozer_Caterpillar_2.jpg), „Bauma 2007 Bulldozer Caterpillar 2“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
133,532,bulldozer,3,https://commons.wikimedia.org/wiki/File:Caterpillar_D5M_Planierraupe_1.JPG,"--Böhringer (https://commons.wikimedia.org/wiki/File:Caterpillar_D5M_Planierraupe_1.JPG), „Caterpillar D5M Planierraupe 1“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/2.5/legalcode"
133,533,bulldozer,4,https://commons.wikimedia.org/wiki/File:Liebherr_722_Planierraupe_1.JPG,"anonymous (https://commons.wikimedia.org/wiki/File:Liebherr_722_Planierraupe_1.JPG), „Liebherr 722 Planierraupe 1“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/2.5/legalcode"
134,534,forklift,1,https://commons.wikimedia.org/wiki/File:Forklift-Truck.jpg,"Identify the image source as Atlantic Training and link that text to http://www.atlantictraining.com/shop/c-forklift-training-115-1.html on the same page that uses this image. (https://commons.wikimedia.org/wiki/File:Forklift-Truck.jpg), „Forklift-Truck“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
134,535,forklift,2,https://commons.wikimedia.org/wiki/File:Coventry_Climax_forklift_at_rest_at_Duxford.JPG,"Charles01 (https://commons.wikimedia.org/wiki/File:Coventry_Climax_forklift_at_rest_at_Duxford.JPG), „Coventry Climax forklift at rest at Duxford“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
134,536,forklift,3,https://commons.wikimedia.org/wiki/File:Yale_Gabelstapler_6.jpg,"Norbert Schnitzler (https://commons.wikimedia.org/wiki/File:Yale_Gabelstapler_6.jpg), „Yale Gabelstapler 6“, background removed, driver removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
134,537,forklift,4,https://commons.wikimedia.org/wiki/File:Gabelstapler.jpg,"Thiemo Schuff (https://commons.wikimedia.org/wiki/File:Gabelstapler.jpg), „Gabelstapler“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
135,538,excavator,1,https://commons.wikimedia.org/wiki/File:The_man_who_operate_the_Excavator.jpg,"Yaoxinxyz (https://commons.wikimedia.org/wiki/File:The_man_who_operate_the_Excavator.jpg), background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/4.0/legalcode"
135,539,excavator,2,https://commons.wikimedia.org/wiki/File:Graafmachine_-_Eindhoven_2Stay_(28431245611).jpg,"FaceMePLS from The Hague, The Netherlands (https://commons.wikimedia.org/wiki/File:Graafmachine_-_Eindhoven_2Stay_(28431245611).jpg), „Graafmachine - Eindhoven 2Stay (28431245611)“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
135,540,excavator,3,https://commons.wikimedia.org/wiki/File:Zweiwege-Bagger_von_Liebherr.jpg,"Christian Allinger (https://commons.wikimedia.org/wiki/File:Zweiwege-Bagger_von_Liebherr.jpg), „Zweiwege-Bagger von Liebherr“, background removed by RvH, https://creativecommons.org/licenses/by/2.0/legalcode"
135,541,excavator,4,https://commons.wikimedia.org/wiki/File:Liebherr_Bagger.jpg,"Stefan-Xp (https://commons.wikimedia.org/wiki/File:Liebherr_Bagger.jpg), „Liebherr Bagger“, background removed, labels removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
136,542,steamroller,1,https://commons.wikimedia.org/wiki/File:Kleine_Vibromax_Walze_hr.jpg,"Norbert Schnitzler (https://commons.wikimedia.org/wiki/File:Kleine_Vibromax_Walze_hr.jpg), „Kleine Vibromax Walze hr“, background removed by RvH, https://creativecommons.org/licenses/by-sa/3.0/legalcode"
136,543,steamroller,2,https://commons.wikimedia.org/wiki/File:Zettelmeyer_Walze_links.jpg,"LutzBruno (https://commons.wikimedia.org/wiki/File:Zettelmeyer_Walze_links.jpg), „Zettelmeyer Walze links“, background removed by RvH, https://creativecommons.org/licenses/by/3.0/legalcode"
136,544,steamroller,3,https://commons.wikimedia.org/wiki/File:Henschel_%26_Sohn_Walze_in_Volkmarshausen.JPG,"Gerd Fahrenhorst (https://commons.wikimedia.org/wiki/File:Henschel_&_Sohn_Walze_in_Volkmarshausen.JPG), background removed, labels removed by RvH, https://creativecommons.org/licenses/by/4.0/legalcode"
136,545,steamroller,4,https://commons.wikimedia.org/wiki/File:Street_roller.JPG,"SeppVei (https://commons.wikimedia.org/wiki/File:Street_roller.JPG), „Street roller“, background removed, labels removed by RvH, https://creativecommons.org/publicdomain/zero/1.0/legalcode"
